candidate_id,method,split,row_count,field_gain_to_raw_mean,h1_gain_to_raw_mean,field_gain_to_registered_classical_mean,h1_gain_to_registered_classical_mean,field_harm_rate_vs_raw,field_harm_rate_vs_registered_classical,worst_field_gain_to_raw,worst_field_gain_to_registered_classical,minimum_session_mean_field_gain_to_raw,minimum_session_mean_field_gain_to_registered_classical,minimum_family_mean_field_gain_to_raw,minimum_family_mean_field_gain_to_registered_classical,session_mean_field_gains_to_raw,session_mean_field_gains_to_registered_classical,family_mean_field_gains_to_raw,family_mean_field_gains_to_registered_classical,per_model_seed_field_gain_means_to_raw,per_model_seed_field_gain_means_to_registered_classical,all_model_seed_means_to_raw_nonnegative,all_model_seed_means_to_registered_classical_positive,clean_reprojection_ratio_to_base_mean,clean_reprojection_ratio_to_base_maximum,selector_valid_rate,residual_closure_relative_error_maximum
structured_joint_two_sided_95,pooled_cnn,ood,3,0.002821963940183822,0.0019175873704887923,-0.08420235397023888,-0.18814882664382196,0.0,1.0,0.0008036029796876454,-0.21494622742818623,0.002821963940183822,-0.08420235397023888,0.0008036029796876454,-0.21494622742818623,{'ood:3109:efb5c7642b3f28db': 0.002821963940183822},{'ood:3109:efb5c7642b3f28db': -0.08420235397023888},"{'single_interface': 0.002966609138030328, 'smooth_no_interface': 0.0008036029796876454, 'two_interface': 0.004695679702833494}","{'single_interface': -0.011965774536749994, 'smooth_no_interface': -0.025695059945780425, 'two_interface': -0.21494622742818623}",{'17': 0.002821963940183822},{'17': -0.08420235397023888},True,False,1.0676606467318475,1.10155536757921,1.0,0.0
structured_joint_upper_95_ablation,jacru_m2,development,2,0.0004110069046759943,0.0014326866953295646,-0.01713491367479315,-0.11009582564691875,0.0,0.5,0.0003464533646272416,-0.03436954044880511,0.0004110069046759943,-0.01713491367479315,0.0003464533646272416,-0.03436954044880511,{'development:2101:d7d9a77030834a1d': 0.0004110069046759943},{'development:2101:d7d9a77030834a1d': -0.01713491367479315},"{'single_interface': 0.0003464533646272416, 'smooth_no_interface': 0.000475560444724747}","{'single_interface': 9.971309921881097e-05, 'smooth_no_interface': -0.03436954044880511}",{'17': 0.0004110069046759943},{'17': -0.01713491367479315},True,False,1.0249265057938977,1.0437306825899548,1.0,0.0
structured_joint_upper_95_ablation,jacru_m2,ood,3,0.0004085728013114727,0.0009811403859873726,-0.09270651454610045,-0.19575946934258823,0.0,1.0,0.00022821511383576352,-0.2253029229832795,0.0004085728013114727,-0.09270651454610045,0.00022821511383576352,-0.2253029229832795,{'ood:3109:efb5c7642b3f28db': 0.0004085728013114727},{'ood:3109:efb5c7642b3f28db': -0.09270651454610045},"{'single_interface': 0.00022821511383576352, 'smooth_no_interface': 0.0006053252404744052, 'two_interface': 0.00039217804962424934}","{'single_interface': -0.02571131519210416, 'smooth_no_interface': -0.027105305462917666, 'two_interface': -0.2253029229832795}",{'17': 0.0004085728013114727},{'17': -0.09270651454610045},True,False,1.0151077087198868,1.0403778801820487,1.0,0.0
structured_joint_upper_95_ablation,pooled_cnn,development,2,0.0012306509350801858,0.004852371396739774,-0.013432982070727364,-0.10923637199622327,0.0,0.5,0.000592370452568002,-0.03538397285866072,0.0012306509350801858,-0.013432982070727364,0.000592370452568002,-0.03538397285866072,{'development:2101:d7d9a77030834a1d': 0.0012306509350801858},{'development:2101:d7d9a77030834a1d': -0.013432982070727364},"{'single_interface': 0.000592370452568002, 'smooth_no_interface': 0.0018689314175923699}","{'single_interface': 0.00851800871720599, 'smooth_no_interface': -0.03538397285866072}",{'17': 0.0012306509350801858},{'17': -0.013432982070727364},True,False,0.9420679650355068,0.970413880647659,1.0,0.0
structured_joint_upper_95_ablation,pooled_cnn,ood,3,0.0029632541403970193,0.0024140569100712674,-0.08405801677706402,-0.18758290363136879,0.0,1.0,0.0010455425892651592,-0.21494622742818623,0.0029632541403970193,-0.08405801677706402,0.0010455425892651592,-0.21494622742818623,{'ood:3109:efb5c7642b3f28db': 0.0029632541403970193},{'ood:3109:efb5c7642b3f28db': -0.08405801677706402},"{'single_interface': 0.0031485401290924056, 'smooth_no_interface': 0.0010455425892651592, 'two_interface': 0.004695679702833494}","{'single_interface': -0.011781118799068825, 'smooth_no_interface': -0.02544670410393703, 'two_interface': -0.21494622742818623}",{'17': 0.0029632541403970193},{'17': -0.08405801677706402},True,False,1.0504159138624243,1.10155536757921,1.0,0.0
structured_target_mismatch_oracle_fraction_025,jacru_m2,development,2,0.0,0.0,-0.01755425275423795,-0.11171381645698347,0.0,0.5,0.0,-0.034861679729445844,0.0,-0.01755425275423795,0.0,-0.034861679729445844,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.01755425275423795},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': -0.0002468257790300523, 'smooth_no_interface': -0.034861679729445844}",{'17': 0.0},{'17': -0.01755425275423795},True,False,1.1777266702366807,1.2311254618494432,0.0,0.0
structured_target_mismatch_oracle_fraction_025,jacru_m2,ood,3,0.0,0.0,-0.09315217156043464,-0.19676943904080255,0.0,1.0,0.0,-0.22578364842377963,0.0,-0.09315217156043464,0.0,-0.22578364842377963,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.09315217156043464},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.02594545145009613, 'smooth_no_interface': -0.027727414807428113, 'two_interface': -0.22578364842377963}",{'17': 0.0},{'17': -0.09315217156043464},True,False,1.0645746943254233,1.0998609850716448,0.0,0.0
structured_target_mismatch_oracle_fraction_025,pooled_cnn,development,2,0.0,0.0,-0.014696160901297866,-0.1146915633316033,0.0,0.5,0.0,-0.03732265776393615,0.0,-0.014696160901297866,0.0,-0.03732265776393615,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.014696160901297866},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': 0.007930335961340422, 'smooth_no_interface': -0.03732265776393615}",{'17': 0.0},{'17': -0.014696160901297866},True,False,1.533512192450216,1.8395019163272088,0.0,0.0
structured_target_mismatch_oracle_fraction_025,pooled_cnn,ood,3,0.0,0.0,-0.08739164316088754,-0.19017607618725543,0.0,1.0,0.0,-0.22067814099856572,0.0,-0.08739164316088754,0.0,-0.22067814099856572,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.08739164316088754},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.014976814028134767, 'smooth_no_interface': -0.02651997445596212, 'two_interface': -0.22067814099856572}",{'17': 0.0},{'17': -0.08739164316088754},True,False,1.272166419789195,1.2805373496467711,0.0,0.0
structured_target_mismatch_oracle_fraction_050,jacru_m2,development,2,0.0,0.0,-0.01755425275423795,-0.11171381645698347,0.0,0.5,0.0,-0.034861679729445844,0.0,-0.01755425275423795,0.0,-0.034861679729445844,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.01755425275423795},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': -0.0002468257790300523, 'smooth_no_interface': -0.034861679729445844}",{'17': 0.0},{'17': -0.01755425275423795},True,False,1.1777266702366807,1.2311254618494432,0.0,0.0
structured_target_mismatch_oracle_fraction_050,jacru_m2,ood,3,0.0,0.0,-0.09315217156043464,-0.19676943904080255,0.0,1.0,0.0,-0.22578364842377963,0.0,-0.09315217156043464,0.0,-0.22578364842377963,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.09315217156043464},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.02594545145009613, 'smooth_no_interface': -0.027727414807428113, 'two_interface': -0.22578364842377963}",{'17': 0.0},{'17': -0.09315217156043464},True,False,1.0645746943254233,1.0998609850716448,0.0,0.0
structured_target_mismatch_oracle_fraction_050,pooled_cnn,development,2,0.0,0.0,-0.014696160901297866,-0.1146915633316033,0.0,0.5,0.0,-0.03732265776393615,0.0,-0.014696160901297866,0.0,-0.03732265776393615,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.014696160901297866},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': 0.007930335961340422, 'smooth_no_interface': -0.03732265776393615}",{'17': 0.0},{'17': -0.014696160901297866},True,False,1.533512192450216,1.8395019163272088,0.0,0.0
structured_target_mismatch_oracle_fraction_050,pooled_cnn,ood,3,0.0,0.0,-0.08739164316088754,-0.19017607618725543,0.0,1.0,0.0,-0.22067814099856572,0.0,-0.08739164316088754,0.0,-0.22067814099856572,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.08739164316088754},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.014976814028134767, 'smooth_no_interface': -0.02651997445596212, 'two_interface': -0.22067814099856572}",{'17': 0.0},{'17': -0.08739164316088754},True,False,1.272166419789195,1.2805373496467711,0.0,0.0
structured_target_mismatch_oracle_fraction_075,jacru_m2,development,2,0.0,0.0,-0.01755425275423795,-0.11171381645698347,0.0,0.5,0.0,-0.034861679729445844,0.0,-0.01755425275423795,0.0,-0.034861679729445844,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.01755425275423795},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': -0.0002468257790300523, 'smooth_no_interface': -0.034861679729445844}",{'17': 0.0},{'17': -0.01755425275423795},True,False,1.1777266702366807,1.2311254618494432,0.0,0.0
structured_target_mismatch_oracle_fraction_075,jacru_m2,ood,3,0.0,0.0,-0.09315217156043464,-0.19676943904080255,0.0,1.0,0.0,-0.22578364842377963,0.0,-0.09315217156043464,0.0,-0.22578364842377963,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.09315217156043464},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.02594545145009613, 'smooth_no_interface': -0.027727414807428113, 'two_interface': -0.22578364842377963}",{'17': 0.0},{'17': -0.09315217156043464},True,False,1.0645746943254233,1.0998609850716448,0.0,0.0
structured_target_mismatch_oracle_fraction_075,pooled_cnn,development,2,0.0,0.0,-0.014696160901297866,-0.1146915633316033,0.0,0.5,0.0,-0.03732265776393615,0.0,-0.014696160901297866,0.0,-0.03732265776393615,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.014696160901297866},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': 0.007930335961340422, 'smooth_no_interface': -0.03732265776393615}",{'17': 0.0},{'17': -0.014696160901297866},True,False,1.533512192450216,1.8395019163272088,0.0,0.0
structured_target_mismatch_oracle_fraction_075,pooled_cnn,ood,3,0.0,0.0,-0.08739164316088754,-0.19017607618725543,0.0,1.0,0.0,-0.22067814099856572,0.0,-0.08739164316088754,0.0,-0.22067814099856572,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.08739164316088754},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.014976814028134767, 'smooth_no_interface': -0.02651997445596212, 'two_interface': -0.22067814099856572}",{'17': 0.0},{'17': -0.08739164316088754},True,False,1.272166419789195,1.2805373496467711,0.0,0.0
