geometry_digest,matrix_rows,matrix_columns,matrix_rank,setup_forward_calls_batched,setup_forward_equivalents_unbatched,assembly_batch_size,setup_seconds,dense_setup_in_budget,status
d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,150,1000,150,17,1001,64,0.07518975000130013,False,EVALUATOR_DENSE_CEILING_NOT_PRIMARY_RUNTIME
efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,150,1000,150,17,1001,64,0.062378124974202365,False,EVALUATOR_DENSE_CEILING_NOT_PRIMARY_RUNTIME
