case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,matched_step,total_calls,baseline_kind,dc_step_size,operator_norm_squared_bound
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,cgls_matched,-1,0.6099455962203054,0.06251541050563905,0.0709263720548579,0.020450280825295927,1.210097215521635,0.0006601303906647684,0.041002907390257706,,,24,24,0,1,0.0,11,24,cgls_matched,,8.977587798077511
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,huber_pdhg_matched,-1,0.560046367763596,0.057401067898336836,0.06512393448550355,0.02113372445436146,1.000428666048643,0.12526159693190975,0.12321223217896048,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.977587798077511
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,base_landweber_matched,-1,0.6052873880115479,0.06203797481269237,0.07038470110818545,0.020444165570284886,1.1953326763895975,0.0075364570556550195,0.03728727308209749,,0.0008234654344636214,24,24,0,1,0.0,11,24,base_landweber_matched,0.10024964614578638,8.977587798077511
8b2a49fe20fc05cac560,development,single_interface,2101,cgls_matched,-1,0.6814225485796656,0.08475961344414557,0.07799039402453928,0.01017414486747209,1.1377669246106512,0.0010759413308919,0.02379573740677452,,,24,24,0,1,0.0,11,24,cgls_matched,,8.977587798077511
8b2a49fe20fc05cac560,development,single_interface,2101,huber_pdhg_matched,-1,0.6662449200237204,0.08287172474412798,0.07625327916988184,0.010742633620034922,1.0629486642182415,0.13551699508375156,0.13959858630462843,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.977587798077511
8b2a49fe20fc05cac560,development,single_interface,2101,base_landweber_matched,-1,0.677112835721597,0.0842235443095586,0.07749713737397206,0.010209502285816385,1.1345179076262764,0.012159190176467147,0.02184331965729938,,0.00156016514179586,24,24,0,1,0.0,11,24,base_landweber_matched,0.10024964614578638,8.977587798077511
de074814fc16b3b9c717,ood,smooth_no_interface,3109,cgls_matched,-1,0.6275257340279642,0.07811311001702292,0.07276887638798901,0.021913226945578738,1.283843734127875,0.0006454995072867744,0.037622804124659466,,,24,24,0,1,0.0,11,24,cgls_matched,,8.50170973825559
de074814fc16b3b9c717,ood,smooth_no_interface,3109,huber_pdhg_matched,-1,0.5935482138100872,0.07388365832928324,0.06882878941683873,0.02231532743267449,1.0917048403617182,0.1035959325633024,0.09998110293829068,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.50170973825559
de074814fc16b3b9c717,ood,smooth_no_interface,3109,base_landweber_matched,-1,0.6264115370496771,0.07797441707356877,0.07263967234457169,0.02191301554034102,1.2785431973420214,0.005437589995484672,0.03696246766648241,,0.0007859520113037259,24,24,0,1,0.0,11,24,base_landweber_matched,0.10586105944669255,8.50170973825559
5b2c960052a2205fbab9,ood,single_interface,3109,cgls_matched,-1,0.7105820083866465,0.08109314237126548,0.08208232381128809,-0.002505716828992886,1.1953116086327418,0.0009920267343554237,0.0499212740228822,,,24,24,0,1,0.0,11,24,cgls_matched,,8.50170973825559
5b2c960052a2205fbab9,ood,single_interface,3109,huber_pdhg_matched,-1,0.687697898694753,0.07848155870691437,0.07943888381464669,-0.0029193805028035398,1.0656736751936888,0.13254037215241274,0.14347000038322444,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.50170973825559
5b2c960052a2205fbab9,ood,single_interface,3109,base_landweber_matched,-1,0.7060163082258042,0.08057209487949417,0.08155492053537573,-0.00251989396849856,1.187308394415853,0.008846581345129393,0.050550874272127726,,0.0010571507766090785,24,24,0,1,0.0,11,24,base_landweber_matched,0.10586105944669255,8.50170973825559
8c0534437252e57531b4,ood,two_interface,3109,cgls_matched,-1,0.7044710804290886,0.04187481900145593,0.1074297342541276,-0.012311248443059848,1.3522261667268036,0.0010161591232673733,0.08834170437361602,,,24,24,0,1,0.0,11,24,cgls_matched,,8.50170973825559
8c0534437252e57531b4,ood,two_interface,3109,huber_pdhg_matched,-1,0.6065993716332124,0.03605717764605177,0.09250459118007248,-0.012609290700719304,1.0464461012043476,0.154837975858281,0.15004965752150648,,,24,24,0,1,0.0,11,24,huber_pdhg_matched,,8.50170973825559
8c0534437252e57531b4,ood,two_interface,3109,base_landweber_matched,-1,0.702498413288991,0.04175756070407998,0.10712890841113705,-0.012377518915411886,1.3458280895625077,0.007796850674182594,0.08841752118327763,,0.0005123449974240115,24,24,0,1,0.0,11,24,base_landweber_matched,0.10586105944669255,8.50170973825559
