reference_kind,case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds
raw_learned,170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,jacru_m2,17,0.5795705248702099,0.05940216554353683,0.0673942642322586,0.016167127798226613,1.1655455663244114,0.021991355747980203,0.04210111642314217,0.5331721901893616,0.005923095055869448,13,13,1,1,0.03727333399001509
raw_learned,8b2a49fe20fc05cac560,development,single_interface,2101,jacru_m2,17,0.66640936644513,0.08289217962214751,0.07627210044491654,0.006099379987674079,1.1250051828647474,0.02351023886723101,0.027947628552152767,0.5328497290611267,0.005765065937250595,13,13,1,1,0.010025958996266127
raw_learned,de074814fc16b3b9c717,ood,smooth_no_interface,3109,jacru_m2,17,0.6100057713426075,0.07593226117126958,0.07073723381169256,0.01766490597921743,1.2640400979053212,0.018434114731102045,0.041250561701840625,0.533035159111023,0.0058856980338538815,13,13,1,1,0.012462040991522372
raw_learned,5b2c960052a2205fbab9,ood,single_interface,3109,jacru_m2,17,0.7055405311376708,0.08051779817807249,0.08149996151790943,-0.0065915252780955535,1.1881061843490393,0.020481207187487152,0.05483841717370625,0.5330343842506409,0.0057177185235566365,13,13,1,1,0.012894707964733243
raw_learned,8c0534437252e57531b4,ood,two_interface,3109,jacru_m2,17,0.7435595908921313,0.0441982987668417,0.11339061527265945,-0.01658361617310975,1.3787576699894082,0.031347294178917684,0.09309302116878801,0.5335731506347656,0.005805046357076976,13,13,1,1,0.007989416946657002
raw_learned,170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,pooled_cnn,17,0.5809487866795722,0.05954342831079093,0.06755453280454701,0.016248968811280285,1.1722478451322549,0.03304184356850485,0.045965298329768506,1.0,0.0069060574985854275,13,13,1,1,0.010466334002558142
raw_learned,8b2a49fe20fc05cac560,development,single_interface,2101,pooled_cnn,17,0.6609613739753959,0.08221452412521132,0.0756485650479108,0.006167544718972343,1.124214441269071,0.04086657828290078,0.04175830804543382,1.0,0.007451937129742079,13,13,1,1,0.004761292017064989
raw_learned,de074814fc16b3b9c717,ood,smooth_no_interface,3109,pooled_cnn,17,0.6092890972787126,0.07584305106088887,0.0706541271540081,0.017728848371088794,1.2621805397309127,0.029080520419448534,0.048026874005058666,1.0,0.006875278287769732,13,13,1,1,0.00842237495817244
raw_learned,5b2c960052a2205fbab9,ood,single_interface,3109,pooled_cnn,17,0.6979974222310433,0.07965696241630596,0.08062862520414125,-0.00648732819129416,1.1822289331831388,0.03883101976381849,0.06672066007605566,1.0,0.007400659705128279,13,13,1,1,0.011144207965116948
raw_learned,8c0534437252e57531b4,ood,two_interface,3109,pooled_cnn,17,0.7404625932961278,0.04401420857863752,0.11291833239552321,-0.016435316540032854,1.3656125500188505,0.05912108508411831,0.11222845374546789,1.0,0.007071288095860304,13,13,1,1,0.008588291006162763
