case_id,session_id,split,family,base_seed,geometry_digest,voxel_vs_continuous_clean_relative_l2,voxel_vs_continuous_clean_absolute_l2,is_sensor_noise,available_to_selector
170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,0.16949712462370226,1.0841194429843992,False,False
8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,development,single_interface,2101,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,0.24367052988413146,1.7789320372845046,False,False
de074814fc16b3b9c717,ood:3109:efb5c7642b3f28db,ood,smooth_no_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,0.15728726888659061,1.2009182742280309,False,False
5b2c960052a2205fbab9,ood:3109:efb5c7642b3f28db,ood,single_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,0.27196031073964716,1.8930144009115506,False,False
8c0534437252e57531b4,ood:3109:efb5c7642b3f28db,ood,two_interface,3109,efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,0.2778719311127099,1.0305189451223593,False,False
