iteration,field_relative_l2,measurement_relative_l2
1,0.5431743821534181,0.39675828543651526
2,0.3216769280726346,0.19800131901762305
3,0.23347291471134057,0.12074057752862821
4,0.19241101496804594,0.08631157074869406
5,0.13669923814273974,0.06125644801879326
6,0.1117647761791162,0.03884055743249587
7,0.11065191659260382,0.034123215968549135
8,0.1109953234531338,0.03230413141175216
9,0.11426364216149096,0.030963594858263624
10,0.11848226079347003,0.030207508842706565
11,0.12139578996163394,0.029908469870427168
12,0.13111321176580396,0.0292953785924889
13,0.1503409714238915,0.028537729289994377
14,0.19092545005147665,0.027279419138849317
15,0.19413405133164657,0.02711396594664108
16,0.2291221969394935,0.026569258706304923
17,0.4972506384818359,0.024273299458166368
18,0.5225200436152939,0.02409694463843644
19,0.5313914105405179,0.024046042049103045
20,0.9350454824396458,0.022683934782349754
21,0.9523907545502044,0.022634930731972654
22,0.9526723560263818,0.02263412653061745
23,0.9646448343935947,0.02260023559614046
24,1.1203007069729338,0.022206237199443698
25,1.3036166352528737,0.02179739461488333
26,1.3084360208773649,0.021787090126834066
27,1.3167892394551601,0.02176933902079532
28,1.4913816321985618,0.021408911248933817
29,3.391122350928112,0.017608423687836983
30,4.381534209576078,0.015377637419072348
31,4.382965166672209,0.015374198519679635
32,4.384107313960504,0.015371444048285712
33,4.912300999779319,0.014213579496330609
34,5.314234747397447,0.013408107481203255
35,5.3159648164213325,0.013404690560021937
36,5.316236706561023,0.01340415376267269
