strategy,model_seed,cumulative_epochs,block_index,block_seed,batch_order_contract_sha256,endpoint_validation_rel_l2,candidate_best_val_rel_l2,selected_validation_rel_l2,relative_validation_improvement_pct,retained_previous_checkpoint,selected_checkpoint_epoch,best_epoch_in_block,train_seconds_block,cumulative_train_seconds,ending_learning_rate,selected_checkpoint_sha256,endpoint_checkpoint_sha256
carry_adam_long_cosine,20260902,96,6,20270908,a7def47860a39bc67ddc67552d7ae34f99e28332d3379d0a116f5cccdc732c77,0.10514248162508011,0.10439779758453369,0.10439779758453369,2.1838517183872153,False,95,11,2.3096382919466123,17.113013290800154,0.0007499999999999998,fb36446b65d5baa028eb4b951ebffcdcbe6165da2b1c25144d7a332cf64e6316,e93b89c1a399bda899ace2037b0265db2434f402c1379076118089a4817e7d3a
carry_adam_long_cosine,20260902,108,7,20270909,711d551c20f7b54c1acf29daf778abdf521d9e25c9b60a969e6397250ab202c1,0.10297880321741104,0.1028711512684822,0.1028711512684822,1.4623357497563043,False,106,10,2.0795434169704095,19.192556707770564,0.0006710100716628344,8bd918403292446340dae2b53905c60f2f3bf76d02ac1ca7627b5d68bab989c4,259cc3cdc269e19b647a988d79eb1ba354f5626e93ecb33fbe6eca4e6313b1b8
carry_adam_long_cosine,20260902,120,8,20270910,fe23b47ecf4b9152bc5df64073ea27a3d73fc35c67fff2b66f515dfbe7084e0a,0.10091625228524208,0.10091905072331428,0.10091905072331428,1.8976170880543395,False,118,10,2.117598208016716,21.31015491578728,0.0005868240888334653,ea20956f1c71e30c3abf05532209b820252354c47dabb3377ec15c504f7e78e5,ddd127e64e56ce4891418eb79161d4ad88eb50baae18c36a2d495dc40c84d429
carry_adam_long_cosine,20260902,132,9,20270911,01e187b3417d64a293b488dcb0ae855a7b2c83639a6d20aeb1c82a4588729a26,0.09977474324405193,0.09977474324405193,0.09977474324405193,1.1338864872880268,False,132,12,2.076115707983263,23.386270623770542,0.0004999999999999999,844350b4c362b784bad274e783a16313df32e724071d25025429e5efcca56e1c,844350b4c362b784bad274e783a16313df32e724071d25025429e5efcca56e1c
carry_adam_long_cosine,20260902,144,10,20270912,6bca3d54db854935e125677c616d0ceb9cc015d6b26f6f2562f8967166303756,0.09898769408464432,0.09884611144661903,0.09884611144661903,0.9307283258571049,False,142,10,2.0656834580004215,25.451954081770964,0.00041317591116653486,b013b4c1df51e8c249db8564f1838501a9828aa286d28c839a38f3c3619a6530,cbbcb1615dca1753db57f32219643bde1b4aea45cb1374cf95ba4f95f8a4c071
carry_adam_long_cosine,20260902,156,11,20270913,6c70c9b47bc262dc9f2ae853f7f65c3075c25e40559204ef7792e02e3e8b9283,0.09798879697918891,0.09792602211236953,0.09792602211236953,0.930830075937868,False,155,11,2.06455262505915,27.516506706830114,0.0003289899283371655,38d481e5edacb8d0fded5a67eeb62aeab58536ac93230d1d980b59e907cd3692,a0aca8e4e3cf62aae2690983c3bd638b2ea246dacc5fee4a961359f10200b7c3
carry_adam_long_cosine,20260902,168,12,20270914,77a1198da194af11dc28fd1b9e6c0d5d48a57872d5b200693728a9428d7ffada,0.09795224107801914,0.09754961952567101,0.09754961952567101,0.3843744273230638,False,164,8,2.0435290000168607,29.560035706846975,0.00025,94d6272afe075dc1bd065a71535dd576353f1fa4b5b802927748bd8c3dc9f05a,cee0886ec64cf9028dd468793abfbf07e8efc07a2f61a95368953de6a90835da
carry_adam_long_cosine,20260902,180,13,20270915,ad000b7862d9e826e8d5a7f4f45b06a79f64f80988dbc3a06d5ca128058c4249,0.09718987867236137,0.09707433208823205,0.09707433208823205,0.4872263364482079,False,174,6,2.0912230419926345,31.65125874883961,0.00017860619515673023,bad897e249431edc40676bbda0efd9afd883483ea21fb42038a8aabf1632716e,a77ed0d7212fa271d27bb02a14c9e6424b8210d3b366235f29530a8a47d05486
carry_adam_long_cosine,20260902,192,14,20270916,5f683b1e3cddd119bb4de59c4bfd506dd0fbfc2c74c37fdbde51102ddb5b7a6e,0.09684731662273408,0.09681499674916268,0.09681499674916268,0.2671512988943201,False,188,8,2.0621242079650983,33.71338295680471,0.00011697777844051089,c7e5fc539ab15eeac7221a32b14a9d28aedd47108cb00bb2b86a30b5cd5fad6a,d2f4e4b9f12e66483673ced60c3b0e49021e2d01bf38076d0676ae7358d2a227
carry_adam_long_cosine,20260902,204,15,20270917,f8b61a1cec68255d4a08860fe53db77c59f24ebb99b575aa01662377e247b4b5,0.09666674360632896,0.0966047316789627,0.0966047316789627,0.2171823346155498,False,202,10,2.1247289170278236,35.83811187383253,6.698729810778062e-05,efac08b6e625c580755f97200afb13669b94ef5f3ac1dfac0442279002854382,74ec48071db99ab7dfc3fc298c7ca37d8a784508ce55ac1adad2e8f7ee4f2633
carry_adam_long_cosine,20260902,216,16,20270918,bdb2b781577aff57922a11e8c63c5d86cec0549262131080a76dd19497285a0c,0.09651793465018273,0.09649854525923729,0.09649854525923729,0.10991844589682763,False,215,11,2.0422145830234513,37.88032645685598,3.0153689607045822e-05,7863e2618bf75dd17263a6aa2d857dc86464ad9a2be7f3b657ac073d1cb5385c,64eeeac10542b72ad4eccaab0f100a80c37add8f53f16e116790732ddec47af8
carry_adam_long_cosine,20260902,228,17,20270919,c8f5ddc5516e2e7d6552183eb860819cc6ca6da0f8c5c56d548d11fa7cb97364,0.09647395946085453,0.09646118357777596,0.09646118357777596,0.038717352018700864,False,227,11,2.044125417014584,39.92445187387057,7.596123493895983e-06,2e691ed2f593ebe03bb91c706932dfab2222677073fd2f7a67e7f95d44a1340e,b1c4bfbd6d1c52d5a1b822330a4f3983aa654307204aa6cb1644c75199df2bc7
carry_adam_long_cosine,20260902,240,18,20270920,e676c4c75819cccc451039cdea4b7c8397f82eec1b1a1c43bb9752bb86bae52a,0.09646769762039184,0.09646981246769429,0.09646118357777596,0.0,True,227,1,2.0465688329422846,41.97102070681285,0.0,2e691ed2f593ebe03bb91c706932dfab2222677073fd2f7a67e7f95d44a1340e,137bbbee519e1737d77ae1d4dea183fd015de6906a74bdc020a241242fd64da7
restart_adam_restart_cosine,20260903,24,0,20261004,215d5449504627e1f1988524fb0f425ad99ecfb9df0704e0f88b5a6f76458da4,0.16183300837874412,0.16183300837874412,0.16183300837874412,0.0,False,24,24,4.290174999972805,4.290174999972805,0.0,ac3e53b20e03dec1bb01fae69a7ee34837990a8aa08efcc2312fdf6edb5e7af1,ac3e53b20e03dec1bb01fae69a7ee34837990a8aa08efcc2312fdf6edb5e7af1
