case_id,screen_met,reference_relative_l2,exit_integral_relative_l2,momentum_balance_relative_l2,residual_variance_ratio,conservative_timing_gain,trajectory_jvp_fraction,trajectory_jvp_relative_error,topology_signature_stable
smooth_narrow_aperture,True,0.0031834251727471427,0.0005650878650734164,0.0021469184183273812,7.409650101121211e-06,118.9826495679621,0.0008298462728643347,8.137679873455187e-09,True
wrinkled_wide_aperture,True,0.002609146454981701,0.00027469032288270805,0.00034887229315913506,2.422189106562992e-05,116.85978620665769,0.00022516182276427645,4.096306949857085e-09,True
smooth_wide_aperture,True,0.0032295218423690213,0.0005204413566257335,0.001960969988452601,2.7338362128106042e-06,127.39501073234977,0.00021489133123266265,1.0624474250403098e-08,True
