case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_variant,projection_iterations,damping_fraction,damping_absolute,preconditioner,projection_forward_calls,projection_adjoint_calls,paired_call_budget,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,visible_correction_fraction,system_residual_fraction,exact_projection_approximation_error,exact_oracle_error_reduction_retention,oracle_reduction_defined,base_anchor_field_relative_l2,exact_oracle_field_relative_l2,raw_learned_field_relative_l2,exact_oracle_rank,exact_oracle_nullity_lower_bound,field_harm_to_best_matched_classical,converged,breakdown,projection_diagnostic_forward_calls,dense_oracle_used_by_algorithm
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,14,13,1,1,0.029853541986085474,cg_undamped,0,0.0,0.0,identity,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5847222626652399,0.5000252754422545,42.87705265529154,1.0,1.0,0.3264763448251316,1.015746699765297,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2528113606049461,0.02591150110213912,0.029397691750011053,0.003188190820219952,0.5204790532438575,0.0754549448391168,0.07538785581942584,0.7063487768173218,0.047591335103777305,15,14,1,1,0.029853541986085474,cg_undamped,1,0.0,0.0,identity,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5766034196757974,0.4614590081109507,21.07945849945037,0.3802532419254649,0.3802532419254649,0.1590085201789905,1.0012908458387166,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25070816013081554,0.02569593689144444,0.02915312505380319,0.0029244188374222668,0.5341206576246941,0.04756861417044163,0.046585799497313694,0.7063487768173218,0.04725624114809172,16,15,1,1,0.029853541986085474,cg_undamped,2,0.0,0.0,identity,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5802404982461485,0.4527256877653245,16.694648132750924,0.2377059627271115,0.2377059627271115,0.11131952065390492,1.007424757222426,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25092408267710076,0.025718067531786938,0.029178233199427583,0.0026547047346024803,0.5301874287159603,0.019965811249692815,0.022207238613694162,0.7063487768173218,0.047028454431985195,18,17,1,1,0.029853541986085474,cg_undamped,4,0.0,0.0,identity,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5723767875914466,0.46399430816476694,11.599732269279542,0.09031279259597452,0.09031279259597454,0.06066855388672825,1.0067950265900163,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25216537348145146,0.02584529167222131,0.02932257435700494,0.0027276584687828723,0.535204683766025,0.011619237768500872,0.01888103961404304,0.7063487768173218,0.046950811669683755,22,21,1,1,0.029853541986085474,cg_undamped,8,0.0,0.0,identity,9,8,22,0.5976395706410947,0.567382652763368,0.596272913069439,0.5555638293604663,0.4640548923373814,17.320821361673968,0.03838600246471003,0.03838600246471003,0.026850718541171825,1.0031748449245248,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25314066566844495,0.025945252704501345,0.029435984367578924,0.0027089008946645917,0.5373895994745279,0.008795176352634264,0.017799332361685984,0.7063487768173218,0.04693514032875003,26,25,1,1,0.029853541986085474,cg_undamped,12,0.0,0.0,identity,13,12,26,0.5976546838072083,0.5528067721055604,0.5963235531779676,0.542081106017806,0.4607903601430288,35.45164711459638,0.01725203062858355,0.01725203062858358,0.011143102473807044,1.0003304390194172,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,14,13,1,1,0.029853541986085474,cg_damped_1e-6,0,1e-06,8.97758779807751e-06,identity,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5847222626652399,0.5000252754422545,42.87705265529154,1.0,1.0,0.3264763448251316,1.015746699765297,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2528112773546549,0.025911492569532017,0.029397682069408126,0.0031881913515714095,0.5204788617408089,0.0754547993240315,0.07538770609393633,0.7063487768173218,0.04759133510378533,15,14,1,1,0.029853541986085474,cg_damped_1e-6,1,1e-06,8.97758779807751e-06,identity,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5766035590994709,0.46145920625963904,21.079417847652028,0.38025249961817376,0.38025249961316276,0.1590085201799648,1.0012910886353092,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2507080456050053,0.02569592515330241,0.029153111736385576,0.0029244206142706028,0.5341203398444415,0.047568410919118294,0.04658558813461587,0.7063487768173218,0.047256241148109085,16,15,1,1,0.029853541986085474,cg_damped_1e-6,2,1e-06,8.97758779807751e-06,identity,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5802406899961777,0.4527260133714711,16.694576799806192,0.2377049162492718,0.23770491623711826,0.11131952065689524,1.0074250912329874,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2509239094073508,0.0257180497727776,0.029178213051081862,0.0026547098892170055,0.5301870005067383,0.0199656027693706,0.02220700120395063,0.7063487768173218,0.04702845443203712,18,17,1,1,0.029853541986085474,cg_damped_1e-6,4,1e-06,8.97758779807751e-06,identity,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5723770828766432,0.4639947410731458,11.599611146431545,0.09031163847019233,0.09031163842073262,0.06066855390305378,1.0067955319252446,1,0.5961347720424761,0.2532539668654846,0.24785472577107925,150,850,0,0,0,1,False
