split,candidate_id,replicate,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,mean_field_gain_percent,field_harm_over_one_percent_rate,mean_gradient_gain_percent,mean_front_f1_gain
opened_diagnostic_check,full_graph_s4_k4,9,full_graph,1.0,4.0,0.05,4,10.632186549180993,0.0,10.861331962171429,0.10267631709575653
opened_diagnostic_check,full_graph_s4_k4,10,full_graph,1.0,4.0,0.05,4,12.705773843296907,0.0,10.822042767200477,0.13296842947602272
opened_diagnostic_check,full_graph_s4_k4,11,full_graph,1.0,4.0,0.05,4,11.172605255045475,0.125,9.461754154781431,0.11289808340370655
opened_diagnostic_check,full_graph_s4_k4,12,full_graph,1.0,4.0,0.05,4,13.944188465397234,0.0,13.168039294922004,0.11249999818392098
opened_diagnostic_check,full_graph_s4_k4,13,full_graph,1.0,4.0,0.05,4,10.907913445781269,0.0,10.287943678369599,0.10457318741828203
opened_diagnostic_check,full_graph_s4_k4,14,full_graph,1.0,4.0,0.05,4,12.839043332366883,0.0,12.972788678781692,0.14698870154097676
opened_diagnostic_check,full_graph_s4_k4,15,full_graph,1.0,4.0,0.05,4,13.61726776982195,0.0,12.429582757917595,0.13070058077573776
opened_diagnostic_check,full_graph_s4_k5,8,full_graph,1.0,4.0,0.05,5,14.989356297770952,0.125,12.704408915665798,0.13404383743181825
opened_diagnostic_check,full_graph_s4_k5,9,full_graph,1.0,4.0,0.05,5,10.39413217305445,0.125,11.930395761671427,0.11041190102696419
opened_diagnostic_check,full_graph_s4_k5,10,full_graph,1.0,4.0,0.05,5,13.695366847997104,0.125,11.84034959607185,0.16894402354955673
opened_diagnostic_check,full_graph_s4_k5,11,full_graph,1.0,4.0,0.05,5,10.877887533119694,0.125,9.724079564406958,0.13728833012282848
opened_diagnostic_check,full_graph_s4_k5,12,full_graph,1.0,4.0,0.05,5,11.297216244796846,0.0,12.047070635101022,0.12926828721538186
opened_diagnostic_check,full_graph_s4_k5,13,full_graph,1.0,4.0,0.05,5,12.630521752126532,0.125,12.104086441422105,0.11671445402316749
opened_diagnostic_check,full_graph_s4_k5,14,full_graph,1.0,4.0,0.05,5,14.611273499939927,0.125,17.331315052514938,0.20461065927520394
opened_diagnostic_check,full_graph_s4_k5,15,full_graph,1.0,4.0,0.05,5,14.89905220479266,0.0,14.784379812719981,0.17835365794599056
opened_diagnostic_check,full_graph_s5_k2,8,full_graph,1.0,5.0,0.05,2,-0.9950851401262869,0.625,3.040692329352324,-0.02195122605189681
opened_diagnostic_check,full_graph_s5_k2,9,full_graph,1.0,5.0,0.05,2,-5.545117298640347,0.625,0.5216046844491611,-0.062453944236040115
opened_diagnostic_check,full_graph_s5_k2,10,full_graph,1.0,5.0,0.05,2,-4.569347334176616,0.375,0.47666980826001715,-0.07739743404090405
opened_diagnostic_check,full_graph_s5_k2,11,full_graph,1.0,5.0,0.05,2,-0.46612920281802217,0.625,2.5642854595307765,-0.05478484183549881
opened_diagnostic_check,full_graph_s5_k2,12,full_graph,1.0,5.0,0.05,2,2.8828305301723613,0.5,6.307456974924265,-0.029573174193501472
opened_diagnostic_check,full_graph_s5_k2,13,full_graph,1.0,5.0,0.05,2,-2.8756101793971283,0.625,0.7332173232866452,-0.048475601710379124
opened_diagnostic_check,full_graph_s5_k2,14,full_graph,1.0,5.0,0.05,2,-0.13623331100389846,0.375,3.809735998251429,-0.016730794915929437
opened_diagnostic_check,full_graph_s5_k2,15,full_graph,1.0,5.0,0.05,2,-0.6737839345411698,0.5,3.389985648884812,-0.020731709897518158
opened_diagnostic_check,full_graph_s5_k3,8,full_graph,1.0,5.0,0.05,3,-3.9148654121724165,0.75,-1.4042340923134775,-0.024695126863662153
opened_diagnostic_check,full_graph_s5_k3,9,full_graph,1.0,5.0,0.05,3,-1.6090515210658392,0.5,-1.18554166857126,-0.018551507964730263
opened_diagnostic_check,full_graph_s5_k3,10,full_graph,1.0,5.0,0.05,3,-3.7000265912989594,0.625,-1.487744912878747,-0.05483646132051945
opened_diagnostic_check,full_graph_s5_k3,11,full_graph,1.0,5.0,0.05,3,-3.9448091652677,0.75,-2.6465156353474786,-0.05295557342469692
opened_diagnostic_check,full_graph_s5_k3,12,full_graph,1.0,5.0,0.05,3,-2.1942531898014757,0.625,-0.9051986227276236,-0.059146348387002945
opened_diagnostic_check,full_graph_s5_k3,13,full_graph,1.0,5.0,0.05,3,-2.6147648424240417,0.5,-1.1667714813537402,-0.026013785507529974
opened_diagnostic_check,full_graph_s5_k3,14,full_graph,1.0,5.0,0.05,3,-4.040807468112492,0.625,-2.2508542889801535,-0.06372658093459904
opened_diagnostic_check,full_graph_s5_k3,15,full_graph,1.0,5.0,0.05,3,-6.990589145265828,1.0,-3.4225125876297846,-0.07501560263335705
opened_diagnostic_check,full_graph_s5_k4,8,full_graph,1.0,5.0,0.05,4,1.4094531368386,0.125,1.1301723830463868,0.007926836144179106
opened_diagnostic_check,full_graph_s5_k4,9,full_graph,1.0,5.0,0.05,4,0.6262896525122534,0.25,0.6759734952425789,0.0079728695563972
opened_diagnostic_check,full_graph_s5_k4,10,full_graph,1.0,5.0,0.05,4,1.0506636627926973,0.125,0.7371624568657809,0.010045004426501691
opened_diagnostic_check,full_graph_s5_k4,11,full_graph,1.0,5.0,0.05,4,1.2969201508419352,0.125,0.9373542862631935,0.011373692192137241
opened_diagnostic_check,full_graph_s5_k4,12,full_graph,1.0,5.0,0.05,4,1.009691646959813,0.125,0.8613617655418284,0.01310974732041359
opened_diagnostic_check,full_graph_s5_k4,13,full_graph,1.0,5.0,0.05,4,1.824648428971831,0.0,1.1824750329594484,0.02134147472679615
opened_diagnostic_check,full_graph_s5_k4,14,full_graph,1.0,5.0,0.05,4,1.1380617183846515,0.125,1.1035150027968985,0.015367937157861888
opened_diagnostic_check,full_graph_s5_k4,15,full_graph,1.0,5.0,0.05,4,1.616016532884379,0.125,1.2036928743047668,0.018597550690174103
opened_diagnostic_check,full_graph_s5_k5,8,full_graph,1.0,5.0,0.05,5,3.693316128493706,0.375,0.9811287202296626,0.015548770548775792
opened_diagnostic_check,full_graph_s5_k5,9,full_graph,1.0,5.0,0.05,5,0.6377477321466276,0.25,0.5709787766066425,0.0030948342755436897
opened_diagnostic_check,full_graph_s5_k5,10,full_graph,1.0,5.0,0.05,5,3.4776363088278384,0.25,1.12437935889037,0.03540744446218014
opened_diagnostic_check,full_graph_s5_k5,11,full_graph,1.0,5.0,0.05,5,3.3891868130361718,0.375,1.816999619045676,0.05954441986978054
opened_diagnostic_check,full_graph_s5_k5,12,full_graph,1.0,5.0,0.05,5,-2.2034093366551133,0.5,-1.4384406233179392,0.01341463252902031
opened_diagnostic_check,full_graph_s5_k5,13,full_graph,1.0,5.0,0.05,5,0.40725193657031644,0.5,0.2049164435695947,0.02560976706445217
opened_diagnostic_check,full_graph_s5_k5,14,full_graph,1.0,5.0,0.05,5,3.959801388266408,0.375,5.82439584346759,0.09729360736673698
opened_diagnostic_check,full_graph_s5_k5,15,full_graph,1.0,5.0,0.05,5,1.0602128748189337,0.5,0.8919836940529895,0.0371951125562191
opened_diagnostic_check,full_graph_s6_k2,8,full_graph,1.0,6.0,0.05,2,-11.262402001567459,0.875,-4.645394130589276,-0.17195122613338754
opened_diagnostic_check,full_graph_s6_k2,9,full_graph,1.0,6.0,0.05,2,-14.52920873706228,0.875,-7.134174852266138,-0.21977101918309927
opened_diagnostic_check,full_graph_s6_k2,10,full_graph,1.0,6.0,0.05,2,-15.888441314873702,0.875,-7.693144724743484,-0.22526328323874623
opened_diagnostic_check,full_graph_s6_k2,11,full_graph,1.0,6.0,0.05,2,-7.478869641724067,0.75,-3.2604655378137495,-0.23100435314700007
opened_diagnostic_check,full_graph_s6_k2,12,full_graph,1.0,6.0,0.05,2,-4.586446791447083,0.625,0.2552202578445186,-0.16554878931492567
opened_diagnostic_check,full_graph_s6_k2,13,full_graph,1.0,6.0,0.05,2,-15.651646522185754,0.75,-7.210603504353763,-0.1923780411016196
opened_diagnostic_check,full_graph_s6_k2,14,full_graph,1.0,6.0,0.05,2,-9.045278834395369,0.75,-3.322148612839916,-0.1527064039837569
opened_diagnostic_check,full_graph_s6_k2,15,full_graph,1.0,6.0,0.05,2,-13.396065938869778,0.75,-6.321981463865437,-0.17957317410036922
