partition,base_seed,geometry_digest,family,case_id,candidate_id,kind,beta,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,modeled_continuous_reprojection_relative_l2,raw_low_reprojection_relative_l2,modeled_correction_relative_norm,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,runtime_seconds
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_curvature_half,damping_curvature,0.5,0.6987039166681923,0.06143328077499556,0.08198919180700576,0.005497047959620428,1.1179182160737413,0.002129578775208438,0.15531737062040218,0.15535902182316152,25,24,0,0,False,0.003433374979067594
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b0p25,damping_high_order,0.25,0.6994207350291747,0.06149630676151772,0.08207330663259543,0.00548177971917719,1.0960262459377097,0.0008228039924111912,0.1685667023898045,0.16857786835438998,25,24,1,0,False,0.004047291993629187
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b0p5,damping_high_order,0.5,0.6994740470758768,0.061500994203301844,0.0820795625179832,0.00547180110806481,1.088968338214221,0.0008615649681856018,0.17702761376466963,0.17703581753935166,25,24,1,0,False,0.0034996659960597754
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b0p75,damping_high_order,0.75,0.6997856521548332,0.061528391963425674,0.08211612771817335,0.00546191736450291,1.082454147686154,0.0009787238520650146,0.18644191043031913,0.18644821599797692,25,24,1,0,False,0.0038167499587871134
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b1p0,damping_high_order,1.0,0.7003528713969775,0.061578264503327554,0.08218268788211598,0.005452102438730507,1.076477242104317,0.0011498755042121688,0.19667224770281103,0.19667808055275235,25,24,1,0,False,0.0034894999698735774
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,exact_mismatch_oracle,exact_oracle,1.0,0.6962397454789389,0.06121661944401442,0.08170003441220479,0.005273699929575783,1.1237718457144008,0.0010477096386643482,0.1598330254704743,0.15984164993716313,25,24,0,0,True,0.003906333004124463
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,low_cgls25,low_reference,,0.5604747498281955,0.04349663019778197,0.0669351093910788,0.018417122338088888,1.2220086200414713,0.0017883593754678758,0.0017883593754678758,0.0,25,25,0,0,False,0.007867083011660725
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,direct_high_order_cgls25,direct_high_order_reference,,0.6267288502171376,0.04863839636046445,0.07484755407926637,0.02159874795387819,1.2256099847208113,0.0026225447210133468,0.13467604204505845,0.0,0,0,25,25,False,0.007382458017673343
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,component_damping_correction,damping,0.0,0.5511086248828708,0.04276975557362114,0.06581655302796345,0.019509269203770156,1.061648956492642,0.003811907098651507,0.1564261077391214,0.1562979421832338,25,24,0,0,False,0.003863167017698288
calibration,1289,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,smooth_no_interface,053736d143b5a7f2878b,visible_curvature_correction,curvature,1.0,0.5497592567021562,0.04266503547913839,0.06565540374012725,0.019182979708068326,1.0941583167387074,0.002594858091023151,0.16268502533552065,0.16266535689974274,25,24,0,0,False,0.003496292047202587
