partition,candidate_id,kind,beta,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls25,median_field_gain_over_low_cgls25,worst_case_field_gain_over_low_cgls25,mean_h1_gain_over_low_cgls25,mean_field_gain_over_component_damping,case_field_harm_over_one_percent_rate,mean_modeled_continuous_reprojection_relative_l2,mean_runtime_seconds,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only
calibration,component_damping_correction,damping,0.0,4,8,0.02269955592492659,0.020451352570550974,0.007781125905998776,0.11354052787271753,0.0,0.0,0.003424919130887342,0.004174427507678047,25,24,0,0,False
calibration,damping_curvature_half,damping_curvature,0.5,4,8,0.02611063975661017,0.024815930424925692,0.00909071067777012,0.10597121248190862,0.0034969759711849097,0.0,0.002623992659956799,0.0038163958670338616,25,24,0,0,False
calibration,damping_high_order_b0p25,damping_high_order,0.25,4,8,0.024550989197373002,0.02291324989390825,0.008074111291808128,0.1133949974437973,0.0019047967436466307,0.0,0.003565870754717786,0.0035653802478918806,25,24,1,0,False
calibration,damping_high_order_b0p5,damping_high_order,0.5,4,8,0.02553314238181198,0.024303441891358635,0.007998503582949401,0.11233316846727842,0.002916171721775482,0.0,0.003764626958413329,0.003694968494528439,25,24,1,0,False
calibration,damping_high_order_b0p75,damping_high_order,0.75,4,8,0.025692058159750675,0.024588212519393027,0.007556581962114173,0.11046336056738115,0.003082048174286464,0.0,0.00399655244280484,0.0036274323720135726,25,24,1,0,False
calibration,damping_high_order_b1p0,damping_high_order,1.0,4,8,0.02494589469383926,0.023722534740858114,0.006752145629764228,0.10774160593924995,0.002317552528456529,0.0,0.004171950904680949,0.0037764741355204023,25,24,1,0,False
calibration,direct_high_order_cgls25,direct_high_order_reference,,4,8,-0.09178757575163787,-0.09727391261766605,-0.11821067837445187,0.009616628898696189,-0.1172104407264967,1.0,0.0019390226107214845,0.008023614616831765,0,0,25,25,False
calibration,exact_mismatch_oracle,exact_oracle,1.0,4,8,0.03869298930005399,0.04360960016211923,0.012585424337821172,0.09191895857933063,0.016381938875630594,0.0,0.004074435860495749,0.003673385377624072,25,24,0,0,True
calibration,low_cgls25,low_reference,,4,8,0.0,0.0,0.0,0.0,-0.0233692592836911,0.0,0.0015033075750946448,0.007965526121552102,25,25,0,0,False
calibration,visible_curvature_correction,curvature,1.0,4,8,0.026155873034554536,0.026577067150109157,0.00831047627546555,0.09464824780576916,0.003537607893038572,0.0,0.0033041690359095115,0.004179260628006887,25,24,0,0,False
development,component_damping_correction,damping,0.0,6,12,0.037212635574164286,0.02049095195071393,0.0016183035202884666,0.10778579882779205,0.0,0.0,0.001714274279196522,0.00377963558518483,25,24,0,0,False
development,damping_curvature_half,damping_curvature,0.5,6,12,0.03470912927258075,0.019544713276354597,-0.005754281261740379,0.09905047606477779,-0.002538067567500172,0.0,0.003829015330592784,0.0038381527507832893,25,24,0,0,False
development,damping_high_order_b0p25,damping_high_order,0.25,6,12,0.04163699720345592,0.022508064208022205,0.008129392965080195,0.10907930042788629,0.004786916339239333,0.0,0.0018383565387973578,0.003701138916464212,25,24,1,0,False
development,damping_high_order_b0p5,damping_high_order,0.5,6,12,0.045239399929708025,0.02372589487370802,0.014549143224623973,0.10950398253712212,0.00870868184942141,0.0,0.0022489726483144582,0.003796312589353571,25,24,1,0,False
development,damping_high_order_b0p75,damping_high_order,0.75,6,12,0.04799102246346265,0.024127821247845738,0.016548295849878603,0.10898768497453104,0.011734391499728658,0.0,0.00273521935405412,0.0038116665818961337,25,24,1,0,False
development,damping_high_order_b1p0,damping_high_order,1.0,6,12,0.049785189063290276,0.025237359017884375,0.01603789336553685,0.10739677303610766,0.013748955603430498,0.0,0.003225937578055556,0.0037967847601976246,25,24,1,0,False
development,direct_high_order_cgls25,direct_high_order_reference,,6,12,-0.05100176181338308,-0.06598727095444756,-0.10140316385414883,0.020296221445153795,-0.09095359669794957,0.8333333333333334,0.0003321452739186521,0.007736232577978323,0,0,25,25,False
development,exact_mismatch_oracle,exact_oracle,1.0,6,12,0.0861743679328949,0.04692860242769736,0.022031261352291942,0.11552853558060239,0.05305920758257187,0.0,0.005119521738310743,0.00390764934127219,25,24,0,0,True
development,low_cgls25,low_reference,,6,12,0.0,0.0,0.0,0.0,-0.04043386597174146,0.0,0.0006090075237487178,0.008040697745551975,25,25,0,0,False
development,visible_curvature_correction,curvature,1.0,6,12,0.016525267362713193,0.0030555023589151076,-0.027088507096430625,0.06979394029314881,-0.021288320148283375,0.3333333333333333,0.006512412738663102,0.003808597165819568,25,24,0,0,False
