stage,family,phantom_seed,noise_fraction,candidate_name,base_model_seed,residual_seed,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,base_field_relative_l2,candidate_field_relative_l2,field_delta_candidate_minus_base,base_h1_relative_error,candidate_h1_relative_error,h1_delta_candidate_minus_base,base_test_automatic_relative_l2,candidate_test_automatic_relative_l2,test_automatic_delta_candidate_minus_base,base_dense_automatic_relative_l2,candidate_dense_automatic_relative_l2,dense_automatic_delta_candidate_minus_base,base_source_reexecution_max_abs_difference,base_training_seconds,residual_training_seconds
A,smooth_plume,2201,0.02,mgrs_56,101,307,220,0,False,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,1.0594377919333056,5.261217708000913
A,smooth_plume,2201,0.02,mgrs_6816,101,307,220,0,False,0.0,0.06888311125235969,0.06888311125235969,0.0,0.0554585657005529,0.0554585657005529,0.0,0.12204964701134638,0.12204964701134638,0.0,0.13144395133070116,0.13144395133070116,0.0,0.0,1.0594377919333056,5.249124791007489
A,smooth_plume,2201,0.02,mgrs_56,211,419,220,240,True,0.5123115598931147,0.05971285909451849,0.06343038132285396,0.0037175222283354695,0.05781908184623826,0.06802938721071829,0.010210305364480025,0.08787857944823682,0.061390721502911444,-0.026487857945325377,0.09634939915011813,0.051835065918986255,-0.044514333231131874,0.0,0.9042668750043958,5.164998916909099
A,smooth_plume,2201,0.02,mgrs_6816,211,419,220,240,True,0.5217691008488605,0.05971285909451849,0.06245723442736094,0.0027443753328424483,0.05781908184623826,0.06046493472540292,0.002645852879164662,0.08787857944823682,0.039911536813322414,-0.04796704263491441,0.09634939915011813,0.04223790958237998,-0.05411148956773815,0.0,0.9042668750043958,5.20254812494386
A,smooth_plume,2201,0.08,mgrs_56,101,307,220,0,False,0.0,0.08981231494760153,0.08981231494760153,0.0,0.08754835408357241,0.08754835408357241,0.0,0.14227638158771444,0.14227638158771444,0.0,0.15574344628626868,0.15574344628626868,0.0,0.0,0.8993094998877496,5.1891520420322195
A,smooth_plume,2201,0.08,mgrs_6816,101,307,220,240,True,0.4619273523280363,0.08981231494760153,0.07808161619428812,-0.01173069875331341,0.08754835408357241,0.08742981800530646,-0.0001185360782659517,0.14227638158771444,0.06273857459872523,-0.07953780698898921,0.15574344628626868,0.06052806730931366,-0.09521537897695502,0.0,0.8993094998877496,5.2741137919947505
A,smooth_plume,2201,0.08,mgrs_56,211,419,200,220,True,0.28855867384847367,0.0658943999552897,0.07452733560999394,0.008632935654704244,0.07115606041737649,0.09254095840585817,0.021384897988481685,0.08979530868598586,0.11058596780612219,0.020790659120136334,0.10055363505739263,0.06624097100625426,-0.03431266405113838,0.0,0.9001123330090195,5.224154290976003
A,smooth_plume,2201,0.08,mgrs_6816,211,419,200,240,True,0.2923330247789373,0.0658943999552897,0.06787951895128641,0.0019851189959967097,0.07115606041737649,0.07532328502372508,0.0041672246063485935,0.08979530868598586,0.07448186656117853,-0.015313442124807328,0.10055363505739263,0.057139392766750896,-0.04341424229064174,0.0,0.9001123330090195,5.219273291993886
A,wrinkled_density_interface,2202,0.02,mgrs_56,101,307,120,0,False,0.0,0.13102364867704336,0.13102364867704336,0.0,0.19437536406442285,0.19437536406442285,0.0,0.15002699345282935,0.15002699345282935,0.0,0.14297249873146733,0.14297249873146733,0.0,0.0,0.8936720839701593,5.185802833060734
A,wrinkled_density_interface,2202,0.02,mgrs_6816,101,307,120,160,True,0.2895203952371892,0.13102364867704336,0.1288589272779104,-0.0021647213991329572,0.19437536406442285,0.19303396186240643,-0.001341402202016423,0.15002699345282935,0.13390501489137602,-0.016121978561453337,0.14297249873146733,0.12467502205501584,-0.0182974766764515,0.0,0.8936720839701593,5.186539250076748
A,wrinkled_density_interface,2202,0.02,mgrs_56,211,419,80,0,False,0.0,0.1544272705771589,0.1544272705771589,0.0,0.19835485474284778,0.19835485474284778,0.0,0.18667820908875965,0.18667820908875965,0.0,0.16127203487387615,0.16127203487387615,0.0,0.0,0.8896158339921385,5.184647541958839
A,wrinkled_density_interface,2202,0.02,mgrs_6816,211,419,80,0,False,0.0,0.1544272705771589,0.1544272705771589,0.0,0.19835485474284778,0.19835485474284778,0.0,0.18667820908875965,0.18667820908875965,0.0,0.16127203487387615,0.16127203487387615,0.0,0.0,0.8896158339921385,5.177025333046913
