stage,family,phantom_seed,noise_fraction,candidate_name,model_seed_repeat_count,residual_admission_count,base_field_relative_l2,candidate_field_relative_l2,field_delta_candidate_minus_base,base_h1_relative_error,candidate_h1_relative_error,h1_delta_candidate_minus_base,test_automatic_delta_candidate_minus_base,dense_automatic_delta_candidate_minus_base,median_normalized_development_improvement,median_residual_training_seconds
A,smooth_plume,2201,0.02,mgrs_56,2,1,0.06429798517343908,0.06615674628760682,0.0018587611141677347,0.05663882377339558,0.06174397645563559,0.005105152682240013,-0.013243928972662689,-0.022257166615565937,0.25615577994655736,5.213108312455006
A,smooth_plume,2201,0.02,mgrs_6816,2,1,0.06429798517343908,0.06567017283986032,0.0013721876664212242,0.05663882377339558,0.05796175021297791,0.001322926439582331,-0.023983521317457204,-0.027055744783869073,0.26088455042443026,5.225836457975674
A,smooth_plume,2201,0.08,mgrs_56,2,1,0.07785335745144562,0.08216982527879774,0.004316467827352122,0.07935220725047445,0.09004465624471529,0.010692448994240843,0.010395329560068167,-0.01715633202556919,0.14427933692423683,5.206653166504111
A,smooth_plume,2201,0.08,mgrs_6816,2,2,0.07785335745144562,0.07298056757278726,-0.00487278987865835,0.07935220725047445,0.08137655151451577,0.002024344264041321,-0.04742562455689827,-0.06931481063379838,0.3771301885534868,5.246693541994318
A,wrinkled_density_interface,2202,0.02,mgrs_56,2,0,0.14272545962710115,0.14272545962710115,0.0,0.19636510940363533,0.19636510940363533,0.0,0.0,0.0,0.0,5.185225187509786
A,wrinkled_density_interface,2202,0.02,mgrs_6816,2,1,0.14272545962710115,0.14164309892753466,-0.0010823606995664786,0.19636510940363533,0.1956944083026271,-0.0006707011010082115,-0.008060989280726669,-0.00914873833822575,0.1447601976185946,5.181782291561831
