reconstruction_method,sample_count,changed_radius_sample_count,raw_mean_field_error_reduction_percent,raw_p10_field_error_reduction_percent,raw_field_harm_rate_over_1_percent,raw_mean_audit_error_reduction_percent,route_ge_0p0pct_accepted_count,route_ge_0p0pct_coverage,route_ge_0p0pct_mean_selected_field_gain_percent,route_ge_0p0pct_p10_selected_field_gain_percent,route_ge_0p0pct_selected_field_harm_rate_over_1_percent,route_ge_0p0pct_mean_selected_audit_gain_percent,route_ge_0p0pct_accepted_audit_harm_rate,route_ge_2p0pct_accepted_count,route_ge_2p0pct_coverage,route_ge_2p0pct_mean_selected_field_gain_percent,route_ge_2p0pct_p10_selected_field_gain_percent,route_ge_2p0pct_selected_field_harm_rate_over_1_percent,route_ge_2p0pct_mean_selected_audit_gain_percent,route_ge_2p0pct_accepted_audit_harm_rate
gcv,48,24,-0.07713403999276387,-3.655022828978454,0.25,-0.06106003663664674,2,0.041666666666666664,0.07877746135004414,0.0,0.0,-0.14534145907875265,1.0,2,0.041666666666666664,0.07877746135004414,0.0,0.0,-0.14534145907875265,1.0
upre,48,24,-0.07713403999276387,-3.655022828978454,0.25,-0.06106003663664674,2,0.041666666666666664,0.07877746135004414,0.0,0.0,-0.14534145907875265,1.0,2,0.041666666666666664,0.07877746135004414,0.0,0.0,-0.14534145907875265,1.0
