strategy,cumulative_epochs,mean_validation_rel_l2,mean_cumulative_train_seconds,mean_selected_checkpoint_epoch,source
restart_adam_restart_cosine,60,0.12929764116803805,11.519104264404936,59.666666666666664,v3d_validation_only_prefix_best
restart_adam_restart_cosine,120,0.11263132939736048,22.77754290444621,119.33333333333333,v3d_validation_only_prefix_best
restart_adam_restart_cosine,180,0.10433304657538732,34.55436844603779,178.0,v3d_validation_only_prefix_best
restart_adam_restart_cosine,240,0.0994717332224051,45.67757261338799,237.33333333333334,v3d_validation_only_prefix_best
carry_adam_restart_cosine,60,0.1261709692577521,11.60222058397873,59.666666666666664,v3d_validation_only_prefix_best
carry_adam_restart_cosine,120,0.1072943684955438,23.41346084830972,119.33333333333333,v3d_validation_only_prefix_best
carry_adam_restart_cosine,180,0.09924645833671093,35.28848784797204,178.66666666666666,v3d_validation_only_prefix_best
carry_adam_restart_cosine,240,0.09413853076597055,46.45889487497819,238.33333333333334,v3d_validation_only_prefix_best
carry_adam_long_cosine,60,0.11610621884465216,11.48051038904426,59.333333333333336,v3d_validation_only_prefix_best
carry_adam_long_cosine,120,0.10063083171844482,22.408533361623995,119.0,v3d_validation_only_prefix_best
carry_adam_long_cosine,180,0.09644522443413735,32.91429570895465,176.33333333333334,v3d_validation_only_prefix_best
carry_adam_long_cosine,240,0.09572554950912793,43.34640102864554,228.33333333333334,v3d_validation_only_prefix_best
