method,label,device,dtype,grid,input_channels,inference_batch_size,training_batch_size,total_parameters,trainable_parameters,frozen_parameters,parameter_bytes,trainable_parameter_bytes,buffer_bytes,training_state_bytes_floor,forward_dense_real_macs,forward_spectral_complex_macs,forward_fft_real_flops_estimate,forward_estimated_flops_v1,worker_repeats,inference_p50_ms,inference_p50_ms_worker_min,inference_p50_ms_worker_max,inference_p50_ms_worker_spread_pct,inference_p90_ms,inference_p90_ms_worker_min,inference_p90_ms_worker_max,inference_p90_ms_worker_spread_pct,training_step_p50_ms,training_step_p50_ms_worker_min,training_step_p50_ms_worker_max,training_step_p50_ms_worker_spread_pct,training_step_p90_ms,training_step_p90_ms_worker_min,training_step_p90_ms_worker_max,training_step_p90_ms_worker_spread_pct,training_step_p50_ms_per_sample,training_step_p50_ms_per_sample_worker_min,training_step_p50_ms_per_sample_worker_max,training_step_p50_ms_per_sample_worker_spread_pct,training_peak_mps_allocated_bytes_observed,training_peak_mps_driver_bytes_observed,training_mps_increment_bytes_observed,process_peak_rss_bytes,inference_samples_per_second,training_samples_per_second
ridge_unet_aug,ridge residual 3D U-Net,mps,torch.float32,8x16x16,42,1,12,94193,94193,0,376772,376772,0,1507088,42434560,0,0.0,84869120.0,3,1.161750522442162,1.1499790125526488,1.1716249864548445,1.8632205007915839,1.3605622225441039,1.3465332798659801,1.4219291624613113,5.541524036611057,18.401187495328486,18.38937500724569,18.428895447868854,0.21477114253195476,18.7252166448161,18.656808976083994,18.741937552113086,0.4546199792708893,1.533432291277374,1.5324479172704741,1.5357412873224046,0.21477114253195956,34765824,78970880,29607936,1019445248,860.7700024079699,652.1318258969126
ridge_fno_aug,ridge residual FNO,mps,torch.float32,8x16x16,42,1,12,44203,44203,0,342700,342700,0,1370800,5210112,41472,4055040.0,14724096.0,3,1.4927085139788687,1.408395532052964,1.5368539607152343,8.605727605844473,1.7137753427959979,1.6265920246951282,1.7771878745406866,8.787374055683612,8.54141649324447,8.458896016236395,8.565770462155342,1.251249672738427,9.237091336399317,8.76649112906307,9.282861929386856,5.590188312732123,0.7117847077703724,0.7049080013530329,0.7138142051796118,1.251249672738422,40205824,100827136,35083008,1057472512,669.9231568891262,1404.9191968909342
ridge_deeponet,ridge residual DeepONet,mps,torch.float32,8x16x16,42,1,12,49313,49313,0,197252,197252,0,789008,6828800,0,0.0,13657600.0,3,0.7699999841861427,0.6423959857784212,1.0308545897714794,50.4491703858465,1.0652746655978262,1.0607580305077136,1.3054500333964825,22.96985094932762,3.007812483701855,2.960937563329935,3.0216664890758693,2.0190396201558527,3.1873339437879626,3.146128775551915,4.819687514100224,52.506538946445644,0.2506510403084879,0.24674479694416127,0.25180554075632244,2.019039620155849,36781824,53313536,31809792,974323712,1298.7013253733473,3989.610411228509
ray_set_operator,provisional ray-set operator,mps,torch.float32,8x16x16,42,1,12,45973,45973,0,349780,349780,0,1399120,18788352,41472,4055040.0,41880576.0,3,2.073770563583821,2.0200624712742865,2.2068755351938307,9.008376683517975,2.9769002459943295,2.22589970799163,3.007216774858535,26.24599423236412,95.0621665106155,95.04135401220992,95.1925624976866,0.15906273865511716,96.77003332180902,96.17564607178792,97.01487527927384,0.867240796223615,7.921847209217958,7.920112834350827,7.932713541473883,0.15906273865511716,105131008,159760384,99998464,1077018624,482.21342204406324,126.23318445682565
zero_init_ray_set_adapter,frozen-FNO zero-init ray-set adapter,mps,torch.float32,8x16x16,42,1,12,49191,4988,44203,362652,19952,0,422508,25243680,41472,4055040.0,54791232.0,3,2.9853754676878452,2.9583959840238094,2.998707990627736,1.3503161341091818,3.0873911222442985,3.083712491206825,3.168621356599033,2.7501816916052353,94.16964597767219,94.06160452635959,94.29214551346377,0.24481454157620938,95.77190394047648,95.44948311522603,96.17453747196123,0.7570637388454037,7.847470498139349,7.838467043863299,7.857678792788647,0.24481454157620564,78365696,163889152,73218304,1064075264,334.96624154096565,127.42959661168551
