replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,data_coupled_relative_l2,data_null_support_relative_l2,data_coupled_error_energy,data_null_support_error_energy,data_null_support_reconstruction_energy,normalized_data_residual_l2,trajectory_elapsed_seconds
0,0,plume,scalar_a_only_pdhg,4,4,4,0.9998961687088013,0.9998927712440491,0.4853658676147461,0.999896228313446,1.0,4095.14697265625,0.0021425490267574787,0.0,0.9995888471603394,0.6702815410098992
0,0,plume,scalar_a_only_pdhg,8,8,8,0.9996392726898193,0.9996273517608643,0.4853658676147461,0.9996392130851746,1.0,4093.042724609375,0.0021425490267574787,0.0,0.9985710978507996,0.6702815410098992
0,0,plume,scalar_a_only_pdhg,16,16,16,0.9987285137176514,0.9986885786056519,0.4853658676147461,0.9987285137176514,1.0,4085.588623046875,0.0021425490267574787,0.0,0.9949669241905212,0.6702815410098992
0,0,plume,scalar_a_only_pdhg,32,32,32,0.9956867098808289,0.9955722093582153,0.4823386073112488,0.9956867098808289,1.0,4060.7392578125,0.0021425490267574787,0.0,0.982961118221283,0.6702815410098992
0,0,plume,scalar_a_only_pdhg,64,64,64,0.9867992997169495,0.9866421818733215,0.4829268157482147,0.9867992997169495,1.0,3988.5712890625,0.0021425490267574787,0.0,0.9482351541519165,0.6702815410098992
0,0,plume,scalar_a_only_pdhg,128,128,128,0.9661025404930115,0.9668932557106018,0.4853658676147461,0.9661026000976562,1.0,3823.01611328125,0.0021425490267574787,0.0,0.8702100515365601,0.6702815410098992
0,0,plume,formal_factor_view_a_only_pdhg,4,4,4,0.9994691610336304,0.9994334578514099,0.20243901014328003,0.9994691610336304,1.0,4091.649658203125,0.0021425490267574787,0.0,0.9980774521827698,0.6055546250427142
0,0,plume,formal_factor_view_a_only_pdhg,8,8,8,0.9981921315193176,0.9980832934379578,0.20243901014328003,0.9981920719146729,1.0,4081.20068359375,0.0021425490267574787,0.0,0.9934229254722595,0.6055546250427142
0,0,plume,formal_factor_view_a_only_pdhg,16,16,16,0.9939144849777222,0.9936993718147278,0.19756096601486206,0.9939144849777222,1.0,4046.296630859375,0.0021425490267574787,0.0,0.9775452613830566,0.6055546250427142
0,0,plume,formal_factor_view_a_only_pdhg,32,32,32,0.981432318687439,0.9823020696640015,0.1926829218864441,0.981432318687439,1.0,3945.303466796875,0.0021425490267574787,0.0,0.9284979104995728,0.6055546250427142
0,0,plume,formal_factor_view_a_only_pdhg,64,64,64,0.9553178548812866,0.9687541127204895,0.20975609123706818,0.9553178548812866,1.0,3738.139404296875,0.0021425490267574787,0.0,0.806659460067749,0.6055546250427142
0,0,plume,formal_factor_view_a_only_pdhg,128,128,128,0.9309802055358887,1.0029797554016113,0.23170731961727142,0.9309800863265991,1.0,3550.09912109375,0.0021425490267574787,0.0,0.6036112904548645,0.6055546250427142
0,0,plume,factor_row_hybrid_a_only_pdhg,4,4,4,0.9990634322166443,0.9989745616912842,0.18292683362960815,0.9990633726119995,1.0,4088.328369140625,0.0021425490267574787,0.0,0.9964717030525208,0.7337884579901583
0,0,plume,factor_row_hybrid_a_only_pdhg,8,8,8,0.9969528317451477,0.9967089891433716,0.1926829218864441,0.9969527721405029,1.0,4071.072998046875,0.0021425490267574787,0.0,0.9884686470031738,0.7337884579901583
0,0,plume,factor_row_hybrid_a_only_pdhg,16,16,16,0.9905710220336914,0.990215539932251,0.19512192904949188,0.9905710220336914,1.0,4019.118896484375,0.0021425490267574787,0.0,0.963740348815918,0.7337884579901583
0,0,plume,factor_row_hybrid_a_only_pdhg,32,32,32,0.9749135375022888,0.9768704175949097,0.20000001788139343,0.9749135375022888,1.0,3893.067138671875,0.0021425490267574787,0.0,0.898879885673523,0.7337884579901583
0,0,plume,factor_row_hybrid_a_only_pdhg,64,64,64,0.9490280747413635,0.9680092334747314,0.207317054271698,0.9490280747413635,1.0,3689.07763671875,0.0021425490267574787,0.0,0.7692282199859619,0.7337884579901583
0,0,plume,factor_row_hybrid_a_only_pdhg,128,128,128,0.929696798324585,1.0079466104507446,0.22926828265190125,0.929696798324585,1.0,3540.318115234375,0.0021425490267574787,0.0,0.5862966179847717,0.7337884579901583
0,0,plume,exact_abs_view_a_only_pdhg,4,4,4,0.9917128086090088,0.99200838804245,0.2780487835407257,0.9917128086090088,1.0,4028.39013671875,0.0021425490267574787,0.0,0.9656959176063538,0.7698149170028046
0,0,plume,exact_abs_view_a_only_pdhg,8,8,8,0.9750763177871704,0.9776992201805115,0.2829268276691437,0.9750763177871704,1.0,3894.367431640625,0.0021425490267574787,0.0,0.8945720195770264,0.7698149170028046
0,0,plume,exact_abs_view_a_only_pdhg,16,16,16,0.9377413988113403,0.9586868286132812,0.2804878056049347,0.9377412796020508,1.0,3601.85107421875,0.0021425490267574787,0.0,0.719190776348114,0.7698149170028046
0,0,plume,exact_abs_view_a_only_pdhg,32,32,32,0.8998562693595886,0.9994644522666931,0.28780487179756165,0.8998561501502991,1.0,3316.69775390625,0.0021425490267574787,0.0,0.4687557518482208,0.7698149170028046
0,0,plume,exact_abs_view_a_only_pdhg,64,64,64,0.9010546207427979,1.1158888339996338,0.30243903398513794,0.9010545015335083,1.0,3325.537109375,0.0021425490267574787,0.0,0.2800604999065399,0.7698149170028046
0,0,plume,exact_abs_view_a_only_pdhg,128,128,128,0.9123345613479614,1.2066409587860107,0.356097549200058,0.9123345613479614,1.0,3409.321044921875,0.0021425490267574787,0.0,0.17467567324638367,0.7698149170028046
0,0,plume,exact_abs_row_a_only_pdhg,4,4,4,0.9898328185081482,0.9901995658874512,0.27317073941230774,0.9898327589035034,1.0,4013.130615234375,0.0021425490267574787,0.0,0.9584674835205078,0.8652907920186408
0,0,plume,exact_abs_row_a_only_pdhg,8,8,8,0.9708895087242126,0.9744715690612793,0.27073171734809875,0.9708895087242126,1.0,3860.995361328125,0.0021425490267574787,0.0,0.8774530291557312,0.8652907920186408
0,0,plume,exact_abs_row_a_only_pdhg,16,16,16,0.9322789311408997,0.9580578207969666,0.2756097614765167,0.9322788715362549,1.0,3560.010986328125,0.0021425490267574787,0.0,0.6932457089424133,0.8652907920186408
0,0,plume,exact_abs_row_a_only_pdhg,32,32,32,0.897299587726593,1.0021077394485474,0.2780487835407257,0.8972995281219482,1.0,3297.8779296875,0.0021425490267574787,0.0,0.4540322721004486,0.8652907920186408
0,0,plume,exact_abs_row_a_only_pdhg,64,64,64,0.8979136943817139,1.1083042621612549,0.3121951222419739,0.8979135751724243,1.0,3302.39306640625,0.0021425490267574787,0.0,0.2760745882987976,0.8652907920186408
0,0,plume,exact_abs_row_a_only_pdhg,128,128,128,0.9099302291870117,1.2015316486358643,0.36097562313079834,0.9099301695823669,1.0,3391.375,0.0021425490267574787,0.0,0.1741594821214676,0.8652907920186408
0,0,plume,graph_pcgls,4,4,4,0.5280284285545349,0.6848860383033752,0.8097560405731201,0.5267376899719238,51.01840591430664,1136.445068359375,5.576793670654297,5.56756591796875,,0.39203137502772734
0,0,plume,graph_pcgls,8,8,8,0.36661556363105774,0.5094401836395264,0.8487805128097534,0.3569481670856476,115.64036560058594,521.8792114257812,28.651657104492188,28.752471923828125,,0.39203137502772734
0,0,plume,graph_pcgls,16,16,16,0.292581170797348,0.42871806025505066,0.8512195348739624,0.28846079111099243,67.65349578857422,340.8263854980469,9.806437492370605,9.876493453979492,,0.39203137502772734
0,0,plume,graph_pcgls,32,32,32,0.22364842891693115,0.34218674898147583,0.8829268217086792,0.22263136506080627,29.458112716674805,203.01699829101562,1.8592623472213745,1.9075926542282104,,0.39203137502772734
0,0,plume,graph_pcgls,64,64,64,0.18560561537742615,0.2970966398715973,0.9097561240196228,0.1834467053413391,39.028343200683594,137.84133911132812,3.2635560035705566,3.316229820251465,,0.39203137502772734
0,0,plume,graph_pcgls,128,128,128,0.21154342591762543,0.35053762793540955,0.8804877996444702,0.20153731107711792,88.89266204833984,166.36831665039062,16.930221557617188,17.010908126831055,,0.39203137502772734
0,1,wavy_front,scalar_a_only_pdhg,4,4,4,0.9998730421066284,0.9998220205307007,0.28780487179756165,0.9998719096183777,1.0,4056.525634765625,38.434844970703125,0.0,0.999415397644043,0.6491278749890625
0,1,wavy_front,scalar_a_only_pdhg,8,8,8,0.9995772242546082,0.9994073510169983,0.28780487179756165,0.9995731711387634,1.0,4054.102294921875,38.434844970703125,0.0,0.9980531334877014,0.6491278749890625
0,1,wavy_front,scalar_a_only_pdhg,16,16,16,0.9986215829849243,0.9980716109275818,0.28780487179756165,0.9986085295677185,1.0,4046.281005859375,38.434844970703125,0.0,0.9936543703079224,0.6491278749890625
0,1,wavy_front,scalar_a_only_pdhg,32,32,32,0.9958905577659607,0.9942846894264221,0.29024389386177063,0.9958515763282776,1.0,4023.969482421875,38.434844970703125,0.0,0.9811068773269653,0.6491278749890625
0,1,wavy_front,scalar_a_only_pdhg,64,64,64,0.9894359707832336,0.9855242967605591,0.2951219379901886,0.9893353581428528,1.0,3971.481689453125,38.434844970703125,0.0,0.9516698122024536,0.6491278749890625
0,1,wavy_front,scalar_a_only_pdhg,128,128,128,0.9768337607383728,0.969248354434967,0.29756098985671997,0.9766117334365845,1.0,3869.985595703125,38.434844970703125,0.0,0.8955328464508057,0.6491278749890625
0,1,wavy_front,formal_factor_view_a_only_pdhg,4,4,4,0.9996189475059509,0.9993473887443542,0.10487804561853409,0.9996153712272644,1.0,4054.444091796875,38.434844970703125,0.0,0.9977601766586304,0.8324238750501536
0,1,wavy_front,formal_factor_view_a_only_pdhg,8,8,8,0.9987717270851135,0.9979132413864136,0.10000000894069672,0.9987601041793823,1.0,4047.509765625,38.434844970703125,0.0,0.9926965236663818,0.8324238750501536
0,1,wavy_front,formal_factor_view_a_only_pdhg,16,16,16,0.9962620735168457,0.9938275814056396,0.09756096452474594,0.9962265491485596,1.0,4027.00146484375,38.434844970703125,0.0,0.9770843982696533,0.8324238750501536
0,1,wavy_front,formal_factor_view_a_only_pdhg,32,32,32,0.9902821183204651,0.985407292842865,0.1024390235543251,0.9901896119117737,1.0,3978.343017578125,38.434844970703125,0.0,0.9358853101730347,0.8324238750501536
0,1,wavy_front,formal_factor_view_a_only_pdhg,64,64,64,0.9802966117858887,0.9788177013397217,0.10731707513332367,0.9801080822944641,1.0,3897.744873046875,38.434844970703125,0.0,0.8501135110855103,0.8324238750501536
0,1,wavy_front,formal_factor_view_a_only_pdhg,128,128,128,0.9689673781394958,0.9988341927528381,0.11463414132595062,0.9686686396598816,1.0,3807.2900390625,38.434844970703125,0.0,0.7140464782714844,0.8324238750501536
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,4,4,4,0.9993182420730591,0.9988445043563843,0.10975608974695206,0.9993118047714233,1.0,4051.982421875,38.434844970703125,0.0,0.9959629774093628,0.8061003749608062
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,8,8,8,0.9979875683784485,0.996634304523468,0.1024390235543251,0.9979685544967651,1.0,4041.096435546875,38.434844970703125,0.0,0.9878892302513123,0.8061003749608062
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,16,16,16,0.9946597218513489,0.9914188981056213,0.1024390235543251,0.9946090579032898,1.0,4013.9345703125,38.434844970703125,0.0,0.9666138291358948,0.8061003749608062
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,32,32,32,0.9881654381752014,0.983089804649353,0.10000000894069672,0.9880526065826416,1.0,3961.190185546875,38.434844970703125,0.0,0.9202105402946472,0.8061003749608062
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,64,64,64,0.9784918427467346,0.9787622094154358,0.10975608974695206,0.9782858490943909,1.0,3883.265625,38.434844970703125,0.0,0.8360809087753296,0.8061003749608062
0,1,wavy_front,factor_row_hybrid_a_only_pdhg,128,128,128,0.967150866985321,0.9996262192726135,0.12195122241973877,0.9668343663215637,1.0,3792.88525390625,38.434844970703125,0.0,0.7071296572685242,0.8061003749608062
0,1,wavy_front,exact_abs_view_a_only_pdhg,4,4,4,0.9922517538070679,0.9901176691055298,0.18292683362960815,0.9921780824661255,1.0,3994.337646484375,38.434844970703125,0.0,0.9618624448776245,0.8388867080211639
0,1,wavy_front,exact_abs_view_a_only_pdhg,8,8,8,0.9788063168525696,0.9752936363220215,0.18780487775802612,0.9786034226417542,1.0,3885.786376953125,38.434844970703125,0.0,0.89306640625,0.8388867080211639
0,1,wavy_front,exact_abs_view_a_only_pdhg,16,16,16,0.9525824785232544,0.9590760469436646,0.1902438998222351,0.9521219730377197,1.0,3678.330322265625,38.434844970703125,0.0,0.748426616191864,0.8388867080211639
0,1,wavy_front,exact_abs_view_a_only_pdhg,32,32,32,0.9217216372489929,0.9816414713859558,0.2048780471086502,0.920948326587677,1.0,3441.4072265625,38.434844970703125,0.0,0.5619432330131531,0.8388867080211639
0,1,wavy_front,exact_abs_view_a_only_pdhg,64,64,64,0.894375741481781,1.0549607276916504,0.21463415026664734,0.8933154940605164,1.0,3237.988037109375,38.434844970703125,0.0,0.41219562292099,0.8388867080211639
0,1,wavy_front,exact_abs_view_a_only_pdhg,128,128,128,0.8619487881660461,1.1467140913009644,0.20975609123706818,0.860535204410553,1.0,3004.71142578125,38.434844970703125,0.0,0.2941082715988159,0.8388867080211639
0,1,wavy_front,exact_abs_row_a_only_pdhg,4,4,4,0.9908637404441833,0.9883686304092407,0.178048774600029,0.9907767176628113,1.0,3983.0625,38.434844970703125,0.0,0.955271303653717,0.5737492080079392
0,1,wavy_front,exact_abs_row_a_only_pdhg,8,8,8,0.976273775100708,0.9728058576583862,0.18292683362960815,0.9760462641716003,1.0,3865.506103515625,38.434844970703125,0.0,0.8808988928794861,0.5737492080079392
0,1,wavy_front,exact_abs_row_a_only_pdhg,16,16,16,0.9499373435974121,0.9583128690719604,0.1902438998222351,0.9494505524635315,1.0,3657.7177734375,38.434844970703125,0.0,0.7361497282981873,0.5737492080079392
0,1,wavy_front,exact_abs_row_a_only_pdhg,32,32,32,0.9200849533081055,0.9816331267356873,0.20000001788139343,0.9192947745323181,1.0,3429.060302734375,38.434844970703125,0.0,0.5580037236213684,0.5737492080079392
0,1,wavy_front,exact_abs_row_a_only_pdhg,64,64,64,0.8928894996643066,1.053046703338623,0.21463415026664734,0.891813337802887,1.0,3227.107666015625,38.434844970703125,0.0,0.4112482964992523,0.5737492080079392
0,1,wavy_front,exact_abs_row_a_only_pdhg,128,128,128,0.8610008955001831,1.145338773727417,0.21219512820243835,0.8595768213272095,1.0,2998.0224609375,38.434844970703125,0.0,0.2937732934951782,0.5737492080079392
0,1,wavy_front,graph_pcgls,4,4,4,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.45952343940734863,0.8742097616195679,856.8026123046875,29.37354278564453,14.406194686889648,,0.507019666954875
0,1,wavy_front,graph_pcgls,8,8,8,0.3090733587741852,0.4913479685783386,0.6780487895011902,0.2961636781692505,0.9593688249588013,355.90093994140625,35.37498092651367,111.3218002319336,,0.507019666954875
0,1,wavy_front,graph_pcgls,16,16,16,0.27093881368637085,0.431896448135376,0.7390244007110596,0.262329638004303,0.7470481991767883,279.228759765625,21.449752807617188,71.70563507080078,,0.507019666954875
0,1,wavy_front,graph_pcgls,32,32,32,0.24787235260009766,0.4081742763519287,0.7829268574714661,0.22881761193275452,1.0101261138916016,212.4439697265625,39.2171630859375,110.6905288696289,,0.507019666954875
0,1,wavy_front,graph_pcgls,64,64,64,0.25107768177986145,0.44501298666000366,0.7707316875457764,0.23334577679634094,0.9848141074180603,220.93544006347656,37.276371002197266,97.84910583496094,,0.507019666954875
0,1,wavy_front,graph_pcgls,128,128,128,0.37845534086227417,0.711679995059967,0.6512194871902466,0.36531156301498413,1.0840984582901,541.4923706054688,45.17128372192383,105.84326171875,,0.507019666954875
0,2,thin_front,scalar_a_only_pdhg,4,4,4,0.9998887181282043,0.9999005198478699,0.31463414430618286,0.9998878836631775,1.0,4063.381591796875,31.70690155029297,0.0,0.9995779991149902,0.539198332990054
0,2,thin_front,scalar_a_only_pdhg,8,8,8,0.9996150135993958,0.9996559619903564,0.31463414430618286,0.999612033367157,1.0,4061.14013671875,31.70690155029297,0.0,0.9985403418540955,0.539198332990054
0,2,thin_front,scalar_a_only_pdhg,16,16,16,0.9986550807952881,0.998799741268158,0.31463414430618286,0.9986446499824524,1.0,4053.283447265625,31.70690155029297,0.0,0.9949038028717041,0.539198332990054
0,2,thin_front,scalar_a_only_pdhg,32,32,32,0.9955069422721863,0.9960111975669861,0.31463414430618286,0.9954717755317688,1.0,4027.568603515625,31.70690155029297,0.0,0.9830181002616882,0.539198332990054
0,2,thin_front,scalar_a_only_pdhg,64,64,64,0.9865647554397583,0.9882491827011108,0.3219512104988098,0.9864592552185059,1.0,3954.970947265625,31.70690155029297,0.0,0.9496610760688782,0.539198332990054
0,2,thin_front,scalar_a_only_pdhg,128,128,128,0.9663498401641846,0.9715270400047302,0.3341463506221771,0.9660826921463013,1.0,3793.268798828125,31.70690155029297,0.0,0.8770956993103027,0.539198332990054
0,2,thin_front,formal_factor_view_a_only_pdhg,4,4,4,0.9993317723274231,0.9992316365242004,0.09756096452474594,0.9993265271186829,1.0,4058.820556640625,31.70690155029297,0.0,0.9976825714111328,0.6807589160162024
0,2,thin_front,formal_factor_view_a_only_pdhg,8,8,8,0.997744619846344,0.9974415302276611,0.09268293529748917,0.9977270364761353,1.0,4045.838134765625,31.70690155029297,0.0,0.992088258266449,0.6807589160162024
0,2,thin_front,formal_factor_view_a_only_pdhg,16,16,16,0.9925900101661682,0.9919885993003845,0.09268293529748917,0.9925320148468018,1.0,4003.815185546875,31.70690155029297,0.0,0.9731091856956482,0.6807589160162024
0,2,thin_front,formal_factor_view_a_only_pdhg,32,32,32,0.9787722826004028,0.9808748364448547,0.09013399481773376,0.9786048531532288,1.0,3892.2412109375,31.70690155029297,0.0,0.915252685546875,0.6807589160162024
0,2,thin_front,formal_factor_view_a_only_pdhg,64,64,64,0.9542987942695618,0.9833206534385681,0.1024390235543251,0.9539336562156677,1.0,3698.463134765625,31.70690155029297,0.0,0.7758353352546692,0.6807589160162024
0,2,thin_front,formal_factor_view_a_only_pdhg,128,128,128,0.9239659309387207,1.0373231172561646,0.1317073106765747,0.9233481287956238,1.0,3465.101806640625,31.70690155029297,0.0,0.5543009042739868,0.6807589160162024
0,2,thin_front,factor_row_hybrid_a_only_pdhg,4,4,4,0.9987279772758484,0.9985122084617615,0.10000000894069672,0.9987180829048157,1.0,4053.879638671875,31.70690155029297,0.0,0.9954822063446045,0.5685359580093063
0,2,thin_front,factor_row_hybrid_a_only_pdhg,8,8,8,0.9959443211555481,0.9953964948654175,0.09756096452474594,0.9959126114845276,1.0,4031.13623046875,31.70690155029297,0.0,0.9853724241256714,0.5685359580093063
0,2,thin_front,factor_row_hybrid_a_only_pdhg,16,16,16,0.9880204796791077,0.9875615835189819,0.09512194991111755,0.9879264235496521,1.0,3966.74462890625,31.70690155029297,0.0,0.9548035264015198,0.5685359580093063
0,2,thin_front,factor_row_hybrid_a_only_pdhg,32,32,32,0.9707896709442139,0.9771414995193481,0.09512194991111755,0.9705582857131958,1.0,3828.4970703125,31.70690155029297,0.0,0.8776578307151794,0.5685359580093063
0,2,thin_front,factor_row_hybrid_a_only_pdhg,64,64,64,0.9445839524269104,0.9851970672607422,0.11219511926174164,0.9441388845443726,1.0,3622.9033203125,31.70690155029297,0.0,0.7317661046981812,0.5685359580093063
0,2,thin_front,factor_row_hybrid_a_only_pdhg,128,128,128,0.9143381118774414,1.0326555967330933,0.13414634764194489,0.9136382341384888,1.0,3392.606689453125,31.70690155029297,0.0,0.5360506176948547,0.5685359580093063
0,2,thin_front,exact_abs_view_a_only_pdhg,4,4,4,0.9906045198440552,0.9915599822998047,0.15853658318519592,0.9905309081077576,1.0,3987.68701171875,31.70690155029297,0.0,0.9649298191070557,0.5709278750000522
0,2,thin_front,exact_abs_view_a_only_pdhg,8,8,8,0.9719300270080566,0.9770601987838745,0.15853658318519592,0.971707820892334,1.0,3837.571533203125,31.70690155029297,0.0,0.8919399976730347,0.5709278750000522
0,2,thin_front,exact_abs_view_a_only_pdhg,16,16,16,0.9308153986930847,0.9619699716567993,0.15853658318519592,0.9302554726600647,1.0,3517.138916015625,31.70690155029297,0.0,0.7096592783927917,0.5709278750000522
0,2,thin_front,exact_abs_view_a_only_pdhg,32,32,32,0.8898631930351257,1.0202441215515137,0.16585366427898407,0.8889503479003906,1.0,3211.73779296875,31.70690155029297,0.0,0.4488469362258911,0.5709278750000522
0,2,thin_front,exact_abs_view_a_only_pdhg,64,64,64,0.8779410719871521,1.1345280408859253,0.18780487775802612,0.876922070980072,1.0,3125.410400390625,31.70690155029297,0.0,0.2726912200450897,0.5709278750000522
0,2,thin_front,exact_abs_view_a_only_pdhg,128,128,128,0.8879435062408447,1.229244351387024,0.207317054271698,0.8870137333869934,1.0,3197.7587890625,31.70690155029297,0.0,0.16127701103687286,0.5709278750000522
0,2,thin_front,exact_abs_row_a_only_pdhg,4,4,4,0.9886830449104309,0.9889100790023804,0.15121951699256897,0.9885942339897156,1.0,3972.10888671875,31.70690155029297,0.0,0.9544225931167603,0.5744752079481259
0,2,thin_front,exact_abs_row_a_only_pdhg,8,8,8,0.968137800693512,0.9737956523895264,0.15609756112098694,0.9678851962089539,1.0,3807.4365234375,31.70690155029297,0.0,0.8679357171058655,0.5744752079481259
0,2,thin_front,exact_abs_row_a_only_pdhg,16,16,16,0.9271995425224304,0.9656830430030823,0.17317073047161102,0.9266090989112854,1.0,3489.62060546875,31.70690155029297,0.0,0.6757649183273315,0.5744752079481259
0,2,thin_front,exact_abs_row_a_only_pdhg,32,32,32,0.8861199617385864,1.022399663925171,0.16829268634319305,0.8851739168167114,1.0,3184.507568359375,31.70690155029297,0.0,0.43394339084625244,0.5744752079481259
0,2,thin_front,exact_abs_row_a_only_pdhg,64,64,64,0.8727232217788696,1.1240273714065552,0.18780487775802612,0.8716572523117065,1.0,3087.994140625,31.70690155029297,0.0,0.2676698863506317,0.5744752079481259
