method,model_seed,split,row_index,rig_id,family,field_uid,target_view,whitened_target_residual_rmse
sf_rio_adjoint_only,3101,train,50,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,0,1.426089597996636
sf_rio_adjoint_only,3101,train,51,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:5,4,1.2708894451083153
sf_rio_adjoint_only,3101,train,52,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,0,1.8667220828792659
sf_rio_adjoint_only,3101,train,53,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:6,4,1.6561905616393446
sf_rio_adjoint_only,3101,train,54,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,0,1.258100149259598
sf_rio_adjoint_only,3101,train,55,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:7,4,1.3975057547419565
sf_rio_adjoint_only,3101,train,56,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,0,1.5686867918810166
sf_rio_adjoint_only,3101,train,57,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:8,4,1.305824869138817
sf_rio_adjoint_only,3101,train,58,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,0,1.4320620748731754
sf_rio_adjoint_only,3101,train,59,train-rig-b,expanding_kernel,train-rig-b:expanding_kernel:9,4,1.0685749453096791
sf_rio_adjoint_only,3101,train,60,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:0,0,2.2324362249663148
sf_rio_adjoint_only,3101,train,61,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:0,4,1.4100880776484088
sf_rio_adjoint_only,3101,train,62,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:1,0,2.143366265697837
sf_rio_adjoint_only,3101,train,63,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:1,4,1.6639026190632407
sf_rio_adjoint_only,3101,train,64,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:2,0,1.619734153457511
sf_rio_adjoint_only,3101,train,65,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:2,4,1.2311313794283891
sf_rio_adjoint_only,3101,train,66,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:3,0,2.2911780141815936
sf_rio_adjoint_only,3101,train,67,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:3,4,2.0000487771910263
sf_rio_adjoint_only,3101,train,68,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:4,0,2.1036739917082476
sf_rio_adjoint_only,3101,train,69,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:4,4,1.5917342923609228
sf_rio_adjoint_only,3101,train,70,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:5,0,1.9823252342283177
sf_rio_adjoint_only,3101,train,71,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:5,4,1.983061247154667
sf_rio_adjoint_only,3101,train,72,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:6,0,2.1762382513318053
sf_rio_adjoint_only,3101,train,73,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:6,4,1.943720353419666
sf_rio_adjoint_only,3101,train,74,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:7,0,2.1450745765622057
sf_rio_adjoint_only,3101,train,75,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:7,4,1.9877934600494935
sf_rio_adjoint_only,3101,train,76,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:8,0,2.7498016102816827
sf_rio_adjoint_only,3101,train,77,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:8,4,1.8714431311363335
sf_rio_adjoint_only,3101,train,78,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:9,0,2.3414548830434665
sf_rio_adjoint_only,3101,train,79,train-rig-b,interacting_fronts,train-rig-b:interacting_fronts:9,4,1.7223475406865272
sf_rio_adjoint_only,3101,train,80,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:0,2,2.9229796614742285
sf_rio_adjoint_only,3101,train,81,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:0,6,1.2696495153905214
sf_rio_adjoint_only,3101,train,82,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:1,2,2.2973792373991473
sf_rio_adjoint_only,3101,train,83,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:1,6,1.5949881162731818
sf_rio_adjoint_only,3101,train,84,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:2,2,2.151000923581094
sf_rio_adjoint_only,3101,train,85,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:2,6,1.144512274981997
sf_rio_adjoint_only,3101,train,86,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:3,2,2.005046102714833
sf_rio_adjoint_only,3101,train,87,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:3,6,0.9511972880511814
sf_rio_adjoint_only,3101,train,88,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:4,2,2.6848062411294333
sf_rio_adjoint_only,3101,train,89,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:4,6,1.081637367626177
sf_rio_adjoint_only,3101,train,90,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:5,2,2.00731100010401
sf_rio_adjoint_only,3101,train,91,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:5,6,1.3021234460957722
sf_rio_adjoint_only,3101,train,92,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:6,2,3.7833510773632733
sf_rio_adjoint_only,3101,train,93,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:6,6,1.636796057522639
sf_rio_adjoint_only,3101,train,94,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:7,2,2.839412553571933
sf_rio_adjoint_only,3101,train,95,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:7,6,1.4161461583972432
sf_rio_adjoint_only,3101,train,96,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:8,2,2.7639884213509003
sf_rio_adjoint_only,3101,train,97,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:8,6,1.7627450009466117
sf_rio_adjoint_only,3101,train,98,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:9,2,1.1486823433187512
sf_rio_adjoint_only,3101,train,99,train-rig-c,expanding_kernel,train-rig-c:expanding_kernel:9,6,1.0478018035755603
sf_rio_adjoint_only,3101,train,100,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:0,2,2.96909435503317
sf_rio_adjoint_only,3101,train,101,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:0,6,1.9549897757207275
sf_rio_adjoint_only,3101,train,102,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:1,2,2.6533537950782167
sf_rio_adjoint_only,3101,train,103,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:1,6,1.896715248512874
sf_rio_adjoint_only,3101,train,104,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:2,2,3.3389248407926453
sf_rio_adjoint_only,3101,train,105,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:2,6,1.8053943638111989
sf_rio_adjoint_only,3101,train,106,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:3,2,2.5930656925658746
sf_rio_adjoint_only,3101,train,107,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:3,6,1.4996665829480045
sf_rio_adjoint_only,3101,train,108,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:4,2,2.910763204417151
sf_rio_adjoint_only,3101,train,109,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:4,6,1.8966298516519913
sf_rio_adjoint_only,3101,train,110,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:5,2,2.445331970691396
sf_rio_adjoint_only,3101,train,111,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:5,6,1.550580959701685
sf_rio_adjoint_only,3101,train,112,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:6,2,2.231310140650163
sf_rio_adjoint_only,3101,train,113,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:6,6,1.7615611186952638
sf_rio_adjoint_only,3101,train,114,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:7,2,2.772355665868323
sf_rio_adjoint_only,3101,train,115,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:7,6,1.9083750472544194
sf_rio_adjoint_only,3101,train,116,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:8,2,1.4887233971129432
sf_rio_adjoint_only,3101,train,117,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:8,6,1.2793576055665143
sf_rio_adjoint_only,3101,train,118,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:9,2,2.28550572069035
sf_rio_adjoint_only,3101,train,119,train-rig-c,interacting_fronts,train-rig-c:interacting_fronts:9,6,1.381381120464785
sf_rio_adjoint_only,3101,train,120,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:0,0,1.500578670502899
sf_rio_adjoint_only,3101,train,121,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:0,5,0.8123431252047061
sf_rio_adjoint_only,3101,train,122,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:1,0,1.4171205883581648
sf_rio_adjoint_only,3101,train,123,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:1,5,1.6253285945097737
sf_rio_adjoint_only,3101,train,124,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:2,0,1.8092838689993043
sf_rio_adjoint_only,3101,train,125,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:2,5,1.07134207014219
sf_rio_adjoint_only,3101,train,126,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:3,0,1.6628975084400823
sf_rio_adjoint_only,3101,train,127,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:3,5,1.0647207872445934
sf_rio_adjoint_only,3101,train,128,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:4,0,1.2589219850926503
sf_rio_adjoint_only,3101,train,129,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:4,5,1.088010021846471
sf_rio_adjoint_only,3101,train,130,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:5,0,1.800860396282256
sf_rio_adjoint_only,3101,train,131,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:5,5,1.684037698762935
sf_rio_adjoint_only,3101,train,132,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:6,0,2.054290784913123
sf_rio_adjoint_only,3101,train,133,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:6,5,1.0308433048736683
sf_rio_adjoint_only,3101,train,134,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:7,0,1.8957086697885612
sf_rio_adjoint_only,3101,train,135,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:7,5,1.2999313515599638
sf_rio_adjoint_only,3101,train,136,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:8,0,1.9485025287341418
sf_rio_adjoint_only,3101,train,137,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:8,5,1.175286900658995
sf_rio_adjoint_only,3101,train,138,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:9,0,1.6645185665533795
sf_rio_adjoint_only,3101,train,139,train-rig-d,expanding_kernel,train-rig-d:expanding_kernel:9,5,1.028762560517093
sf_rio_adjoint_only,3101,train,140,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:0,0,2.289104397103661
sf_rio_adjoint_only,3101,train,141,train-rig-d,interacting_fronts,train-rig-d:interacting_fronts:0,5,1.7019649269860022
