method,model_seed,epoch,train_total,train_target,validation_cluster_whitened_rmse
sf_rio_adjoint_only,3101,1,12.79591236114502,12.623057889938355,3.4569809429733853
sf_rio_adjoint_only,3101,2,11.968659734725952,11.79348864555359,3.425793126361902
sf_rio_adjoint_only,3101,3,10.821878290176391,10.59830617904663,3.3996704467360717
sf_rio_adjoint_only,3101,4,9.356813907623291,9.128455924987794,3.3537337205290747
sf_rio_adjoint_only,3101,5,8.130124139785767,7.883806467056274,3.359645131861848
sf_rio_adjoint_only,3101,6,6.8312098503112795,6.55527286529541,3.33245427244752
sf_rio_adjoint_only,3101,7,6.001855945587158,5.710631942749023,3.332830369171651
sf_rio_adjoint_only,3101,8,5.559113240242004,5.26090133190155,3.329336313053972
sf_rio_adjoint_only,3101,9,5.1565611362457275,4.843152141571045,3.3197936887287094
sf_rio_adjoint_only,3101,10,4.742102932929993,4.4231548547744755,3.3543512561894056
sf_rio_adjoint_only,3101,11,4.396621465682983,4.082939696311951,3.356612015236463
sf_rio_adjoint_only,3101,12,4.032828450202942,3.6977686405181887,3.351390270972953
sf_rio_adjoint_only,3101,13,3.9109766721725463,3.5812092542648317,3.3852617044933013
sf_rio_adjoint_only,3101,14,3.861436867713928,3.5312492847442627,3.297212247304795
sf_rio_adjoint_only,3101,15,3.7855655431747435,3.442366862297058,3.3711172316861515
sf_rio_adjoint_only,3101,16,3.7105141639709474,3.3736504316329956,3.3346380367696624
sf_rio_adjoint_only,3101,17,3.5361289739608766,3.2007214546203615,3.381810346658962
sf_rio_adjoint_only,3101,18,3.6161093711853027,3.2693657875061035,3.284167818374684
sf_rio_adjoint_only,3101,19,3.549501824378967,3.2150612831115724,3.323222085779787
sf_rio_adjoint_only,3101,20,3.600676703453064,3.245082068443298,3.294906209376342
sf_rio_adjoint_only,3101,21,3.4281877756118773,3.0959497928619384,3.310483742807495
sf_rio_adjoint_only,3101,22,3.312358093261719,2.9678298473358153,3.390006618573037
sf_rio_adjoint_only,3101,23,3.2752120971679686,2.9370675563812254,3.342328555606197
sf_rio_adjoint_only,3101,24,3.3212589979171754,2.971899890899658,3.3143052037659135
sf_rio_adjoint_only,3101,25,3.3149604320526125,2.970045232772827,3.3362318043210397
sf_rio_adjoint_only,3101,26,3.3691909551620483,3.0254508018493653,3.3673695019151944
sf_rio_adjoint_only,3101,27,3.225133991241455,2.8773621559143066,3.401037465737956
sf_rio_adjoint_only,3101,28,3.164158892631531,2.818035864830017,3.3482797824593766
sf_rio_adjoint_only,3101,29,3.106919455528259,2.7702839851379393,3.3780793314608166
sf_rio_adjoint_only,3101,30,3.136422371864319,2.788730096817017,3.37524558797756
sf_rio_adjoint_only,3101,31,3.1317214012145995,2.7881040573120117,3.371797163392892
sf_rio_adjoint_only,3101,32,3.0677006006240846,2.7176503896713258,3.312189033971957
sf_rio_adjoint_only,3101,33,3.0575599908828734,2.709469747543335,3.3869936704542836
sf_rio_adjoint_only,3101,34,2.9906790256500244,2.6495270490646363,3.3487625495381055
sf_rio_adjoint_only,3101,35,2.9900341749191286,2.6367159843444825,3.3169156990407433
sf_rio_adjoint_only,3101,36,3.0060547828674316,2.6585001349449158,3.315396895369913
sf_rio_adjoint_only,3101,37,2.98815233707428,2.640189051628113,3.323508720748878
sf_rio_adjoint_only,3101,38,3.0258145332336426,2.676497530937195,3.410655410731084
sf_rio_adjoint_only,3102,1,12.841414785385131,12.67570161819458,3.4543118979522327
sf_rio_adjoint_only,3102,2,11.3507155418396,11.166915082931519,3.401271239862607
sf_rio_adjoint_only,3102,3,9.455667734146118,9.221551275253296,3.426526102393161
sf_rio_adjoint_only,3102,4,7.720997858047485,7.471458768844604,3.46347747749199
sf_rio_adjoint_only,3102,5,6.780690908432007,6.504392671585083,3.473464623313093
sf_rio_adjoint_only,3102,6,5.851194286346436,5.554488468170166,3.5267532886042994
sf_rio_adjoint_only,3102,7,5.540042304992676,5.2287171363830565,3.502966184042651
sf_rio_adjoint_only,3102,8,5.143960738182068,4.809555959701538,3.4867082664896807
sf_rio_adjoint_only,3102,9,4.643669009208679,4.323608446121216,3.4563324215586535
sf_rio_adjoint_only,3102,10,4.446538400650025,4.110283970832825,3.486219029194582
sf_rio_adjoint_only,3102,11,4.181753468513489,3.8332553625106813,3.4232257708767206
sf_rio_adjoint_only,3102,12,4.2405699491500854,3.9054462909698486,3.447640125864571
sf_rio_adjoint_only,3102,13,3.9774673700332643,3.628658652305603,3.427955412312454
sf_rio_adjoint_only,3102,14,3.9021878242492676,3.5514227390289306,3.5544278539152905
sf_rio_adjoint_only,3102,15,3.778469944000244,3.4318055391311644,3.45453024519651
sf_rio_adjoint_only,3102,16,3.669644594192505,3.3331921815872194,3.5251634087054926
sf_rio_adjoint_only,3102,17,3.535214591026306,3.1777931451797485,3.3996698337728857
sf_rio_adjoint_only,3102,18,3.497928285598755,3.1411439895629885,3.4594765589345133
sf_rio_adjoint_only,3102,19,3.470066547393799,3.115631437301636,3.419626727260045
sf_rio_adjoint_only,3102,20,3.4522577285766602,3.0971271276473997,3.42646723164483
sf_rio_adjoint_only,3102,21,3.391445279121399,3.0422366857528687,3.5473482322003753
sf_rio_adjoint_only,3102,22,3.3214852571487428,2.9701679706573487,3.383867739444751
sf_rio_adjoint_only,3102,23,3.2927982330322267,2.9371822357177733,3.4804163860393187
sf_rio_adjoint_only,3102,24,3.308010482788086,2.94978609085083,3.447607570825206
sf_rio_adjoint_only,3102,25,3.197143530845642,2.8421395778656007,3.4482641524854
sf_rio_adjoint_only,3102,26,3.2618232011795043,2.9110438227653503,3.4833787059733115
sf_rio_adjoint_only,3102,27,3.224633741378784,2.8642730712890625,3.4959359120791964
sf_rio_adjoint_only,3102,28,3.1401558399200438,2.7935078144073486,3.4148271594091
sf_rio_adjoint_only,3102,29,3.0923891067504883,2.7309195041656493,3.4891838226869556
sf_rio_adjoint_only,3102,30,3.0554301261901857,2.702852702140808,3.380822794902233
sf_rio_adjoint_only,3102,31,3.0291876554489137,2.6666727304458617,3.484367377994018
sf_rio_adjoint_only,3102,32,2.9807083129882814,2.6280718564987184,3.4629638737112325
sf_rio_adjoint_only,3102,33,3.0454746961593626,2.688817024230957,3.436695425563997
sf_rio_adjoint_only,3102,34,3.0140325307846068,2.652705693244934,3.445153128287503
sf_rio_adjoint_only,3102,35,2.9551841497421263,2.598605692386627,3.449516260708479
sf_rio_adjoint_only,3102,36,2.9546067476272584,2.59729905128479,3.4847835025130807
sf_rio_adjoint_only,3102,37,2.9893229961395265,2.6292513608932495,3.475459242226111
sf_rio_adjoint_only,3102,38,3.0164699077606203,2.6605873346328734,3.4926383057266457
sf_rio_adjoint_only,3102,39,2.96712863445282,2.6087642073631288,3.4653274206551314
sf_rio_adjoint_only,3102,40,2.9219961166381836,2.5651289105415342,3.5405206966722274
sf_rio_adjoint_only,3102,41,3.0054641723632813,2.643482494354248,3.489673863621319
sf_rio_adjoint_only,3102,42,2.888827180862427,2.5323400139808654,3.527696088741812
sf_rio_adjoint_only,3102,43,2.9488985538482666,2.593339133262634,3.4604162688180216
sf_rio_adjoint_only,3102,44,2.887538504600525,2.5302233934402465,3.4651852638910823
sf_rio_adjoint_only,3102,45,2.947021508216858,2.5872400045394897,3.437722400627597
sf_rio_adjoint_only,3102,46,2.890176868438721,2.537724769115448,3.420160337621557
sf_rio_adjoint_only,3102,47,2.9553598880767824,2.6035933017730715,3.5156464272623715
sf_rio_adjoint_only,3102,48,2.8536485552787783,2.4980255722999574,3.4691618071379673
