selection_role,family,parameter_rank,tau,camera_max_factor,ncp_multiplier,source_field_mean_rel_l2,source_field_median_rel_l2,independent_field_count,layout_row_count,mean_stop_iteration,median_stop_iteration,p90_stop_iteration,forced_cap_fraction,mean_a_calls,mean_at_calls,mean_total_operator_calls,maximum_total_operator_calls,per_sample_truth_used_at_runtime,audit_camera_used,test_domain_used
v_tune,self_discrepancy,0,0.55,,,0.1403701770267205,0.11110643006894474,24,96,64.0,64.0,64.0,1.0,64.0,64.0,128.0,128,False,False,False
v_tune,self_discrepancy,1,0.6,,,0.1400617060171011,0.11110643006894474,24,96,62.8125,64.0,64.0,0.9479166666666666,62.864583333333336,62.8125,125.67708333333333,128,False,False,False
v_tune,self_discrepancy,2,0.65,,,0.1388501203899141,0.1098712683471775,24,96,53.354166666666664,64.0,64.0,0.7083333333333334,53.645833333333336,53.354166666666664,107.0,128,False,False,False
v_tune,self_discrepancy,3,0.7,,,0.13804587183252015,0.10404357763378123,24,96,35.583333333333336,32.0,64.0,0.3333333333333333,36.25,35.583333333333336,71.83333333333333,128,False,False,False
v_tune,self_discrepancy,4,0.75,,,0.14001894972445025,0.10396927213355632,24,96,25.197916666666668,12.0,64.0,0.20833333333333334,25.989583333333332,25.197916666666668,51.1875,128,False,False,False
v_tune,self_discrepancy,5,0.8,,,0.14307046644974275,0.10533979159140917,24,96,19.479166666666668,8.5,64.0,0.125,20.354166666666668,19.479166666666668,39.833333333333336,128,False,False,False
v_tune,camera_discrepancy,0,0.55,1.25,,0.1403701770267205,0.11110643006894474,24,96,64.0,64.0,64.0,1.0,64.0,64.0,128.0,128,False,False,False
v_tune,camera_discrepancy,1,0.55,1.5,,0.1403701770267205,0.11110643006894474,24,96,64.0,64.0,64.0,1.0,64.0,64.0,128.0,128,False,False,False
v_tune,camera_discrepancy,2,0.55,2.0,,0.1403701770267205,0.11110643006894474,24,96,64.0,64.0,64.0,1.0,64.0,64.0,128.0,128,False,False,False
v_tune,camera_discrepancy,3,0.55,999.0,,0.1403701770267205,0.11110643006894474,24,96,64.0,64.0,64.0,1.0,64.0,64.0,128.0,128,False,False,False
v_tune,camera_discrepancy,4,0.6,1.25,,0.1400617060171011,0.11110643006894474,24,96,62.8125,64.0,64.0,0.9479166666666666,62.864583333333336,62.8125,125.67708333333333,128,False,False,False
v_tune,camera_discrepancy,5,0.6,1.5,,0.1400617060171011,0.11110643006894474,24,96,62.8125,64.0,64.0,0.9479166666666666,62.864583333333336,62.8125,125.67708333333333,128,False,False,False
v_tune,camera_discrepancy,6,0.6,2.0,,0.1400617060171011,0.11110643006894474,24,96,62.8125,64.0,64.0,0.9479166666666666,62.864583333333336,62.8125,125.67708333333333,128,False,False,False
v_tune,camera_discrepancy,7,0.6,999.0,,0.1400617060171011,0.11110643006894474,24,96,62.8125,64.0,64.0,0.9479166666666666,62.864583333333336,62.8125,125.67708333333333,128,False,False,False
v_tune,camera_discrepancy,8,0.65,1.25,,0.1388501203899141,0.1098712683471775,24,96,53.354166666666664,64.0,64.0,0.7083333333333334,53.645833333333336,53.354166666666664,107.0,128,False,False,False
v_tune,camera_discrepancy,9,0.65,1.5,,0.1388501203899141,0.1098712683471775,24,96,53.354166666666664,64.0,64.0,0.7083333333333334,53.645833333333336,53.354166666666664,107.0,128,False,False,False
v_tune,camera_discrepancy,10,0.65,2.0,,0.1388501203899141,0.1098712683471775,24,96,53.354166666666664,64.0,64.0,0.7083333333333334,53.645833333333336,53.354166666666664,107.0,128,False,False,False
v_tune,camera_discrepancy,11,0.65,999.0,,0.1388501203899141,0.1098712683471775,24,96,53.354166666666664,64.0,64.0,0.7083333333333334,53.645833333333336,53.354166666666664,107.0,128,False,False,False
v_tune,camera_discrepancy,12,0.7,1.25,,0.13804587183252015,0.10404357763378123,24,96,35.583333333333336,32.0,64.0,0.3333333333333333,36.25,35.583333333333336,71.83333333333333,128,False,False,False
v_tune,camera_discrepancy,13,0.7,1.5,,0.13804587183252015,0.10404357763378123,24,96,35.583333333333336,32.0,64.0,0.3333333333333333,36.25,35.583333333333336,71.83333333333333,128,False,False,False
v_tune,camera_discrepancy,14,0.7,2.0,,0.13804587183252015,0.10404357763378123,24,96,35.583333333333336,32.0,64.0,0.3333333333333333,36.25,35.583333333333336,71.83333333333333,128,False,False,False
v_tune,camera_discrepancy,15,0.7,999.0,,0.13804587183252015,0.10404357763378123,24,96,35.583333333333336,32.0,64.0,0.3333333333333333,36.25,35.583333333333336,71.83333333333333,128,False,False,False
v_tune,camera_discrepancy,16,0.75,1.25,,0.14001894972445025,0.10396927213355632,24,96,25.197916666666668,12.0,64.0,0.20833333333333334,25.989583333333332,25.197916666666668,51.1875,128,False,False,False
v_tune,camera_discrepancy,17,0.75,1.5,,0.14001894972445025,0.10396927213355632,24,96,25.197916666666668,12.0,64.0,0.20833333333333334,25.989583333333332,25.197916666666668,51.1875,128,False,False,False
v_tune,camera_discrepancy,18,0.75,2.0,,0.14001894972445025,0.10396927213355632,24,96,25.197916666666668,12.0,64.0,0.20833333333333334,25.989583333333332,25.197916666666668,51.1875,128,False,False,False
v_tune,camera_discrepancy,19,0.75,999.0,,0.14001894972445025,0.10396927213355632,24,96,25.197916666666668,12.0,64.0,0.20833333333333334,25.989583333333332,25.197916666666668,51.1875,128,False,False,False
v_tune,camera_discrepancy,20,0.8,1.25,,0.14305373272695746,0.10533979159140917,24,96,19.5,8.5,64.0,0.125,20.375,19.5,39.875,128,False,False,False
v_tune,camera_discrepancy,21,0.8,1.5,,0.14307046644974275,0.10533979159140917,24,96,19.479166666666668,8.5,64.0,0.125,20.354166666666668,19.479166666666668,39.833333333333336,128,False,False,False
v_tune,camera_discrepancy,22,0.8,2.0,,0.14307046644974275,0.10533979159140917,24,96,19.479166666666668,8.5,64.0,0.125,20.354166666666668,19.479166666666668,39.833333333333336,128,False,False,False
v_tune,camera_discrepancy,23,0.8,999.0,,0.14307046644974275,0.10533979159140917,24,96,19.479166666666668,8.5,64.0,0.125,20.354166666666668,19.479166666666668,39.833333333333336,128,False,False,False
v_tune,ncp,0,,,1.0,0.14028918324002215,0.11110643006894474,24,96,63.395833333333336,64.0,64.0,0.9895833333333334,63.40625,63.395833333333336,126.80208333333333,128,False,False,False
