method,split,rig_id,family,field_uid,target_view,noisy_whitened_rmse,clean_whitened_rmse
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,5,1.7635393142700195,1.7853062152862549
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,5,0.9247507452964783,0.4578176438808441
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:0,5,0.8814330101013184,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,3.8470404148101807,3.7780327796936035
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,3.8852031230926514,3.818929433822632
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,2.8390891551971436,2.7698285579681396
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,0.9629920125007629,0.5290380120277405
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,1,1.0157227516174316,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,2.3960816860198975,2.1500813961029053
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,2.4584922790527344,2.20098614692688
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,2.116175413131714,1.9405525922775269
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,0.8453651666641235,0.42964762449264526
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:1,5,0.907200276851654,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,3.9410645961761475,3.943479299545288
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,4.026339054107666,4.027961730957031
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,2.814971446990967,2.7388527393341064
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,1.092070460319519,0.5226768851280212
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,1,0.867379367351532,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,3.4371087551116943,3.3342244625091553
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,3.638460159301758,3.54934024810791
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,2.0165154933929443,1.9588056802749634
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,0.7649236917495728,0.43333911895751953
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:2,5,0.6996813416481018,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,4.014155864715576,3.9555435180664062
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,4.092798709869385,4.034817695617676
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,3.3712565898895264,3.2465291023254395
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,0.9654384851455688,0.6746429204940796
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,1,0.8432499766349792,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,2.6963465213775635,2.4642486572265625
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,2.6706132888793945,2.4405477046966553
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,2.2179694175720215,2.2952892780303955
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,0.9292401671409607,0.5584532022476196
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:3,5,0.693366289138794,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,4.532023906707764,4.3575544357299805
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,4.602141857147217,4.425090789794922
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,2.6922547817230225,2.7619004249572754
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,1.2838788032531738,0.6730982065200806
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,1,1.0543591976165771,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,2.265261650085449,2.2284979820251465
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,2.3708722591400146,2.352851390838623
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,2.0012354850769043,1.4627761840820312
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,0.9557156562805176,0.4248621463775635
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:4,5,0.8216524720191956,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,4.040877819061279,3.7719757556915283
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,4.124314785003662,3.850813388824463
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,2.220968723297119,1.918228030204773
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,0.9849522709846497,0.4345358908176422
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,1,0.77348792552948,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,2.4622950553894043,2.5082833766937256
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,2.467247247695923,2.4976868629455566
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,1.9307562112808228,1.9098536968231201
paired_target_field_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,0.5354987382888794,0.46606767177581787
clean_measurement_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:5,5,0.4599559009075165,0.0
zero_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,3.6760852336883545,3.5342206954956055
analytic_source_correction,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,3.665785074234009,3.510152578353882
true_field_correction_oracle,train,train-rig-a,interacting_fronts,train-rig-a:interacting_fronts:6,1,2.696664333343506,2.769491195678711
