rig_id,rig_role,budget,replicate,method,high_fidelity_subray_evaluations,trainable_parameters,operator_relative_l2,forward_action_relative_l2,adjoint_action_relative_l2,normal_action_relative_l2,normal_action_cosine,internal_adjoint_relative_error,postprocess_seconds
development_small_aperture,development,16,-1,sunflower_qmc,16,0,0.017500814407673915,0.01334500021535899,0.01788815093751381,0.02120764827580415,0.999784717992584,3.798083030350277e-16,0.06634691602084786
development_small_aperture,development,16,-1,product_quadrature,16,0,0.02070807678355453,0.01755857212698224,0.024012241692905754,0.025834459400473436,0.9997549666630157,1.4490910531440164e-15,0.07190004200674593
development_small_aperture,development,16,0,iid_mc,16,0,0.0370687735619758,0.035849003956523816,0.03293912065435774,0.03784822460166146,0.9993709852884054,6.450277153530061e-16,0.0
development_small_aperture,development,16,0,antithetic_mc,16,0,0.0342937153092424,0.0330363064266798,0.035493751862299736,0.047804470625684346,0.998855494913577,4.463989188113393e-16,0.0
development_small_aperture,development,16,0,scrambled_sobol,16,0,0.011155203937078063,0.010484882994920508,0.011885084400242087,0.014929386222518763,0.9999106605466288,5.669817300839716e-16,0.0
development_small_aperture,development,16,0,cf_quadratic_cv,16,0,0.10646560648314676,0.08989639445843865,0.09040562969990244,0.1024763003688081,0.994997108241776,5.92991727881639e-16,0.00041504204273223877
development_small_aperture,development,16,1,iid_mc,16,0,0.033459012032316784,0.027513458803993102,0.02836589152415993,0.035777598831231903,0.9994119149607191,3.3530162304619186e-16,0.0
development_small_aperture,development,16,1,antithetic_mc,16,0,0.032011122754761354,0.02918298415600525,0.030298557777836105,0.03966324029066674,0.9992207439813544,3.267403407714803e-16,0.0
development_small_aperture,development,16,1,scrambled_sobol,16,0,0.010436064159088723,0.00949393278199954,0.009688948267941732,0.013080661851647454,0.9999194521441815,2.803462063234038e-16,0.0
development_small_aperture,development,16,1,cf_quadratic_cv,16,0,0.0406542734608447,0.03401850412651007,0.04041101060621637,0.0431091052892712,0.9991291502941323,5.435980486507689e-16,0.00040333298966288567
development_small_aperture,development,16,2,iid_mc,16,0,0.0514112822294439,0.04530077808733427,0.05276050168255176,0.056895398254688055,0.9985568879387499,7.793549684342695e-16,0.0
development_small_aperture,development,16,2,antithetic_mc,16,0,0.01992958137590927,0.017503510812837585,0.020732572990353568,0.02889788447851217,0.9996117966252523,9.055138272844951e-16,0.0
development_small_aperture,development,16,2,scrambled_sobol,16,0,0.016049161733906286,0.012565309507042774,0.014893865567192249,0.017585775404902644,0.999880356598322,5.785447683481154e-16,0.0
development_small_aperture,development,16,2,cf_quadratic_cv,16,0,0.03578682652468836,0.02975922604889228,0.036006483777248875,0.03976496814233141,0.9992271158471118,4.008188851536603e-16,0.00028249999741092324
development_small_aperture,development,16,3,iid_mc,16,0,0.056569023680992814,0.050373818037238595,0.061287017229869005,0.06463770050282262,0.9979926475095668,3.784315577383e-16,0.0
development_small_aperture,development,16,3,antithetic_mc,16,0,0.03390658692955977,0.024503878087270097,0.030830722167078984,0.041379009627933894,0.999336641678806,4.316069263418286e-16,0.0
development_small_aperture,development,16,3,scrambled_sobol,16,0,0.0107982054256166,0.009162785445958192,0.010893039945309596,0.012229854861524314,0.9999307983950719,4.250843358173841e-16,0.0
development_small_aperture,development,16,3,cf_quadratic_cv,16,0,0.021866543895188897,0.016956371480607964,0.022075050095436824,0.02472418176013026,0.9997434735691516,9.749972193120817e-16,0.0003316249931231141
development_small_aperture,development,16,4,iid_mc,16,0,0.025573676891561942,0.023074639218442605,0.02872084255538963,0.030901677261349056,0.9995552030051273,6.340334685119796e-16,0.0
development_small_aperture,development,16,4,antithetic_mc,16,0,0.009923627045366484,0.008316584671519384,0.008907018909609663,0.00958529789422858,0.9999600381863755,8.243070208718344e-16,0.0
development_small_aperture,development,16,4,scrambled_sobol,16,0,0.010607351384028615,0.008983164831612947,0.009005359419801339,0.011851152185993403,0.9999403029756708,1.9080748878505071e-16,0.0
development_small_aperture,development,16,4,cf_quadratic_cv,16,0,0.04772368963594849,0.03709814363410762,0.04791042634188893,0.05679521415444095,0.9984750584570655,6.386903830431404e-16,0.0003107080119661987
development_small_aperture,development,16,5,iid_mc,16,0,0.021700768114628597,0.01812398219719519,0.022852782949726615,0.025986421777972776,0.9996907855613569,5.836926309214202e-16,0.0
development_small_aperture,development,16,5,antithetic_mc,16,0,0.023938332753597785,0.019893218350921695,0.021822046983463222,0.024695636137881175,0.9997374725681004,5.679198563760168e-16,0.0
development_small_aperture,development,16,5,scrambled_sobol,16,0,0.015478014386279448,0.012644186888706574,0.014173369940767839,0.017192441514778115,0.9998559240182207,6.534714299938344e-16,0.0
development_small_aperture,development,16,5,cf_quadratic_cv,16,0,0.04193854327976636,0.0331475112527233,0.044498668468935694,0.04599559097836987,0.9990092653217307,5.338271878547796e-16,0.0002566670300439
development_small_aperture,development,16,6,iid_mc,16,0,0.06480020533321063,0.06142858720753394,0.06777725060491943,0.06793097281424104,0.9977601518943796,3.7422529059355943e-16,0.0
development_small_aperture,development,16,6,antithetic_mc,16,0,0.02894522873478442,0.024823287075329437,0.02608781932122881,0.03324586825768733,0.9994690517856469,7.989316838561031e-16,0.0
development_small_aperture,development,16,6,scrambled_sobol,16,0,0.013105672252386907,0.010812073114352323,0.012087737410990436,0.013253683574212664,0.9999083588790687,3.382953583488865e-16,0.0
