rig_id,rig_role,budget,method,replicate_count,operator_rmse_relative,operator_mean_relative_l2,operator_p95_relative_l2,operator_worst_relative_l2,operator_bias_relative,bias_to_rmse_standard_error_ratio,forward_action_mean_relative_l2,adjoint_action_mean_relative_l2,normal_action_mean_relative_l2,normal_action_mean_cosine,maximum_internal_adjoint_relative_error,mean_postprocess_seconds
development_small_aperture,development,16,iid_mc,32,0.04828085439244482,0.04557887044629941,0.06967300272501446,0.09173349185009766,0.012738723185286292,1.4925398750828711,0.04212809315043912,0.046474003130837924,0.05220866296725889,0.9986126503792405,1.8692434014533253e-15,0.0
development_small_aperture,development,16,antithetic_mc,32,0.034315750774075164,0.03175771201394111,0.05576956240099946,0.05855583036024388,0.0037890799220237025,0.6246190852615466,0.02689719301762007,0.03061883463496526,0.039596204359777995,0.9991379895609231,1.2891168412093324e-15,0.0
development_small_aperture,development,16,scrambled_sobol,32,0.013342762679142943,0.01307720796575434,0.01757226477375525,0.017995506465460477,0.002353818218087315,0.9979347538222944,0.010857371275174398,0.012601400322301934,0.014968821470508964,0.9998870802133994,1.1519234971089928e-15,0.0
development_small_aperture,development,16,sunflower_qmc,1,0.017500814407673915,0.017500814407673915,0.017500814407673915,0.017500814407673915,0.017500814407673915,1.0,0.01334500021535899,0.01788815093751381,0.02120764827580415,0.999784717992584,3.798083030350277e-16,0.06634691602084786
development_small_aperture,development,16,product_quadrature,1,0.02070807678355453,0.02070807678355453,0.02070807678355453,0.02070807678355453,0.02070807678355453,1.0,0.01755857212698224,0.024012241692905754,0.025834459400473436,0.9997549666630157,1.4490910531440164e-15,0.07190004200674593
development_small_aperture,development,16,cf_quadratic_cv,32,0.08940127109342509,0.07194260759813254,0.1661942662276505,0.2771883437106273,0.01491003884618059,0.9434308436059374,0.06399635809720274,0.07282805306143049,0.0874471389953866,0.9943143198804668,1.866462932065381e-15,0.00029521231772378087
development_small_aperture,development,32,iid_mc,32,0.03694197018534322,0.03392177685801791,0.06066162852707296,0.07170443194880233,0.003747049843230838,0.5737786783540276,0.031533192108916905,0.03518583168729647,0.03899254637064574,0.9991899122183735,1.4321609523246548e-15,0.0
development_small_aperture,development,32,antithetic_mc,32,0.024746804010739993,0.02261147322147111,0.040596515988390855,0.05290578167182494,0.003979039860784545,0.9095658791175578,0.019138642283507177,0.02145589265267909,0.027906007164550214,0.9995660262068919,1.5088730863797235e-15,0.0
development_small_aperture,development,32,scrambled_sobol,32,0.007675425429318128,0.007445275891417504,0.010777607422798685,0.01253014159796567,0.001688152270220384,1.2441826751529996,0.006257285075551797,0.0072158298598280525,0.008568373560225696,0.9999619683564314,1.2767770228803463e-15,0.0
development_small_aperture,development,32,sunflower_qmc,1,0.008888303848733209,0.008888303848733209,0.008888303848733209,0.008888303848733209,0.008888303848733209,1.0,0.007174541777435466,0.009638061861025575,0.010411274056404574,0.9999504168416106,5.648763739432912e-16,0.13534495898056775
development_small_aperture,development,32,product_quadrature,1,0.022044702475866675,0.022044702475866675,0.022044702475866675,0.022044702475866675,0.022044702475866675,1.0,0.018682063974245787,0.02437237886818275,0.028302329258470333,0.9996288950978922,7.669566851365513e-16,0.1332062499714084
development_small_aperture,development,32,cf_quadratic_cv,32,0.022111759969099302,0.02073611112110298,0.03369925586603465,0.044525765208782805,0.004155748510216188,1.063165648175027,0.018190968868105922,0.02068491553229522,0.025205875545296207,0.9996588865210988,1.1798082302650283e-15,0.0003445794372964883
development_small_aperture,development,64,iid_mc,32,0.03217271917153364,0.029412305096661585,0.05507223723538769,0.06013117981130869,0.007579091444766279,1.3326139894495503,0.02750892647248496,0.030539876243818175,0.03369927579876959,0.9994022398467491,1.3006061745137043e-15,0.0
development_small_aperture,development,64,antithetic_mc,32,0.01832525527861303,0.01665871802900333,0.030322434629021646,0.04179841820417864,0.002991948379142531,0.9235896387521024,0.014060159584301303,0.01594951432482529,0.02050052936643254,0.9997589418568287,1.1183043434803374e-15,0.0
development_small_aperture,development,64,scrambled_sobol,32,0.004891055497820022,0.0048034144362765294,0.006465562004787641,0.0070018450423378325,0.0013268857854129086,1.5346379727544543,0.0040990227182754035,0.004648449249890725,0.005549451033348359,0.9999850875916172,1.177906896320558e-15,0.0
development_small_aperture,development,64,sunflower_qmc,1,0.006812655403910922,0.006812655403910922,0.006812655403910922,0.006812655403910922,0.006812655403910922,1.0,0.004966161787991709,0.007978407496551564,0.007897017321695383,0.9999760652760811,4.398828684111502e-16,0.2644186660181731
development_small_aperture,development,64,product_quadrature,1,0.0071281399731178904,0.0071281399731178904,0.0071281399731178904,0.0071281399731178904,0.0071281399731178904,1.0,0.006445921516303233,0.008734104716117934,0.008632863587857321,0.9999672059315627,8.266086539013891e-16,0.26276995800435543
development_small_aperture,development,64,cf_quadratic_cv,32,0.013619632310908687,0.012572596788384491,0.023198071873552762,0.025084809877551836,0.0023872197627505263,0.9915212063817107,0.011221905323092207,0.012474470495359168,0.015403507440161033,0.9998677121789252,1.1923415358487608e-15,0.0005454570291476557
development_medium_aperture,development,16,iid_mc,32,0.07467822533852722,0.06931212390721184,0.11971012581760587,0.1239342588073685,0.008379737493426208,0.6347627227941507,0.06635416961687139,0.06471585596906868,0.0722893116974706,0.9976167909447328,1.972962729694989e-15,0.0
development_medium_aperture,development,16,antithetic_mc,32,0.04237194744698988,0.0405570923619444,0.059188948988691446,0.06994846060942214,0.00996214495132166,1.3299932006298765,0.03884374894262049,0.04042539894999277,0.054205737331302975,0.9988056591176014,2.0243767246499522e-15,0.0
development_medium_aperture,development,16,scrambled_sobol,32,0.021661231525212668,0.021286354331724947,0.027670957092082466,0.03417172738081843,0.0052327909843184976,1.3665490755635552,0.020465147607614666,0.02132086944659732,0.027042346927518203,0.9997008826282645,3.057056003546429e-15,0.0
development_medium_aperture,development,16,sunflower_qmc,1,0.020599941026073768,0.020599941026073768,0.020599941026073768,0.020599941026073768,0.020599941026073768,1.0,0.018702436477484635,0.024431051160768352,0.02199060274030135,0.9997849204084064,6.740161931391692e-16,0.06583954195957631
development_medium_aperture,development,16,product_quadrature,1,0.025915852913295907,0.025915852913295907,0.025915852913295907,0.025915852913295907,0.025915852913295907,1.0,0.022668237896069993,0.021786275809497355,0.034848002074011494,0.9994710881559393,6.295858548986987e-16,0.06611866701859981
development_medium_aperture,development,16,cf_quadratic_cv,32,0.10615446633120312,0.09175080005847192,0.19376064479717214,0.2489992872776164,0.015886827937385658,0.8465915117331058,0.09268486869516046,0.09263752192009675,0.12347476604583829,0.9916869009866912,2.749754147944369e-15,0.00028027084226778243
development_medium_aperture,development,32,iid_mc,32,0.04920411696886686,0.04607409587836599,0.08443472812639272,0.09860952944455073,0.008267969608408626,0.9505444238252182,0.04380929278840548,0.0437799136233451,0.04866619742475857,0.9988884511322629,2.6766442173587246e-15,0.0
development_medium_aperture,development,32,antithetic_mc,32,0.030073235387024548,0.028760989377665372,0.045013327367522366,0.05077129929032119,0.006313687077530865,1.187621056226811,0.0275125547680306,0.02847952399000784,0.038136890118595834,0.999417971866246,1.9138879036049346e-15,0.0
development_medium_aperture,development,32,scrambled_sobol,32,0.013058851790177666,0.012904313636536217,0.016523512467431837,0.0166961433155898,0.0016490424507235384,0.7143348392992112,0.012258538155910395,0.012898311508787907,0.016390513154778866,0.9998929103074312,2.9406516957847094e-15,0.0
development_medium_aperture,development,32,sunflower_qmc,1,0.014854931324360342,0.014854931324360342,0.014854931324360342,0.014854931324360342,0.014854931324360342,1.0,0.014256252578791775,0.013639396187399304,0.016676909510869805,0.999865234791948,8.450696471369339e-16,0.13343124999664724
development_medium_aperture,development,32,product_quadrature,1,0.02080026010569056,0.02080026010569056,0.02080026010569056,0.02080026010569056,0.02080026010569056,1.0,0.022102496054299148,0.01841137963599448,0.032219869188337615,0.9996207686981505,5.905563199874832e-16,0.13742558303056285
development_medium_aperture,development,32,cf_quadratic_cv,32,0.027282756986556342,0.026099073564410158,0.03821729363279321,0.049233869204130566,0.004350407719469902,0.9020210973192421,0.02635189568861862,0.026215347115338336,0.03497601857281777,0.9994047280284707,2.403091885081342e-15,0.00041101953138422687
development_medium_aperture,development,64,iid_mc,32,0.03738498007194372,0.034601528029180616,0.06122158651497294,0.06762130584244651,0.008331010243285943,1.2605947791494008,0.03322585202802608,0.03259480760773194,0.035634543131166485,0.9994003548457229,2.0418759236876604e-15,0.0
development_medium_aperture,development,64,antithetic_mc,32,0.02127430420438402,0.019926589262499433,0.03192284855022244,0.03796424384440797,0.0037338754393084787,0.9928404211487567,0.019130235904025156,0.019687190758044856,0.026461940572117877,0.9996947324549128,2.3982637269907715e-15,0.0
development_medium_aperture,development,64,scrambled_sobol,32,0.008274891783162822,0.00814218762499578,0.010145408189711706,0.01056139100197893,0.001353814986016434,0.9254905390129912,0.007780293114242078,0.00822629908513764,0.010393250800602351,0.9999524483308602,2.3434329561097673e-15,0.0
development_medium_aperture,development,64,sunflower_qmc,1,0.007846658112932784,0.007846658112932784,0.007846658112932784,0.007846658112932784,0.007846658112932784,1.0,0.007614795660983577,0.007486185466535407,0.010459046474433081,0.999971131091051,4.228850634377689e-16,0.2705527080106549
development_medium_aperture,development,64,product_quadrature,1,0.008769804407160263,0.008769804407160263,0.008769804407160263,0.008769804407160263,0.008769804407160263,1.0,0.008426545105735062,0.009301826270751377,0.010378203418195215,0.9999507216847134,7.102710940489801e-16,0.26614916702965274
development_medium_aperture,development,64,cf_quadratic_cv,32,0.015958614676204838,0.015536637365799345,0.02148470816415508,0.022555257494115313,0.003927183635909696,1.3920697936555377,0.015348702682912243,0.015539956558112043,0.02039805973102312,0.9998070413887785,1.963363370113948e-15,0.0005066210014774697
audit_large_aperture,audit,16,iid_mc,32,0.10942681268839864,0.10194675098270027,0.16770873805915198,0.229995615556922,0.013360869820541214,0.6906944592863579,0.10745039892312855,0.09771332341585665,0.11474508749715115,0.9950233437554687,7.361038126063708e-14,0.0
audit_large_aperture,audit,16,antithetic_mc,32,0.0899480305481771,0.08372436841619729,0.13731474424275356,0.16247107003988245,0.02262932383493451,1.4231638638293986,0.08774597597070155,0.08065653455913216,0.11877492304498642,0.9946952031358186,5.750829945219982e-14,0.0
audit_large_aperture,audit,16,scrambled_sobol,32,0.03495487879035289,0.03442009686550895,0.044299540566208516,0.04828546774814511,0.006374809143551895,1.0316547343702105,0.03596538530198297,0.03230691476809898,0.045508296337818624,0.999052531491536,4.841876150430501e-13,0.0
audit_large_aperture,audit,16,sunflower_qmc,1,0.03280945334427395,0.03280945334427395,0.03280945334427395,0.03280945334427395,0.03280945334427395,1.0,0.03370357361047131,0.031067907675040293,0.0385254775175215,0.9993104393571787,4.107830901544954e-14,0.06603483395883814
audit_large_aperture,audit,16,product_quadrature,1,0.026471626875561954,0.026471626875561954,0.026471626875561954,0.026471626875561954,0.026471626875561954,1.0,0.024598371940052446,0.027832537069676293,0.03172304957498739,0.9995578325207255,7.673970694241167e-15,0.06574841600377113
audit_large_aperture,audit,16,cf_quadratic_cv,32,0.22649533844155237,0.16417722452665684,0.5328002152551993,0.64808838081922,0.03485502810337682,0.8705248205081431,0.17336060776402107,0.1600926418610914,0.2567864928046573,0.9705468367051289,3.970908602092235e-13,0.00031927738564263564
audit_large_aperture,audit,32,iid_mc,32,0.07862511173698752,0.07509957151742662,0.11628097414821796,0.1378484817950593,0.007844738210059363,0.5644067105198599,0.07796774503206705,0.07169238693661294,0.0804241407606461,0.997434954516275,4.9908166314614485e-14,0.0
audit_large_aperture,audit,32,antithetic_mc,32,0.06401024152855903,0.05937486667596768,0.09439870035896705,0.13570460407352142,0.015110385920222704,1.3353683529868392,0.06262052859036293,0.05691108893861913,0.08481332783515047,0.9970694952034179,1.0347610829690618e-13,0.0
audit_large_aperture,audit,32,scrambled_sobol,32,0.021518003350231598,0.02108076284280201,0.02896083666783892,0.032402891259134446,0.004203976893310359,1.105180818434742,0.022103182761487223,0.01986289906223182,0.02735262363911129,0.9996869500857207,4.2917731665838795e-13,0.0
audit_large_aperture,audit,32,sunflower_qmc,1,0.019502407061157988,0.019502407061157988,0.019502407061157988,0.019502407061157988,0.019502407061157988,1.0,0.019062621058411607,0.018062272515698995,0.024716150667283204,0.9997722056964159,4.616920323845751e-15,0.15516725002089515
audit_large_aperture,audit,32,product_quadrature,1,0.025163352473929906,0.025163352473929906,0.025163352473929906,0.025163352473929906,0.025163352473929906,1.0,0.024101621789016526,0.024882015772307576,0.03255026892702765,0.9995181440738362,3.464227077382635e-14,0.14207166602136567
audit_large_aperture,audit,32,cf_quadratic_cv,32,0.04408807130723826,0.04284095093085391,0.06034396644619808,0.06598959527725191,0.007438861339418222,0.9544657575520633,0.04550359330770515,0.04120434392716163,0.06035997204315082,0.9983284689771335,1.20713292095614e-13,0.0003784466207434889
audit_large_aperture,audit,64,iid_mc,32,0.05010509750004711,0.04822569537450305,0.07634070715962803,0.09749821323233404,0.007228892949099826,0.8161403896719772,0.0499884268748466,0.046165602051799995,0.05108600371871387,0.9989145918412041,2.0227102214476873e-13,0.0
