rig_id,split_role,method,row_relative_l2_vs_exact,column_relative_l2_vs_exact,row_p95_relative_entry_error,column_p95_relative_entry_error,final_normalized_residual_l2,final_field_relative_l2,row_violation_count,column_violation_count,spectral_violation_count,total_violation_count,maximum_row_product,maximum_column_product,dense_normalized_spectral_norm_squared,schur_squared_upper_bound,exact_masses_recomputed_from_signed_a
ood-00,fresh_geometry_ood,factor,1.6395994196032893,2.0595129877391893,2.9207721118880876,3.532373414425913,0.20642796418173043,1.045963086543684,0,0,0,0,0.37844674358760627,0.5750327617646114,0.07328040549843363,0.48999999999999994,1
ood-00,fresh_geometry_ood,exact_oracle,0.0,0.0,0.0,0.0,0.10371994941835659,0.7055050256947787,0,0,0,0,0.7000000000000001,0.7,0.38453914254354077,0.48999999999999994,1
ood-00,fresh_geometry_ood,scalar_factor_train_selected,0.40348942968071166,0.6473794284030413,0.960386055944044,1.2661867072129565,0.14080559754358057,0.950396046694454,2,5,0,7,0.7568934871752125,1.1500655235292228,0.29312162199373454,0.48999999999999994,1
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,0.0,0.0,0.0,0.0,0.10371994941835659,0.7055050256947787,0,0,0,0,0.7000000000000001,0.7,0.38453914254354077,0.48999999999999994,1
ood-00,fresh_geometry_ood,learned_oracle_free,3.794335497610107,0.8461771013779816,7.683789021555446,0.9316305342485669,875.4861870991377,474.87083427479985,0,11,1,12,0.6370457372769885,10.399012985309598,1.6162241986286288,0.48999999999999994,1
ood-00,fresh_geometry_ood,calibrated_envelope,7.67821157402898,0.7150731028587324,15.121960795244057,0.869866007749102,0.10816863380756078,0.7959778994675615,0,11,0,11,0.3431326282114844,5.4634069842188,0.4573665939774388,0.48999999999999994,1
ood-01,fresh_geometry_ood,factor,2.5849910123882234,3.129363263989169,5.971782474112172,5.8043748156017045,0.20333208018252857,1.147930949779204,0,0,0,0,0.25768296876109575,0.4517753411710189,0.03892472376503267,0.48999999999999994,1
ood-01,fresh_geometry_ood,exact_oracle,0.0,0.0,0.0,0.0,0.06338548625863416,0.749968019943475,0,0,0,0,0.7000000000000001,0.7,0.369339693510261,0.48999999999999994,1
ood-01,fresh_geometry_ood,scalar_factor_train_selected,0.8554979441105454,1.1513532323992033,2.485891237056086,2.4021874078008523,0.09689104718465108,1.0638826839536368,0,3,0,3,0.5153659375221915,0.9035506823420378,0.15569889506013077,0.48999999999999994,1
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,0.0,0.0,0.0,0.0,0.06338548625863416,0.749968019943475,0,0,0,0,0.7000000000000001,0.7,0.369339693510261,0.48999999999999994,1
