rig_id,split_role,method,iteration,normalized_residual_l2,field_relative_l2,solution_l2
ood-00,fresh_geometry_ood,factor,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,factor,1,0.9624769252067361,1.0006018084410837,0.05379182455430981
ood-00,fresh_geometry_ood,factor,2,0.8976208226215938,1.0033646556468647,0.14865387412447512
ood-00,fresh_geometry_ood,factor,4,0.7283293560545567,1.0222346051466968,0.4124522088277864
ood-00,fresh_geometry_ood,factor,8,0.4617436971212733,1.1091149241716356,0.9655951994238181
ood-00,fresh_geometry_ood,factor,16,0.3126686977646284,1.1842390007128092,1.379389964939045
ood-00,fresh_geometry_ood,factor,32,0.20642796418173043,1.045963086543684,1.3197148221180919
ood-00,fresh_geometry_ood,exact_oracle,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,exact_oracle,1,0.852271564425964,0.9688650238225096,0.16504684188432422
ood-00,fresh_geometry_ood,exact_oracle,2,0.652149179450204,0.9339187475499201,0.39826029437769406
ood-00,fresh_geometry_ood,exact_oracle,4,0.33253675181926534,0.8981067448894543,0.8355377664531002
ood-00,fresh_geometry_ood,exact_oracle,8,0.2313472197733499,0.8704983022710387,1.1804278186200319
ood-00,fresh_geometry_ood,exact_oracle,16,0.14741980686387954,0.7789107024200737,1.1802453785650575
ood-00,fresh_geometry_ood,exact_oracle,32,0.10371994941835659,0.7055050256947787,1.3506087868349643
ood-00,fresh_geometry_ood,scalar_factor_train_selected,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,scalar_factor_train_selected,1,0.8699637984939997,1.0054036143830585,0.19055834141562494
ood-00,fresh_geometry_ood,scalar_factor_train_selected,2,0.7025261733223789,1.0269604297047972,0.4559068024671137
ood-00,fresh_geometry_ood,scalar_factor_train_selected,4,0.4576985267438517,1.1016655362861052,0.9367164120774556
ood-00,fresh_geometry_ood,scalar_factor_train_selected,8,0.2971734485065519,1.1585474690587385,1.3010310476922684
ood-00,fresh_geometry_ood,scalar_factor_train_selected,16,0.2073178932324854,1.0464061025295621,1.3146097103545007
ood-00,fresh_geometry_ood,scalar_factor_train_selected,32,0.14080559754358057,0.950396046694454,1.4747932453348072
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,1,0.852271564425964,0.9688650238225096,0.16504684188432422
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,2,0.652149179450204,0.9339187475499201,0.39826029437769406
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,4,0.33253675181926534,0.8981067448894543,0.8355377664531002
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,8,0.2313472197733499,0.8704983022710387,1.1804278186200319
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,16,0.14741980686387954,0.7789107024200737,1.1802453785650575
ood-00,fresh_geometry_ood,exact_factor_interpolation_oracle,32,0.10371994941835659,0.7055050256947787,1.3506087868349643
ood-00,fresh_geometry_ood,learned_oracle_free,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,learned_oracle_free,1,0.64462302920048,1.2501029599937206,1.3794705755726169
ood-00,fresh_geometry_ood,learned_oracle_free,2,0.7861761313102079,0.9815751263272444,0.5131994441577434
ood-00,fresh_geometry_ood,learned_oracle_free,4,1.1404934415036416,0.915356356536484,0.7710940403589117
ood-00,fresh_geometry_ood,learned_oracle_free,8,2.800928893793493,1.3361249271147555,2.553319507232794
ood-00,fresh_geometry_ood,learned_oracle_free,16,18.97630067072826,10.081832801192837,20.362412904572878
ood-00,fresh_geometry_ood,learned_oracle_free,32,875.4861870991377,474.87083427479985,949.2174751332442
ood-00,fresh_geometry_ood,calibrated_envelope,0,1.0,1.0,0.0
ood-00,fresh_geometry_ood,calibrated_envelope,1,0.718457293853653,1.0355121514697054,0.4253665471899473
ood-00,fresh_geometry_ood,calibrated_envelope,2,0.5185316066793799,1.1156958301651867,0.8924994938229222
ood-00,fresh_geometry_ood,calibrated_envelope,4,0.42089899112986934,1.2026597474845104,1.3297715772936125
ood-00,fresh_geometry_ood,calibrated_envelope,8,0.3177006299383386,1.0982195605781213,1.3007331721917337
ood-00,fresh_geometry_ood,calibrated_envelope,16,0.16032306406115915,0.8946993098280163,1.245451808162117
ood-00,fresh_geometry_ood,calibrated_envelope,32,0.10816863380756078,0.7959778994675615,1.8057413173901748
ood-01,fresh_geometry_ood,factor,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,factor,1,0.9673372334584218,0.9961987570722282,0.04849090960040261
ood-01,fresh_geometry_ood,factor,2,0.9066714735483347,0.9907292165594281,0.138898342256249
ood-01,fresh_geometry_ood,factor,4,0.7233759916193948,0.9872571867124675,0.41559765573520857
ood-01,fresh_geometry_ood,factor,8,0.29623634947319416,1.069913574106724,1.1362609787522306
ood-01,fresh_geometry_ood,factor,16,0.40647550383064446,1.320835993053074,2.0099695988702178
ood-01,fresh_geometry_ood,factor,32,0.20333208018252857,1.147930949779204,1.4526104584396524
ood-01,fresh_geometry_ood,exact_oracle,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,exact_oracle,1,0.7215044076948306,0.9531405635997545,0.3467947039857204
ood-01,fresh_geometry_ood,exact_oracle,2,0.39290313838352514,0.9350540637801923,0.77589042843729
ood-01,fresh_geometry_ood,exact_oracle,4,0.1960962147843253,0.9722226045215895,1.338523878597252
ood-01,fresh_geometry_ood,exact_oracle,8,0.11978633038676424,0.9174971731008679,1.3526936259627593
ood-01,fresh_geometry_ood,exact_oracle,16,0.07434308155064966,0.8393010577011314,1.426571549370501
ood-01,fresh_geometry_ood,exact_oracle,32,0.06338548625863416,0.749968019943475,1.4452139187529691
ood-01,fresh_geometry_ood,scalar_factor_train_selected,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,scalar_factor_train_selected,1,0.8778593762531677,0.9887753040651788,0.18196885010095137
ood-01,fresh_geometry_ood,scalar_factor_train_selected,2,0.6840449379231152,0.9891520927237815,0.4759325705274221
ood-01,fresh_geometry_ood,scalar_factor_train_selected,4,0.29000473693371825,1.0732127574979848,1.1468935809714274
ood-01,fresh_geometry_ood,scalar_factor_train_selected,8,0.306105280463186,1.2726881912624672,1.8539338941730694
ood-01,fresh_geometry_ood,scalar_factor_train_selected,16,0.15502597915022046,1.1574944320754517,1.5250501525356017
ood-01,fresh_geometry_ood,scalar_factor_train_selected,32,0.09689104718465108,1.0638826839536368,1.6158959943682931
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,1,0.7215044076948306,0.9531405635997545,0.3467947039857204
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,2,0.39290313838352514,0.9350540637801923,0.77589042843729
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,4,0.1960962147843253,0.9722226045215895,1.338523878597252
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,8,0.11978633038676424,0.9174971731008679,1.3526936259627593
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,16,0.07434308155064966,0.8393010577011314,1.426571549370501
ood-01,fresh_geometry_ood,exact_factor_interpolation_oracle,32,0.06338548625863416,0.749968019943475,1.4452139187529691
ood-01,fresh_geometry_ood,learned_oracle_free,0,1.0,1.0,0.0
ood-01,fresh_geometry_ood,learned_oracle_free,1,2.5401591121725877,3.825733094711758,7.061446281718088
ood-01,fresh_geometry_ood,learned_oracle_free,2,17.43603532500285,16.686819714894575,33.49122147280547
ood-01,fresh_geometry_ood,learned_oracle_free,4,662.1751011179596,672.6022116651804,1339.684864672587
ood-01,fresh_geometry_ood,learned_oracle_free,8,969630.1331784615,986331.1830380212,1964111.3301318174
