tensor,index,value
column_feature_mean,0,0.23751146638663032
column_feature_mean,1,0.8865654422183382
column_feature_mean,2,0.8360709127184255
column_feature_mean,3,-0.057338906495576936
column_feature_mean,4,0.76512004220702
column_feature_mean,5,3.784851220313033e-18
column_feature_mean,6,2.1145660513403666
column_feature_scale,0,0.38599480199294395
column_feature_scale,1,0.09272557809743223
column_feature_scale,2,0.09181872416029394
column_feature_scale,3,0.14649589185927986
column_feature_scale,4,0.07651165368008316
column_feature_scale,5,0.6324555320336758
column_feature_scale,6,0.7161626355780573
column_head.0.bias,0,-0.4273675816375508
column_head.0.bias,1,-0.21929747239868566
column_head.0.bias,2,0.7456993313509366
column_head.0.bias,3,0.058569335364986555
column_head.0.bias,4,0.34612198830869234
column_head.0.bias,5,0.14159295624714902
column_head.0.bias,6,-0.6580943798395787
column_head.0.bias,7,-0.20037373981625486
column_head.0.bias,8,0.9000755571482383
column_head.0.bias,9,0.3922840228688835
column_head.0.bias,10,-0.9804679683819749
column_head.0.bias,11,-0.5972809176031871
column_head.0.bias,12,-0.7695728268482112
column_head.0.bias,13,0.12325632406781335
column_head.0.bias,14,-0.25303068323653866
column_head.0.bias,15,0.06990793493826958
column_head.0.weight,0,-0.42099694597735227
column_head.0.weight,1,0.2958090828131488
column_head.0.weight,2,0.08287420119315543
column_head.0.weight,3,-0.6956204983803109
column_head.0.weight,4,-0.22914159256264513
column_head.0.weight,5,-0.5306562997836025
column_head.0.weight,6,-0.11567574062393603
column_head.0.weight,7,0.2720923324482676
column_head.0.weight,8,-0.04827551378059269
column_head.0.weight,9,-0.2680351109371033
column_head.0.weight,10,0.35156846241491324
column_head.0.weight,11,0.036238491428098124
column_head.0.weight,12,0.31513804691827674
column_head.0.weight,13,0.11314753279559109
column_head.0.weight,14,-0.8633251695054128
column_head.0.weight,15,0.05858555153649949
column_head.0.weight,16,-0.7954369305729979
column_head.0.weight,17,0.008835879225146934
column_head.0.weight,18,0.5751905316704389
column_head.0.weight,19,-0.1813699611115536
column_head.0.weight,20,-1.335501240530708
column_head.0.weight,21,0.3861947805772425
column_head.0.weight,22,-0.3075296848348721
column_head.0.weight,23,0.14866041649192352
column_head.0.weight,24,-0.24433678955857244
column_head.0.weight,25,0.33969269208374153
column_head.0.weight,26,-1.1047116506195092
column_head.0.weight,27,-0.022810950266330586
column_head.0.weight,28,-0.31461097298156093
column_head.0.weight,29,0.37027739963948914
column_head.0.weight,30,0.12990678336342196
column_head.0.weight,31,-0.8658487862025133
column_head.0.weight,32,0.09420054677970818
column_head.0.weight,33,0.5224472397596702
column_head.0.weight,34,0.19281805678160305
column_head.0.weight,35,-0.5090777916527256
column_head.0.weight,36,0.023502565894206157
column_head.0.weight,37,-0.33782395182279285
column_head.0.weight,38,-0.03967259597593869
column_head.0.weight,39,0.12634705950560499
column_head.0.weight,40,-0.007433194815575616
column_head.0.weight,41,-0.3960693342490456
column_head.0.weight,42,0.010102115299330876
column_head.0.weight,43,-0.39258225331124036
column_head.0.weight,44,-1.038848622709925
column_head.0.weight,45,-0.5960480749840433
column_head.0.weight,46,0.46659276715034737
column_head.0.weight,47,-1.6131487226519314
column_head.0.weight,48,0.9423715055479759
column_head.0.weight,49,-0.26910666910851444
column_head.0.weight,50,0.6161875433103782
column_head.0.weight,51,-0.5451289727219517
column_head.0.weight,52,0.05444821257065655
column_head.0.weight,53,0.6209606728283535
column_head.0.weight,54,0.24830045171929432
column_head.0.weight,55,-0.08486270446824438
column_head.0.weight,56,0.4966260939400846
column_head.0.weight,57,0.4757159740150038
column_head.0.weight,58,0.048148714855512295
column_head.0.weight,59,-0.8526889859547356
column_head.0.weight,60,0.2231346747802097
column_head.0.weight,61,-1.161120635705398
column_head.0.weight,62,-1.1027966038174748
column_head.0.weight,63,0.008388326214758577
column_head.0.weight,64,-0.44756141157887536
column_head.0.weight,65,0.2133935142209679
column_head.0.weight,66,-0.36479690973750684
column_head.0.weight,67,-0.6500737334244825
column_head.0.weight,68,0.3133950378632987
column_head.0.weight,69,-0.4572120617415318
column_head.0.weight,70,-0.6200776305355307
column_head.0.weight,71,-0.03402603151179106
column_head.0.weight,72,0.5772955905705126
column_head.0.weight,73,0.6650227083750699
column_head.0.weight,74,-0.352474304747885
column_head.0.weight,75,0.5403278635638193
column_head.0.weight,76,0.7330367722049151
column_head.0.weight,77,-0.15238153499619428
column_head.0.weight,78,0.20921335877386066
column_head.0.weight,79,-0.3140260690490911
column_head.0.weight,80,0.7637310016254806
column_head.0.weight,81,-0.4091279073444327
column_head.0.weight,82,0.48061863716130215
column_head.0.weight,83,0.39101234115747624
column_head.0.weight,84,-0.3467477564858273
column_head.0.weight,85,0.5488845684709797
column_head.0.weight,86,-0.049322102882633084
column_head.0.weight,87,-0.6641049441623441
column_head.0.weight,88,0.07335538087952484
column_head.0.weight,89,-1.5450726886331414
column_head.0.weight,90,0.7653521383812916
column_head.0.weight,91,-0.9053792599044602
column_head.0.weight,92,-0.11888242695078327
column_head.0.weight,93,-0.5445245031747186
column_head.0.weight,94,0.21389627728426952
column_head.0.weight,95,0.8471690327904321
column_head.0.weight,96,-1.7548685483288715
column_head.0.weight,97,0.026742521607448028
column_head.0.weight,98,-0.3301346548287707
column_head.0.weight,99,-0.1928366002669268
column_head.0.weight,100,-0.13173797673508186
column_head.0.weight,101,0.7087276868602659
column_head.0.weight,102,0.025376554409326204
column_head.0.weight,103,0.8336466117973118
column_head.0.weight,104,0.022789725889128455
column_head.0.weight,105,-0.32392607230993525
column_head.0.weight,106,0.5070218545228881
column_head.0.weight,107,0.4877898201306868
column_head.0.weight,108,0.4478221082376048
column_head.0.weight,109,-0.06189977943301892
column_head.0.weight,110,-0.25152965784062986
column_head.0.weight,111,0.4491494750370135
column_head.2.bias,0,0.09427143740887028
column_head.2.weight,0,-0.24496370677304985
column_head.2.weight,1,-0.03528940059768259
column_head.2.weight,2,-0.6073623349122109
column_head.2.weight,3,-0.005143382806795643
column_head.2.weight,4,-0.1947945344019715
column_head.2.weight,5,0.09580219862603252
column_head.2.weight,6,0.41528878539335806
column_head.2.weight,7,0.354195604408884
column_head.2.weight,8,0.40423360958457066
column_head.2.weight,9,-0.3019637853463718
column_head.2.weight,10,0.45395825523380634
column_head.2.weight,11,0.3047081651292276
column_head.2.weight,12,0.7801091591189593
column_head.2.weight,13,-0.4307067411456116
column_head.2.weight,14,0.4769243098215731
column_head.2.weight,15,0.23658652453092183
column_log_target_mean,0,0.4125142767933919
column_log_target_scale,0,0.5035132955320798
row_feature_mean,0,0.23751146638663032
row_feature_mean,1,0.8865654422183381
row_feature_mean,2,0.8360709127184254
row_feature_mean,3,-0.05733890649557692
row_feature_mean,4,0.7651200422070198
row_feature_mean,5,7.93016446160826e-18
row_feature_mean,6,2.1191907547869695
row_feature_scale,0,0.38599480199294395
row_feature_scale,1,0.09272557809743219
row_feature_scale,2,0.09181872416029394
row_feature_scale,3,0.14649589185927986
row_feature_scale,4,0.07651165368008316
row_feature_scale,5,0.6201736729460422
row_feature_scale,6,0.08243997584688581
row_head.0.bias,0,0.34371388342860565
row_head.0.bias,1,-0.08766490797850021
row_head.0.bias,2,0.13422765313542523
row_head.0.bias,3,-0.07580076702600885
row_head.0.bias,4,0.2906162729306709
row_head.0.bias,5,0.1474560012124945
row_head.0.bias,6,0.2828451318708306
row_head.0.bias,7,-0.05967982927600257
row_head.0.bias,8,0.2808141399557157
row_head.0.bias,9,0.6259640409172466
row_head.0.bias,10,0.12277300136684247
row_head.0.bias,11,0.07392203745330228
row_head.0.bias,12,-0.18222413425838108
row_head.0.bias,13,-0.056808421917253625
row_head.0.bias,14,0.2473143218672714
row_head.0.bias,15,0.09248429623251661
row_head.0.weight,0,-0.32072452269457186
row_head.0.weight,1,0.15890285637881643
row_head.0.weight,2,-0.2183101366446295
row_head.0.weight,3,-1.054084234530472
row_head.0.weight,4,0.48723669527653146
row_head.0.weight,5,0.476238553094205
row_head.0.weight,6,0.06882911864146637
row_head.0.weight,7,0.7052442672925454
row_head.0.weight,8,-0.5572949115024384
row_head.0.weight,9,-0.02439646692501569
row_head.0.weight,10,-0.08092491008822181
row_head.0.weight,11,0.15760776780487912
row_head.0.weight,12,0.24812513927455168
row_head.0.weight,13,0.062321269605927175
row_head.0.weight,14,-0.05605832595183823
row_head.0.weight,15,0.04037958510851523
row_head.0.weight,16,0.15418498571138897
row_head.0.weight,17,0.343590547034468
row_head.0.weight,18,0.41104637916969144
row_head.0.weight,19,-0.6246525470656699
row_head.0.weight,20,-0.49796804631448494
row_head.0.weight,21,-0.3766881687171314
row_head.0.weight,22,-0.566288163865338
row_head.0.weight,23,-1.7884860819919788
row_head.0.weight,24,-0.6840220827274148
row_head.0.weight,25,0.10807802003143574
row_head.0.weight,26,-1.85018232000096
row_head.0.weight,27,0.3016186709441982
row_head.0.weight,28,-0.27536668896459215
row_head.0.weight,29,-0.05402620604501585
row_head.0.weight,30,0.3826033669209627
row_head.0.weight,31,-0.11037924108160857
row_head.0.weight,32,-0.5922061246210989
row_head.0.weight,33,-0.11789936684092883
row_head.0.weight,34,0.4067982040963037
row_head.0.weight,35,-0.24596954040033644
row_head.0.weight,36,0.22798311574258373
row_head.0.weight,37,-0.3676417124377374
row_head.0.weight,38,0.14058089026517429
row_head.0.weight,39,0.3332555590654093
row_head.0.weight,40,-0.07725933431455807
row_head.0.weight,41,0.009656234086676667
row_head.0.weight,42,-0.15997896171919768
row_head.0.weight,43,0.4808468494687432
row_head.0.weight,44,-0.41997652832106364
row_head.0.weight,45,0.194561508025298
row_head.0.weight,46,0.8747846970999206
row_head.0.weight,47,-0.40442502481677356
row_head.0.weight,48,0.08274033122379516
row_head.0.weight,49,0.9380711709962276
row_head.0.weight,50,0.5058411298931622
row_head.0.weight,51,0.45198121935201047
row_head.0.weight,52,-0.4525091983787379
row_head.0.weight,53,0.6779221541550188
row_head.0.weight,54,-1.089808496435859
row_head.0.weight,55,-1.5035482990303124
row_head.0.weight,56,0.22891443461387095
row_head.0.weight,57,-0.15853546007537234
row_head.0.weight,58,0.022840231194970185
row_head.0.weight,59,0.053846512110512626
row_head.0.weight,60,-0.0518127791122878
row_head.0.weight,61,0.2742039764356067
row_head.0.weight,62,0.29120400394550117
row_head.0.weight,63,0.20225278389757065
row_head.0.weight,64,-0.4964826004153745
row_head.0.weight,65,-0.7828900195698578
row_head.0.weight,66,-0.3484581419618318
row_head.0.weight,67,0.008166950929353801
row_head.0.weight,68,0.2880137365702069
row_head.0.weight,69,-0.7581157471342942
row_head.0.weight,70,1.0769031510076597
row_head.0.weight,71,-0.3073698538772374
row_head.0.weight,72,0.27787011267561523
row_head.0.weight,73,-0.37910202694838924
row_head.0.weight,74,-0.28540074136764243
row_head.0.weight,75,0.24334656148018438
row_head.0.weight,76,-1.0542838696352028
row_head.0.weight,77,0.4880097919352065
row_head.0.weight,78,-0.11422005865260954
row_head.0.weight,79,-0.4236260831446581
row_head.0.weight,80,-0.4510107178239012
row_head.0.weight,81,0.19831134525950836
row_head.0.weight,82,-0.22300823988059998
row_head.0.weight,83,0.24522614410043078
row_head.0.weight,84,0.09441324415149789
row_head.0.weight,85,0.6686046024058222
row_head.0.weight,86,-0.01196662529409078
row_head.0.weight,87,-1.1412329233478369
row_head.0.weight,88,0.13471971303663902
row_head.0.weight,89,-0.9558441386641119
row_head.0.weight,90,1.0450009885086644
row_head.0.weight,91,0.595407847669566
row_head.0.weight,92,-0.5357780618093912
row_head.0.weight,93,0.14127102692143786
row_head.0.weight,94,0.7436415102125483
row_head.0.weight,95,-0.4899922844422931
row_head.0.weight,96,0.9040297303301933
row_head.0.weight,97,0.3983973163435864
row_head.0.weight,98,0.4003807908924838
row_head.0.weight,99,0.11070148329437457
row_head.0.weight,100,0.19776036718223045
row_head.0.weight,101,-0.11167054881301208
row_head.0.weight,102,-0.2485920749044655
row_head.0.weight,103,-0.10585585599611527
row_head.0.weight,104,0.36366423399440845
row_head.0.weight,105,0.24267285316848655
row_head.0.weight,106,-0.5695442605574129
row_head.0.weight,107,-0.26241811364796264
row_head.0.weight,108,-0.1956170407455202
row_head.0.weight,109,-0.4742652726788225
row_head.0.weight,110,-0.3920383192474945
row_head.0.weight,111,0.28361833872437386
row_head.2.bias,0,0.1328897497204738
row_head.2.weight,0,-0.28683323820919204
row_head.2.weight,1,0.07442917809828957
row_head.2.weight,2,-0.28409930914433745
row_head.2.weight,3,0.6489015676083107
row_head.2.weight,4,0.24125721819078683
row_head.2.weight,5,-0.05012429620713303
row_head.2.weight,6,-0.5962434655668899
row_head.2.weight,7,-0.7967428974784688
row_head.2.weight,8,-0.04467950845507897
row_head.2.weight,9,-0.09082823106131928
row_head.2.weight,10,-0.487975288995781
row_head.2.weight,11,-0.11430938757702559
row_head.2.weight,12,0.593842158159416
row_head.2.weight,13,0.26464650456948113
row_head.2.weight,14,0.19682098581638677
row_head.2.weight,15,0.3228219882372716
row_log_target_mean,0,0.19172095293739488
row_log_target_scale,0,0.47486705273463065
