case_id,cached_vs_reference_field_relative_difference,cached_vs_reference_residual_relative_difference,cache_field_reconstruction_exact,cache_residual_reconstruction_exact,same_objective_field_relative_difference,same_objective_residual_relative_difference,maximum_measurement_direction_orthogonality_defect,reference_forward_calls,reference_adjoint_calls,cache_forward_calls,cache_adjoint_calls
dev-4v-plume,2.9673567736568285e-07,1.2676992069061046e-06,True,True,9.766646452849997e-08,5.468895683252701e-07,5.602836608886719e-06,20,20,20,20
dev-5v-thin,3.6493773051075754e-07,1.497763505092328e-06,True,True,8.795707277879699e-08,8.325056986294036e-07,5.7220458984375e-06,20,20,20,20
dev-6v-annular,2.9794794920510613e-07,1.1711859883593593e-06,True,True,1.3404774123263405e-07,1.2121274171383493e-06,7.152557373046875e-06,20,20,20,20
dev-7v-shock,3.6588065355300566e-07,1.6656214266472892e-06,True,True,1.1520423547124173e-07,1.1353718982446274e-06,7.68899917602539e-06,20,20,20,20
dev-8v-vortex,3.081923723944005e-07,1.380796051869821e-06,True,True,1.0570402545023646e-07,1.179446397410152e-06,7.152557373046875e-06,20,20,20,20
dev-9v-multiplume,3.0288482137738377e-07,1.6571706486330729e-06,True,True,7.497166633560778e-08,5.183332856551832e-07,8.285045623779297e-06,20,20,20,20
