family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,fit_role,base_training_seconds,residual_training_seconds
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,full,1.4157639159820974,7.9213040410541
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1328940410166979,7.297966375015676
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_1,1.1211202499689534,7.2824405409628525
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_2,1.1592742080101743,7.282417459064163
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_3,1.1414971669437364,7.237126416992396
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_4,1.1379334169905633,7.255452917073853
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1566664999118075,7.308626458980143
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,full,1.3193142919335514,7.879723042016849
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1635436250362545,7.308564374921843
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_1,1.2573997500585392,7.315638208063319
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_2,1.125627666944638,7.294250125065446
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_3,1.1394577081082389,7.274883291916922
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_4,1.1587545829825103,7.317567209014669
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1525197500595823,7.3424174160463735
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,full,1.3416482500033453,7.883345791953616
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1732343749608845,7.275091833085753
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_1,1.2533187500666827,7.269762707990594
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_2,1.1717661250149831,7.304457999998704
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_3,1.126084708957933,7.268132874974981
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_4,1.224897540989332,7.290914040990174
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1693520419066772,7.252364249899983
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,full,1.3462307919980958,7.865237875026651
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1118183749495074,7.2810757079860196
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_1,1.1340398339089006,7.320864708046429
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_2,1.1165146250277758,7.307740207994357
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_3,1.1514609589939937,7.27691020804923
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_4,1.2100412499858066,7.314884917112067
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1843979170080274,7.312550790957175
