family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,omitted_view_index,omitted_view_degrees,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,0,0.0,60,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,1,30.0,160,240,True,0.3544525169086107,-0.1569380203797045,-0.3544525169086107,-0.02453482151031494,0.021937847137451172,0.008134663105010986,0.00030461352434940636,0.00488708633929491,0.10225841403007507
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,2,60.0,200,240,True,0.21706076789845785,-0.08795294129092823,-0.21706076789845785,-0.03980982303619385,0.0576094388961792,0.016311198472976685,0.0005822156672365963,0.005954890977591276,0.10682422667741776
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,3,90.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,4,120.0,160,240,True,0.26621797279758763,-0.03946572493361267,-0.26621797279758763,-0.03158009052276611,0.05906569957733154,0.01909652352333069,0.0003718439256772399,0.004620287101715803,0.09146647155284882
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,5,150.0,140,240,True,0.14483317152659592,-0.09869637828143185,-0.14483317152659592,0.012706160545349121,0.04854929447174072,0.01724874973297119,8.990924106910825e-05,0.004250691272318363,0.12651820480823517
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,0,0.0,60,60,True,0.032957364488887975,-0.010476763843407566,-0.032957364488887975,-0.030662715435028076,-0.04762160778045654,-0.020294606685638428,0.00045168327051214874,0.010046625509858131,0.17714236676692963
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,1,30.0,120,20,True,0.03608718834127933,-0.003745960538816484,-0.03608718834127933,-0.03986835479736328,-0.10834681987762451,-0.03742828965187073,0.0005264527280814946,0.007744842674583197,0.07230111956596375
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,2,60.0,160,20,True,0.013747855764514427,-0.003700497551464954,-0.013747855764514538,-0.03434944152832031,-0.15833812952041626,-0.053312599658966064,0.00045339364442043006,0.013064778409898281,0.11707103252410889
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,3,90.0,60,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
