rig_id,method,total_discrepancy_relative_error,parameter_gap_relative_error,relative_operator_error,mean_probe_forward_relative_error,mean_probe_gradient_cosine,worst_probe_gradient_cosine
dco-rig-030,low_fidelity_nominal,1.0,2.090248023578543,0.17581349377158256,0.0734115726634815,0.9964010241707802,0.9948096379717613
dco-rig-030,high_fidelity_nominal,0.47841212560410973,1.0,0.08411130726514772,0.037513831301617256,0.9990321070358578,0.9977937658274172
dco-rig-030,first_order_tangent_oracle,0.39633719611095874,0.8284430408415929,0.06968142715990054,0.020660973246626146,0.9993853006882336,0.9988900267916689
dco-rig-030,diagonal_second_order_oracle,5.517095093077799,11.532097114200745,0.9699797637840623,0.10364817690134273,0.9232415549867523,0.8977170040909528
dco-rig-030,additive_secant_oracle,0.2970631133120929,0.620935585478691,0.05222770382206257,0.0072693507136287906,0.999671702116658,0.9994852253300224
dco-rig-031,low_fidelity_nominal,1.0,1.8707318270092246,0.16386930394097335,0.06590830309965595,0.9954996990746346,0.9950469382901608
dco-rig-031,high_fidelity_nominal,0.5345501613658434,1.0,0.08759636286455574,0.03367496671831544,0.9989485750975935,0.9982206768667657
dco-rig-031,first_order_tangent_oracle,0.5227529777003167,0.9779306330478258,0.08566316658882206,0.016761178087167462,0.9994948983602493,0.9992555817573051
dco-rig-031,diagonal_second_order_oracle,6.858295259891081,12.830031221704745,1.1238640704600282,0.2097483948054725,0.9389849316888697,0.8774416708208479
dco-rig-031,additive_secant_oracle,0.24876300996964312,0.4653688801328244,0.040764621289986834,0.005914384152155155,0.9998747308249131,0.9998178295474777
dco-rig-032,low_fidelity_nominal,1.0,2.592987426852338,0.16622935791869142,0.06895025536263324,0.9966101470149753,0.9957837932955219
dco-rig-032,high_fidelity_nominal,0.38565555299044135,1.0,0.06410727495137894,0.02568536272909224,0.999405466403057,0.9989678626375142
dco-rig-032,first_order_tangent_oracle,0.4138140099255598,1.073014524792325,0.06878803716768479,0.011065204082134789,0.9995262995927917,0.9992443158311987
dco-rig-032,diagonal_second_order_oracle,2.5931329709755713,6.723961189895904,0.4310548287630579,0.03728450990063688,0.9872553979121954,0.9772901517822068
dco-rig-032,additive_secant_oracle,0.2093823628437313,0.5429258342584293,0.03480549573501192,0.0045542411447881395,0.9998802315902809,0.9997042758400522
dco-rig-033,low_fidelity_nominal,1.0,2.4494598216352577,0.16806920365633402,0.08697054935830484,0.9948837946803469,0.9943732241610086
dco-rig-033,high_fidelity_nominal,0.4082532773827663,1.0,0.06861480321980996,0.03344887506051973,0.9994337205994385,0.9989858171294135
