family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2,maximum_source_observable_absolute_difference,source_difference_normalized_development_improvement,source_difference_worst_renderer_relative_change,source_difference_mean_renderer_relative_change,source_difference_normalized_total_l2_change,source_difference_normalized_total_h1_change,source_difference_normalized_total_huber_change,source_difference_selected_normalized_residual_l2,source_difference_selected_normalized_residual_h1
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,220,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,180,100,True,0.26140847426451264,-0.007302434699476668,-0.26140847426451264,-0.025539815425872803,0.049021363258361816,0.01605379581451416,0.00028219560044817626,0.0026590225752443075,0.13500352203845978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,220,240,True,0.29014093943042674,-0.0997026700153506,-0.29014093943042674,-0.030234336853027344,0.06554138660430908,0.02089044451713562,0.00033911969512701035,0.004843445494771004,0.09224582463502884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,220,240,True,0.3773182666814021,-0.06100346199345641,-0.3773182666814022,-0.022700011730194092,0.17179358005523682,0.05605921149253845,0.00023246303317137063,0.014582614414393902,0.12373007088899612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,sparse_four_view,base101_residual307,101,307,240,20,True,0.09795336382740305,-0.014049574337084314,-0.097953363827403,-0.029941320419311523,-0.021700263023376465,-0.011571556329727173,0.00027986912755295634,0.0019755426328629255,0.05670764297246933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,sparse_four_view,base211_residual419,211,419,220,240,True,0.281914117087706,-0.024881196901576974,-0.2819141170877061,-0.01627802848815918,0.013287067413330078,0.008321970701217651,0.00018634060688782483,0.002079809783026576,0.11460183560848236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base101_residual307,101,307,120,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,140,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,100,100,True,0.06316168346630013,-0.00410763518363888,-0.06316168346630013,-0.01937931776046753,-0.054099857807159424,-0.01757487654685974,0.0002073878567898646,0.004630180075764656,0.11255849152803421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,140,120,True,0.12912772720872734,-0.0016242143617073435,-0.12912772720872734,0.006794929504394531,0.059060096740722656,0.023246288299560547,0.0001473431329941377,0.007264291867613792,0.2018783688545227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
