family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,omitted_view_index,omitted_view_degrees,base_best_step,residual_selected_step,residual_admitted,normalized_development_improvement,worst_renderer_relative_change,mean_renderer_relative_change,normalized_total_l2_change,normalized_total_h1_change,normalized_total_huber_change,selected_normalized_residual_l2,selected_normalized_residual_h1,correction_l2
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,0,0.0,60,40,True,0.011700332911457667,-0.005388892082549779,-0.01170033291145764,-0.034982264041900635,-0.054789602756500244,-0.021282225847244263,0.0005322308861650527,0.007372317370027304,0.1654307097196579
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,1,30.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,2,60.0,180,40,True,0.06095544461792146,-0.01763991235603246,-0.060955444617921434,-0.04650115966796875,-0.019389569759368896,-0.011831790208816528,0.0006831034552305937,0.0012731122551485896,0.11558644473552704
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,3,90.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,4,120.0,240,20,True,0.16744881293048275,-0.007504471662360901,-0.16744881293048264,-0.05278754234313965,-0.026440024375915527,-0.014808803796768188,0.0008634388213977218,0.0013559175422415137,0.1259579360485077
smooth_plume,3301,0.02,coarse_ray_six_view,base101_residual307,101,307,5,150.0,140,180,True,0.08639934148990913,-0.00048601642991852323,-0.08639934148990913,-0.020584464073181152,-0.020409226417541504,-0.00535997748374939,0.00019246064766775817,0.004009106662124395,0.09226424247026443
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,0,0.0,60,140,True,0.1836558253417817,-0.14586312987782057,-0.18365582534178168,0.008160829544067383,0.3882976770401001,0.1332741379737854,0.0011739350156858563,0.1325354278087616,0.6361374855041504
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,1,30.0,160,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,2,60.0,160,80,True,0.17817751615099564,-0.026624694112249436,-0.17817751615099564,-0.024335026741027832,-0.011410057544708252,-0.005511969327926636,0.00022320193238556385,0.0021823239512741566,0.07771790027618408
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,3,90.0,60,60,True,0.05151890005664028,-0.012920383889887477,-0.05151890005664031,-0.017690598964691162,0.03283047676086426,0.007266104221343994,0.0002571809745859355,0.005527474917471409,0.14452815055847168
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,4,120.0,220,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,coarse_ray_six_view,base211_residual419,211,419,5,150.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,0,0.0,60,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,1,30.0,160,240,True,0.3544525169086107,-0.1569380203797045,-0.3544525169086107,-0.02453482151031494,0.021937847137451172,0.008134663105010986,0.00030461352434940636,0.00488708633929491,0.10225841403007507
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,2,60.0,200,240,True,0.21706076789845785,-0.08795294129092823,-0.21706076789845785,-0.03980982303619385,0.0576094388961792,0.016311198472976685,0.0005822156672365963,0.005954890977591276,0.10682422667741776
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,3,90.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,4,120.0,160,240,True,0.26621797279758763,-0.03946572493361267,-0.26621797279758763,-0.03158009052276611,0.05906569957733154,0.01909652352333069,0.0003718439256772399,0.004620287101715803,0.09146647155284882
smooth_plume,3301,0.02,nominal_six_view,base101_residual307,101,307,5,150.0,140,240,True,0.14483317152659592,-0.09869637828143185,-0.14483317152659592,0.012706160545349121,0.04854929447174072,0.01724874973297119,8.990924106910825e-05,0.004250691272318363,0.12651820480823517
smooth_plume,3301,0.02,nominal_six_view,base211_residual419,211,419,0,0.0,240,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
