family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_model_seed,residual_seed,fit_role,base_training_seconds,residual_training_seconds
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_1,0.8319791669491678,6.214189124992117
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_2,0.8161105000181124,6.196853875066154
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_3,0.8083624580176547,6.221502708038315
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_4,0.807457791059278,6.255755542078987
smooth_plume,3301,0.08,coarse_ray_six_view,base211_residual419,211,419,leave_out_5,0.8066372500034049,6.215010584099218
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,full,1.3489303330425173,7.872773124952801
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_0,1.1334281660383567,7.309647790971212
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_1,1.1169672079849988,7.290597249986604
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_2,1.1333499170141295,7.257652459084056
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_3,1.1522509580245242,7.295767041970976
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_4,1.1250598749611527,7.279137958888896
smooth_plume,3301,0.08,nominal_six_view,base101_residual307,101,307,leave_out_5,1.1168619159143418,7.304330833023414
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,full,1.3511177080217749,7.872312834020704
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_0,1.157356083043851,7.355673666927032
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_1,1.1622839169576764,7.289869375061244
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_2,1.1489936250727624,7.281299832975492
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_3,1.1460204579634592,7.319488124921918
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_4,1.1089709169464186,7.3303262499393895
smooth_plume,3301,0.08,nominal_six_view,base211_residual419,211,419,leave_out_5,1.1168941670330241,7.224031458958052
smooth_plume,3301,0.08,sparse_four_view,base101_residual307,101,307,full,0.9574590000556782,6.9223775420105085
