method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,qref_error_median,qref_error_p90,qref_error_max,relative_l2_median,relative_l2_p90,field_relative_l2_median,sequence_relative_l2_median,boundary_hit_fraction
one_step_full_profile,709,1,2.0,250,1.5004090563811665,1.5012956254048062,1.5032553163948612,0.7502045281905833,0.7506478127024031,0.13943735504559185,0.09203335059127973,0.0
iterative_full_profile,709,1,2.0,250,0.058622412147775714,0.1070369201531188,0.16917582765009412,0.029311206073887857,0.0535184600765594,0.02097019210600523,0.013592009167596187,0.0
corrected_two_fold_crossfit,709,1,2.0,250,0.15359570955825355,0.2706982685932089,0.47881683742030423,0.07679785477912678,0.13534913429660445,,,0.0
one_step_plugin,709,2,1.0,250,0.06409143383201295,0.10958549627272214,0.1870058353691712,0.06409143383201295,0.10958549627272214,0.021255587719275725,0.01364858222851393,0.0
one_step_full_profile,709,2,1.0,250,0.5012431109728674,0.5041458536564111,0.5115828429293418,0.5012431109728674,0.5041458536564111,0.09363615397532846,0.06147123212933285,0.0
iterative_full_profile,709,2,1.0,250,0.058714066845442225,0.10033350570677341,0.16578180567729808,0.058714066845442225,0.10033350570677341,0.02102042004653125,0.013500875092912134,0.0
corrected_two_fold_crossfit,709,2,1.0,250,0.1508820482883031,0.275730795207224,0.4312622695551301,0.1508820482883031,0.275730795207224,,,0.0
one_step_plugin,709,2,2.0,250,0.10777404081130447,0.16386221265841605,0.3016033102458673,0.053887020405652235,0.08193110632920803,0.021825644663775932,0.014161003495980866,0.0
one_step_full_profile,709,2,2.0,250,1.5009536667318824,1.5020183112255334,1.506330800386158,0.7504768333659412,0.7510091556127667,0.2631790857782656,0.17277486506228334,0.0
iterative_full_profile,709,2,2.0,250,0.05836835129261124,0.10426194747426734,0.20810388821906048,0.02918417564630562,0.05213097373713367,0.020748486248884535,0.013445069448606385,0.0
corrected_two_fold_crossfit,709,2,2.0,250,0.28633571754003034,0.4464349488889209,0.6668341690546791,0.14316785877001517,0.22321747444446044,,,0.004
one_step_plugin,811,-1,0.0,250,0.07162208050029144,0.1323529120885542,0.21103339045077735,,,0.013755943413958277,0.008579882072390382,0.0
one_step_full_profile,811,-1,0.0,250,0.06988220974586844,0.1256397350866553,0.19647680209370735,,,0.013643751714066975,0.00851692768724719,0.0
iterative_full_profile,811,-1,0.0,250,0.07025075940281121,0.12639241298892048,0.19804862886017519,,,0.013641394338241894,0.008518496546130003,0.0
corrected_two_fold_crossfit,811,-1,0.0,250,0.16737753086199403,0.2888684024000848,0.48961096085217454,,,,,0.0
one_step_plugin,811,0,1.0,250,0.0797089910342695,0.14451295844611398,0.2515735399689223,0.0797089910342695,0.14451295844611398,0.013573421811800797,0.008488966230508052,0.0
one_step_full_profile,811,0,1.0,250,0.5024478675872046,0.5078619109616447,0.5210075858414374,0.5024478675872046,0.5078619109616447,0.07772591498667022,0.04982330469191228,0.0
iterative_full_profile,811,0,1.0,250,0.07115325284946449,0.12543032799994802,0.2196354564905829,0.07115325284946449,0.12543032799994802,0.013373195602248804,0.008365038097771317,0.0
corrected_two_fold_crossfit,811,0,1.0,250,0.1859938871332436,0.32561439228958,0.5338257681715572,0.1859938871332436,0.32561439228958,,,0.0
one_step_plugin,811,0,2.0,250,0.155868854427677,0.2367080476374241,0.4102649180673237,0.0779344272138385,0.11835402381871205,0.015949319708328427,0.009966754269049595,0.0
one_step_full_profile,811,0,2.0,250,1.501268834485567,1.5029295298681555,1.5079712680600135,0.7506344172427835,0.7514647649340778,0.22867688788300827,0.1470523242958775,0.0
iterative_full_profile,811,0,2.0,250,0.0686419007048092,0.12920773110753642,0.2864065655765462,0.0343209503524046,0.06460386555376821,0.01387785453422327,0.008640808940176575,0.0
corrected_two_fold_crossfit,811,0,2.0,250,0.49836395594531313,0.6653836177860399,1.0420647292820435,0.24918197797265657,0.33269180889301997,,,0.004
one_step_plugin,811,1,1.0,250,0.0720670385930073,0.12960633314391706,0.21947054519034356,0.0720670385930073,0.12960633314391706,0.013622530780389473,0.008524101831654855,0.0
one_step_full_profile,811,1,1.0,250,0.5014601756463171,0.5063217318590447,0.5133777996230022,0.5014601756463171,0.5063217318590447,0.058859697925796046,0.03647281202962059,0.0
iterative_full_profile,811,1,1.0,250,0.06702264750156453,0.1304677178590433,0.20874147689975067,0.06702264750156453,0.1304677178590433,0.013541335269059002,0.00847847162325562,0.0
corrected_two_fold_crossfit,811,1,1.0,250,0.15846015778897243,0.31048410171750374,0.4798317388434111,0.15846015778897243,0.31048410171750374,,,0.0
one_step_plugin,811,1,2.0,250,0.07328405536252428,0.13523857764335198,0.208312606092539,0.03664202768126214,0.06761928882167599,0.01372083741285603,0.008562737840895146,0.0
one_step_full_profile,811,1,2.0,250,1.5002684123429042,1.5009095344823606,1.5030696714652643,0.7501342061714521,0.7504547672411803,0.1758317071389664,0.109205332012278,0.0
iterative_full_profile,811,1,2.0,250,0.0719485960140909,0.12662694954674444,0.21128957607432886,0.03597429800704545,0.06331347477337222,0.013517870270348623,0.008465377245028402,0.0
corrected_two_fold_crossfit,811,1,2.0,250,0.17203188473346853,0.3122875992750855,0.43628491420041826,0.08601594236673427,0.15614379963754274,,,0.0
one_step_plugin,811,2,1.0,250,0.07073898166874235,0.12404550453540401,0.21329636514515196,0.07073898166874235,0.12404550453540401,0.013606120175400657,0.008481634431562317,0.0
one_step_full_profile,811,2,1.0,250,0.5014643322741901,0.5045021747827612,0.5122916117279014,0.5014643322741901,0.5045021747827612,0.06754332271758151,0.042555247150026364,0.0
iterative_full_profile,811,2,1.0,250,0.07302092180858372,0.12481229638700735,0.20392924119249073,0.07302092180858372,0.12481229638700735,0.013429785333520239,0.008381007155741992,0.0
corrected_two_fold_crossfit,811,2,1.0,250,0.16204718400245158,0.30124403395759025,0.6264615874869228,0.16204718400245158,0.30124403395759025,,,0.0
one_step_plugin,811,2,2.0,250,0.07270072886356299,0.12126815223756669,0.2426405157859014,0.036350364431781496,0.060634076118783346,0.014360265599538619,0.008898482408493618,0.0
one_step_full_profile,811,2,2.0,250,1.5002990930165994,1.5008565739339739,1.5030737769926392,0.7501495465082997,0.7504282869669869,0.19699596601317892,0.12444622448490515,0.0
iterative_full_profile,811,2,2.0,250,0.07126626535858718,0.12480002624706886,0.24902954215877052,0.03563313267929359,0.06240001312353443,0.013690196326724354,0.008507248685069291,0.0
corrected_two_fold_crossfit,811,2,2.0,250,0.22441093608087231,0.333787021721234,0.5475759324642586,0.11220546804043616,0.166893510860617,,,0.0
one_step_plugin,907,-1,0.0,250,0.08837920830386589,0.14788748845804,0.20641039460766894,,,0.016058877137842965,0.010240436116790447,0.0
one_step_full_profile,907,-1,0.0,250,0.09454625171849254,0.14961953474091716,0.24084872362029355,,,0.016101493463904173,0.010436300293499453,0.0
iterative_full_profile,907,-1,0.0,250,0.09500332271838743,0.1502494884373091,0.24150616233008748,,,0.01611434414194162,0.010437654036898766,0.0
corrected_two_fold_crossfit,907,-1,0.0,250,0.20529045615909478,0.31903947144289435,0.5771012985021502,,,,,0.0
one_step_plugin,907,0,1.0,250,0.08348308046312036,0.1484920877476657,0.25764526423868495,0.08348308046312036,0.1484920877476657,0.01602203947786254,0.0103671306241451,0.0
one_step_full_profile,907,0,1.0,250,0.5028079055112524,0.5093940603520424,0.527494518448061,0.5028079055112524,0.5093940603520424,0.0722048638026146,0.04990378610424581,0.0
iterative_full_profile,907,0,1.0,250,0.08794284219330498,0.15664103438317198,0.28610987435940477,0.08794284219330498,0.15664103438317198,0.016109814806538298,0.010477351575802341,0.0
corrected_two_fold_crossfit,907,0,1.0,250,0.19921902800012023,0.33544311787567144,0.4863025327277578,0.19921902800012023,0.33544311787567144,,,0.0
one_step_plugin,907,0,2.0,250,0.10839781044232223,0.17707302623427312,0.27072054005935986,0.054198905221161116,0.08853651311713656,0.016649496518954345,0.010863814116561232,0.0
one_step_full_profile,907,0,2.0,250,1.5008709237348037,1.502789394548475,1.5068698847478732,0.7504354618674018,0.7513946972742375,0.21224629221406205,0.1470303615365967,0.0
iterative_full_profile,907,0,2.0,250,0.08590246160097491,0.1548624299963982,0.23516285555083177,0.042951230800487454,0.0774312149981991,0.016401587776448248,0.01067457742327643,0.0
corrected_two_fold_crossfit,907,0,2.0,250,0.3514142587696385,0.5127483695606392,0.7595368731984855,0.17570712938481925,0.2563741847803196,,,0.0
one_step_plugin,907,1,1.0,250,0.09775278150085054,0.15475742651885824,0.21864200482672858,0.09775278150085054,0.15475742651885824,0.015623470269212755,0.010224009002105162,0.0
one_step_full_profile,907,1,1.0,250,0.5059805929998353,0.5164229957580301,0.5359132705440192,0.5059805929998353,0.5164229957580301,0.06031871932136995,0.04192298859372186,0.0
iterative_full_profile,907,1,1.0,250,0.08917255672060603,0.15653229626131804,0.26553811931034565,0.08917255672060603,0.15653229626131804,0.016150658629205714,0.010467318398158194,0.0
corrected_two_fold_crossfit,907,1,1.0,250,0.21958794627991995,0.35093492271006255,0.5423463546717514,0.21958794627991995,0.35093492271006255,,,0.0
one_step_plugin,907,1,2.0,250,0.17365036997227773,0.24460173467888566,0.35555506587603775,0.08682518498613886,0.12230086733944283,0.020052263724955444,0.013152803784959418,0.0
one_step_full_profile,907,1,2.0,250,1.5195720964194583,1.5252617972468945,1.5376609189620736,0.7597860482097292,0.7626308986234472,0.17310823372561257,0.1206946587300433,0.0
iterative_full_profile,907,1,2.0,250,0.08851917196348552,0.14741248173982693,0.21507886437034449,0.04425958598174276,0.07370624086991347,0.01630497592540199,0.010716369974038156,0.0
corrected_two_fold_crossfit,907,1,2.0,250,0.5413408166131635,0.6155666647888517,0.7886802612227394,0.27067040830658173,0.30778333239442585,,,0.0
one_step_plugin,907,2,1.0,250,0.09702230567876385,0.16553173788952869,0.24316947623194865,0.09702230567876385,0.16553173788952869,0.015804991135665743,0.010279828831091308,0.0
one_step_full_profile,907,2,1.0,250,0.5027621892102833,0.5074057205412574,0.5180471936282094,0.5027621892102833,0.5074057205412574,0.0440073834235902,0.02962909484994397,0.0
iterative_full_profile,907,2,1.0,250,0.0910121068932373,0.1582016220679004,0.2473160439932664,0.0910121068932373,0.1582016220679004,0.015820289841495413,0.010261841155674745,0.0
corrected_two_fold_crossfit,907,2,1.0,250,0.21045850056437415,0.348430484553756,0.43885191474753654,0.21045850056437415,0.348430484553756,,,0.0
one_step_plugin,907,2,2.0,250,0.23178533258646625,0.30454078834779263,0.411163668103296,0.11589266629323312,0.15227039417389632,0.019696148528022754,0.012841046552768774,0.0
one_step_full_profile,907,2,2.0,250,1.5047615130527796,1.5075785408944826,1.5119176088806325,0.7523807565263898,0.7537892704472413,0.1211001606263746,0.08190298182698899,0.0
iterative_full_profile,907,2,2.0,250,0.0915762338228164,0.1671058763127233,0.26439481865532843,0.0457881169114082,0.08355293815636165,0.018263439420504506,0.011883992484448352,0.0
corrected_two_fold_crossfit,907,2,2.0,250,0.5815568014927247,0.7396954157520469,0.8887640670892646,0.29077840074636235,0.36984770787602345,,,0.0
