method,base_seed,direction_index,amplitude_multiplier,evaluation_replicates,qref_error_median,qref_error_p90,qref_error_max,relative_l2_median,relative_l2_p90,field_relative_l2_median,sequence_relative_l2_median,boundary_hit_fraction
one_step_plugin,709,-1,0.0,250,0.05879169711010121,0.1001248372802852,0.16371730927390213,,,0.021271672124412826,0.01367606626515785,0.0
one_step_full_profile,709,-1,0.0,250,0.05747089181483628,0.09952209335749661,0.15081783105527258,,,0.021013815371087416,0.01356099564533219,0.0
iterative_full_profile,709,-1,0.0,250,0.05758248139316746,0.0998538223530746,0.15163607355002864,,,0.02101558290832561,0.013559653907392057,0.0
corrected_two_fold_crossfit,709,-1,0.0,250,0.14546098315787773,0.25454110238313193,0.4690564276484641,,,,,0.0
one_step_plugin,709,0,1.0,250,0.05944128209288002,0.10328655901349956,0.19207843806139382,0.05944128209288002,0.10328655901349956,0.021308330612374145,0.013717103454705191,0.0
one_step_full_profile,709,0,1.0,250,0.5009614362734058,0.5029683929710985,0.5095547787530823,0.5009614362734058,0.5029683929710985,0.05628563303278769,0.0371079298810128,0.0
iterative_full_profile,709,0,1.0,250,0.05873245105267798,0.10175374396679637,0.18276558039908083,0.05873245105267798,0.10175374396679637,0.02109854117747991,0.013561979345547245,0.0
corrected_two_fold_crossfit,709,0,1.0,250,0.14834871477240125,0.2513582876775856,0.4027430365044555,0.14834871477240125,0.2513582876775856,,,0.0
one_step_plugin,709,0,2.0,250,0.0742780098289822,0.12623888288876897,0.22259164073721693,0.0371390049144911,0.06311944144438449,0.021079410059133788,0.013549755514121561,0.0
one_step_full_profile,709,0,2.0,250,1.5002703131145092,1.5006950565628576,1.5015331076176635,0.7501351565572546,0.7503475282814288,0.14902336232018748,0.09813824584776416,0.0
iterative_full_profile,709,0,2.0,250,0.05950278092576233,0.10793994256284656,0.18501612797598455,0.029751390462881167,0.05396997128142328,0.02039277803173327,0.013136804568386548,0.0
corrected_two_fold_crossfit,709,0,2.0,250,0.18461267163179623,0.29357306371019315,0.4837312748791715,0.09230633581589812,0.14678653185509657,,,0.0
one_step_plugin,709,1,1.0,250,0.06227615022875173,0.11778081329558991,0.1741993964721808,0.06227615022875173,0.11778081329558991,0.020628870891504968,0.013307727557773992,0.0
one_step_full_profile,709,1,1.0,250,0.5013577907739215,0.5045676075974602,0.5134771671656593,0.5013577907739215,0.5045676075974602,0.05212492680933757,0.034331955423952135,0.0
iterative_full_profile,709,1,1.0,250,0.057138095125496696,0.1117112836300132,0.1846288219042915,0.057138095125496696,0.1117112836300132,0.02050586362950698,0.01318821861184824,0.0
corrected_two_fold_crossfit,709,1,1.0,250,0.15122551396525283,0.25586135839220475,0.506240530959478,0.15122551396525283,0.25586135839220475,,,0.0
one_step_plugin,709,1,2.0,250,0.08734755183903534,0.12900952337400584,0.18350073609514836,0.04367377591951767,0.06450476168700292,0.021526467449477987,0.01393498309094452,0.0
