cumulative_epochs,source_index,sample_seed,source_split,family_id,noise_level,model_seed_count,field_rel_l2,audit_reprojection_rel_l2
24,239,30560828,test_noise_ood,1,0.12,3,0.25437260667483014,0.37892768780390423
24,240,30560829,test_noise_ood,1,0.08,3,0.17427849769592285,0.24563885231812796
24,241,30560830,test_noise_ood,1,0.12,3,0.19026209910710654,0.2884768744309743
24,242,30560831,test_noise_ood,1,0.08,3,0.3740781943003337,0.4609244366486867
24,243,30560832,test_noise_ood,1,0.12,3,0.24022303521633148,0.3351442317167918
24,244,30560833,test_noise_ood,0,0.08,3,0.10847107072671254,0.11916812757651012
24,245,30560834,test_noise_ood,0,0.12,3,0.11599414050579071,0.1017916922767957
24,246,30560835,test_noise_ood,0,0.08,3,0.14135088523228964,0.1706010103225708
24,247,30560836,test_noise_ood,0,0.12,3,0.14859458804130554,0.1815454661846161
24,248,30560837,test_noise_ood,0,0.08,3,0.14139750599861145,0.15474890172481537
24,249,30560838,test_noise_ood,0,0.12,3,0.15698431928952536,0.1878158450126648
24,250,30560839,test_noise_ood,1,0.08,3,0.23458168903986612,0.35077741742134094
24,251,30560840,test_noise_ood,1,0.12,3,0.37215085824330646,0.6010005474090576
24,252,30560841,test_noise_ood,1,0.08,3,0.30709488193194073,0.397779514392217
24,253,30560842,test_noise_ood,1,0.12,3,0.2499266266822815,0.41626014312108356
24,254,30560843,test_noise_ood,1,0.08,3,0.17967218657334647,0.2730842928091685
24,255,30560844,test_noise_ood,1,0.12,3,0.2609767218430837,0.39034503698349
24,256,30560845,test_noise_ood,0,0.08,3,0.10703280071417491,0.12139513591925304
24,257,30560846,test_noise_ood,0,0.12,3,0.16113594671090445,0.19325174391269684
24,258,30560847,test_noise_ood,0,0.08,3,0.1226772889494896,0.08928003410498302
24,259,30560848,test_noise_ood,0,0.12,3,0.1393426408370336,0.1285662204027176
24,260,30560849,test_noise_ood,0,0.08,3,0.12167050192753474,0.15260506172974905
24,261,30560850,test_noise_ood,0,0.12,3,0.1453756590684255,0.18997948865095773
24,262,30560851,test_noise_ood,1,0.08,3,0.23416791359583536,0.40610649188359577
24,263,30560852,test_noise_ood,1,0.12,3,0.27666417757670086,0.4617997904618581
24,264,30660821,test_family_ood,2,0.02,3,0.5889521241188049,0.6353588104248047
24,265,30660822,test_family_ood,2,0.05,3,0.5283659100532532,0.5725072026252747
24,266,30660823,test_family_ood,2,0.02,3,0.451960027217865,0.5612498919169108
24,267,30660824,test_family_ood,2,0.05,3,0.6171059409777323,0.6315127412478129
24,268,30660825,test_family_ood,2,0.02,3,0.4473753273487091,0.5814741253852844
24,269,30660826,test_family_ood,2,0.05,3,0.5912133057912191,0.6388145486513773
24,270,30660827,test_family_ood,2,0.02,3,0.5202189485232035,0.6134077906608582
24,271,30660828,test_family_ood,2,0.05,3,0.5825382669766744,0.6083152691523234
24,272,30660829,test_family_ood,2,0.02,3,0.4735769232114156,0.4877411524454753
24,273,30660830,test_family_ood,2,0.05,3,0.5857773621877035,0.6969072620073954
24,274,30660831,test_family_ood,2,0.02,3,0.5619481205940247,0.5490828156471252
24,275,30660832,test_family_ood,2,0.05,3,0.426875243584315,0.4895833730697632
24,276,30660833,test_family_ood,2,0.02,3,0.509990930557251,0.6567754944165548
24,277,30660834,test_family_ood,2,0.05,3,0.5816728472709656,0.6069129506746928
24,278,30660835,test_family_ood,2,0.02,3,0.5849647919336954,0.7439056634902954
24,279,30660836,test_family_ood,2,0.05,3,0.4880269070466359,0.5720804333686829
24,280,30660837,test_family_ood,2,0.02,3,0.596818765004476,0.7086614767710367
24,281,30660838,test_family_ood,2,0.05,3,0.549679179986318,0.625180204709371
24,282,30660839,test_family_ood,2,0.02,3,0.49138245979944867,0.5825241605440775
24,283,30660840,test_family_ood,2,0.05,3,0.45584049820899963,0.4631404181321462
24,284,30660841,test_family_ood,2,0.02,3,0.448835829893748,0.5495618184407552
24,285,30660842,test_family_ood,2,0.05,3,0.5701460639635721,0.7166512409845988
24,286,30660843,test_family_ood,2,0.02,3,0.5433900952339172,0.5980966885884603
24,287,30660844,test_family_ood,2,0.05,3,0.43786375721295673,0.47848673661549884
24,288,30660845,test_family_ood,2,0.02,3,0.4971957206726074,0.531259556611379
24,289,30660846,test_family_ood,2,0.05,3,0.555500308672587,0.5650562047958374
24,290,30660847,test_family_ood,2,0.02,3,0.4867444535096486,0.591520090897878
24,291,30660848,test_family_ood,2,0.05,3,0.5454893112182617,0.7109480102856954
24,292,30660849,test_family_ood,2,0.02,3,0.5792790055274963,0.5222752888997396
24,293,30660850,test_family_ood,2,0.05,3,0.4838775893052419,0.5174711346626282
24,294,30660851,test_family_ood,2,0.02,3,0.42998501658439636,0.4860641062259674
24,295,30660852,test_family_ood,2,0.05,3,0.4901845653851827,0.5843669176101685
24,296,30760821,test_joint_ood,2,0.08,3,0.5468927621841431,0.5375216801961263
24,297,30760822,test_joint_ood,2,0.12,3,0.5567235946655273,0.6775869528452555
24,298,30760823,test_joint_ood,2,0.08,3,0.5833707253138224,0.6450881958007812
24,299,30760824,test_joint_ood,2,0.12,3,0.494128296772639,0.503044992685318
24,300,30760825,test_joint_ood,2,0.08,3,0.43287135163942975,0.4938312768936157
24,301,30760826,test_joint_ood,2,0.12,3,0.46368129054705304,0.567077656586965
24,302,30760827,test_joint_ood,2,0.08,3,0.44011621673901874,0.5699088374773661
24,303,30760828,test_joint_ood,2,0.12,3,0.6020517150561014,0.6393145521481832
24,304,30760829,test_joint_ood,2,0.08,3,0.5429337620735168,0.6117920279502869
24,305,30760830,test_joint_ood,2,0.12,3,0.46737725536028546,0.5524863799413046
24,306,30760831,test_joint_ood,2,0.08,3,0.5021762649218241,0.555974026521047
24,307,30760832,test_joint_ood,2,0.12,3,0.4635123014450073,0.5995721618334452
24,308,30760833,test_joint_ood,2,0.08,3,0.5623853405316671,0.6649360458056132
24,309,30760834,test_joint_ood,2,0.12,3,0.5509355068206787,0.6533486644426981
24,310,30760835,test_joint_ood,2,0.08,3,0.5634046594301859,0.5779785712560018
24,311,30760836,test_joint_ood,2,0.12,3,0.5354990164438883,0.5370121896266937
24,312,30760837,test_joint_ood,2,0.08,3,0.5641798973083496,0.7097422480583191
24,313,30760838,test_joint_ood,2,0.12,3,0.4957371950149536,0.5054282446702322
24,314,30760839,test_joint_ood,2,0.08,3,0.5463732878367106,0.5826920866966248
24,315,30760840,test_joint_ood,2,0.12,3,0.5705879727999369,0.6259302695592245
24,316,30760841,test_joint_ood,2,0.08,3,0.5013245840867361,0.5833408037821451
24,317,30760842,test_joint_ood,2,0.12,3,0.5261618892351786,0.5261486967404684
24,318,30760843,test_joint_ood,2,0.08,3,0.5624021093050638,0.568148156007131
24,319,30760844,test_joint_ood,2,0.12,3,0.49945420026779175,0.6671507755915324
24,320,30760845,test_joint_ood,2,0.08,3,0.4739629824956258,0.5197947124640147
24,321,30760846,test_joint_ood,2,0.12,3,0.502832849820455,0.652559240659078
24,322,30760847,test_joint_ood,2,0.08,3,0.5079156756401062,0.6874615152676901
24,323,30760848,test_joint_ood,2,0.12,3,0.5441632668177286,0.6725071668624878
24,324,30760849,test_joint_ood,2,0.08,3,0.4754299720128377,0.4783405562241872
24,325,30760850,test_joint_ood,2,0.12,3,0.5119251211484274,0.6245203812917074
24,326,30760851,test_joint_ood,2,0.08,3,0.5905268788337708,0.6330339113871256
24,327,30760852,test_joint_ood,2,0.12,3,0.54196697473526,0.5557547410329183
36,200,30460821,test_iid,0,0.02,3,0.09187868734200795,0.13585948447386423
36,201,30460822,test_iid,0,0.05,3,0.12234813968340556,0.13284296294053397
36,202,30460823,test_iid,0,0.02,3,0.1294888680179914,0.1648923804362615
36,203,30460824,test_iid,0,0.05,3,0.09836765627066295,0.10419469078381856
36,204,30460825,test_iid,0,0.02,3,0.0843251496553421,0.10255562265714009
36,205,30460826,test_iid,0,0.05,3,0.10982097188631694,0.13560990989208221
36,206,30460827,test_iid,1,0.02,3,0.1553691178560257,0.265367994705836
36,207,30460828,test_iid,1,0.05,3,0.18115190664927164,0.39701881011327106
36,208,30460829,test_iid,1,0.02,3,0.23614943524201712,0.3350153863430023
36,209,30460830,test_iid,1,0.05,3,0.16272424658139548,0.21522469818592072
36,210,30460831,test_iid,1,0.02,3,0.14106897513071695,0.2364706446727117
36,211,30460832,test_iid,1,0.05,3,0.1974085122346878,0.3543907602628072
36,212,30460833,test_iid,0,0.02,3,0.1438455432653427,0.18712266286214194
36,213,30460834,test_iid,0,0.05,3,0.12068705509106319,0.10057943314313889
36,214,30460835,test_iid,0,0.02,3,0.14671434462070465,0.16447871178388596
36,215,30460836,test_iid,0,0.05,3,0.12778542190790176,0.2019632359345754
36,216,30460837,test_iid,0,0.02,3,0.09296704083681107,0.11115656048059464
36,217,30460838,test_iid,0,0.05,3,0.11346283555030823,0.10837872326374054
36,218,30460839,test_iid,1,0.02,3,0.1739120235045751,0.24699988961219788
36,219,30460840,test_iid,1,0.05,3,0.27123422423998517,0.4260422984759013
36,220,30460841,test_iid,1,0.02,3,0.3557364543279012,0.5874013304710388
36,221,30460842,test_iid,1,0.05,3,0.20263011753559113,0.4535679221153259
36,222,30460843,test_iid,1,0.02,3,0.22650428613026938,0.3903399010499318
36,223,30460844,test_iid,1,0.05,3,0.23669522007306418,0.39935047427813214
36,224,30460845,test_iid,0,0.02,3,0.09355887025594711,0.14220251142978668
36,225,30460846,test_iid,0,0.05,3,0.10977202157179515,0.07772597173849742
36,226,30460847,test_iid,0,0.02,3,0.06808942804733913,0.09599117437998454
36,227,30460848,test_iid,0,0.05,3,0.08495979011058807,0.08575709412495296
36,228,30460849,test_iid,0,0.02,3,0.10056958844264348,0.09557679543892543
36,229,30460850,test_iid,0,0.05,3,0.11336984237035115,0.1526890049378077
36,230,30460851,test_iid,1,0.02,3,0.19386516511440277,0.3462500274181366
36,231,30460852,test_iid,1,0.05,3,0.202561487754186,0.28520233432451886
36,232,30560821,test_noise_ood,0,0.08,3,0.09019656231005986,0.08235733459393184
36,233,30560822,test_noise_ood,0,0.12,3,0.12710651010274887,0.13350721697012582
36,234,30560823,test_noise_ood,0,0.08,3,0.13414094845453897,0.1640935093164444
36,235,30560824,test_noise_ood,0,0.12,3,0.12816013395786285,0.11521613349517186
36,236,30560825,test_noise_ood,0,0.08,3,0.10765177011489868,0.136864572763443
36,237,30560826,test_noise_ood,0,0.12,3,0.12644502520561218,0.10381029794613521
36,238,30560827,test_noise_ood,1,0.08,3,0.30283646782239276,0.33140629529953003
36,239,30560828,test_noise_ood,1,0.12,3,0.2294861227273941,0.30906431873639423
36,240,30560829,test_noise_ood,1,0.08,3,0.15754354000091553,0.21922853092352548
36,241,30560830,test_noise_ood,1,0.12,3,0.17468622823556265,0.2829191784063975
36,242,30560831,test_noise_ood,1,0.08,3,0.3428358733654022,0.4100445707639058
36,243,30560832,test_noise_ood,1,0.12,3,0.21197494864463806,0.25603396197160083
36,244,30560833,test_noise_ood,0,0.08,3,0.10293623556693395,0.1474239925543467
36,245,30560834,test_noise_ood,0,0.12,3,0.11163574457168579,0.09417019039392471
36,246,30560835,test_noise_ood,0,0.08,3,0.12815875063339868,0.1930343210697174
36,247,30560836,test_noise_ood,0,0.12,3,0.13119453191757202,0.19910657902558646
36,248,30560837,test_noise_ood,0,0.08,3,0.1146237129966418,0.1508435755968094
36,249,30560838,test_noise_ood,0,0.12,3,0.1483127921819687,0.20184393227100372
36,250,30560839,test_noise_ood,1,0.08,3,0.214972918232282,0.33679501215616864
36,251,30560840,test_noise_ood,1,0.12,3,0.3540874123573303,0.564940353234609
36,252,30560841,test_noise_ood,1,0.08,3,0.2774434487024943,0.36461372176806134
36,253,30560842,test_noise_ood,1,0.12,3,0.23699733118216196,0.3953962524731954
36,254,30560843,test_noise_ood,1,0.08,3,0.15897388756275177,0.22943779329458872
36,255,30560844,test_noise_ood,1,0.12,3,0.22644583880901337,0.32830800612767536
36,256,30560845,test_noise_ood,0,0.08,3,0.10280779500802358,0.1277723809083303
36,257,30560846,test_noise_ood,0,0.12,3,0.15224247177441916,0.23066294193267822
36,258,30560847,test_noise_ood,0,0.08,3,0.10583617041508357,0.08234185973803203
36,259,30560848,test_noise_ood,0,0.12,3,0.12683836619059244,0.1176030362645785
36,260,30560849,test_noise_ood,0,0.08,3,0.11149276047945023,0.1411372721195221
36,261,30560850,test_noise_ood,0,0.12,3,0.13287768761316934,0.1824508955081304
36,262,30560851,test_noise_ood,1,0.08,3,0.20757819215456644,0.30683334668477374
36,263,30560852,test_noise_ood,1,0.12,3,0.25106261173884076,0.41167640686035156
36,264,30660821,test_family_ood,2,0.02,3,0.5748457511266073,0.5922601024309794
36,265,30660822,test_family_ood,2,0.05,3,0.519755999247233,0.5564146240552267
36,266,30660823,test_family_ood,2,0.02,3,0.43937880794207257,0.5293256441752116
36,267,30660824,test_family_ood,2,0.05,3,0.6030299067497253,0.6036924123764038
36,268,30660825,test_family_ood,2,0.02,3,0.4361908932526906,0.5417687892913818
36,269,30660826,test_family_ood,2,0.05,3,0.579800029595693,0.6055221756299337
36,270,30660827,test_family_ood,2,0.02,3,0.5084491570790609,0.5816072225570679
36,271,30660828,test_family_ood,2,0.05,3,0.5672431389490763,0.559731920560201
36,272,30660829,test_family_ood,2,0.02,3,0.46207905809084576,0.44015178084373474
36,273,30660830,test_family_ood,2,0.05,3,0.567059338092804,0.6735022266705831
36,274,30660831,test_family_ood,2,0.02,3,0.5510329405466715,0.5136562486489614
36,275,30660832,test_family_ood,2,0.05,3,0.4179653028647105,0.4696857233842214
36,276,30660833,test_family_ood,2,0.02,3,0.5008656779925028,0.6315213640530905
36,277,30660834,test_family_ood,2,0.05,3,0.5699506600697836,0.5806042353312174
36,278,30660835,test_family_ood,2,0.02,3,0.5779922604560852,0.7255733807881674
36,279,30660836,test_family_ood,2,0.05,3,0.47607025504112244,0.5232408046722412
36,280,30660837,test_family_ood,2,0.02,3,0.5887946089108785,0.6937105456988016
36,281,30660838,test_family_ood,2,0.05,3,0.543644110361735,0.6127148071924845
36,282,30660839,test_family_ood,2,0.02,3,0.4807780683040619,0.5545660456021627
36,283,30660840,test_family_ood,2,0.05,3,0.44524362683296204,0.4235735634962718
36,284,30660841,test_family_ood,2,0.02,3,0.4407650629679362,0.5239116748174032
36,285,30660842,test_family_ood,2,0.05,3,0.5630785425504049,0.7060177723566691
36,286,30660843,test_family_ood,2,0.02,3,0.5345088640848795,0.576764444510142
36,287,30660844,test_family_ood,2,0.05,3,0.4279937744140625,0.4401616156101227
36,288,30660845,test_family_ood,2,0.02,3,0.48336034019788104,0.4853919744491577
36,289,30660846,test_family_ood,2,0.05,3,0.5462096532185873,0.5413458943367004
36,290,30660847,test_family_ood,2,0.02,3,0.47514621416727704,0.563238799571991
36,291,30660848,test_family_ood,2,0.05,3,0.5371960401535034,0.6793103615442911
36,292,30660849,test_family_ood,2,0.02,3,0.5690696040789286,0.4913139343261719
36,293,30660850,test_family_ood,2,0.05,3,0.47106125950813293,0.463817020257314
36,294,30660851,test_family_ood,2,0.02,3,0.41922905047734577,0.4549974302450816
36,295,30660852,test_family_ood,2,0.05,3,0.4804411133130391,0.5658601323763529
36,296,30760821,test_joint_ood,2,0.08,3,0.5403693517049154,0.5232763489087423
36,297,30760822,test_joint_ood,2,0.12,3,0.5444381237030029,0.6553400357564291
36,298,30760823,test_joint_ood,2,0.08,3,0.5653022925059,0.6054328282674154
36,299,30760824,test_joint_ood,2,0.12,3,0.48339080810546875,0.46655158201853436
36,300,30760825,test_joint_ood,2,0.08,3,0.42022252082824707,0.4390190343062083
36,301,30760826,test_joint_ood,2,0.12,3,0.45262496670087177,0.52902223666509
36,302,30760827,test_joint_ood,2,0.08,3,0.4303373694419861,0.542905310789744
36,303,30760828,test_joint_ood,2,0.12,3,0.5913301706314087,0.603372057278951
36,304,30760829,test_joint_ood,2,0.08,3,0.530821681022644,0.5779025157292684
36,305,30760830,test_joint_ood,2,0.12,3,0.45533225933710736,0.5010794401168823
36,306,30760831,test_joint_ood,2,0.08,3,0.48717448115348816,0.5114203095436096
36,307,30760832,test_joint_ood,2,0.12,3,0.45138949155807495,0.5592636068662008
36,308,30760833,test_joint_ood,2,0.08,3,0.5493487119674683,0.6307529211044312
36,309,30760834,test_joint_ood,2,0.12,3,0.5349953174591064,0.6129765510559082
36,310,30760835,test_joint_ood,2,0.08,3,0.5458506544431051,0.5305462082227071
36,311,30760836,test_joint_ood,2,0.12,3,0.5218787988026937,0.46808237830797833
36,312,30760837,test_joint_ood,2,0.08,3,0.5534149805704752,0.6849464972813925
36,313,30760838,test_joint_ood,2,0.12,3,0.4834919571876526,0.4653310577074687
36,314,30760839,test_joint_ood,2,0.08,3,0.5359186927477518,0.5523169239362081
36,315,30760840,test_joint_ood,2,0.12,3,0.5645979841550192,0.6170001228650411
36,316,30760841,test_joint_ood,2,0.08,3,0.4902333915233612,0.5574879248936971
36,317,30760842,test_joint_ood,2,0.12,3,0.5209948023160299,0.5146748423576355
36,318,30760843,test_joint_ood,2,0.08,3,0.550431470076243,0.5327399373054504
36,319,30760844,test_joint_ood,2,0.12,3,0.4923531810442607,0.6353187561035156
36,320,30760845,test_joint_ood,2,0.08,3,0.46241315205891925,0.4601586063702901
36,321,30760846,test_joint_ood,2,0.12,3,0.4905378421147664,0.619107743104299
36,322,30760847,test_joint_ood,2,0.08,3,0.5010684629281362,0.6692947149276733
36,323,30760848,test_joint_ood,2,0.12,3,0.5344881018002828,0.6598948438962301
36,324,30760849,test_joint_ood,2,0.08,3,0.46424421668052673,0.4400563935438792
36,325,30760850,test_joint_ood,2,0.12,3,0.5022198557853699,0.6119916836420695
36,326,30760851,test_joint_ood,2,0.08,3,0.5799152255058289,0.6170698801676432
36,327,30760852,test_joint_ood,2,0.12,3,0.53356405099233,0.5320087273915609
48,200,30460821,test_iid,0,0.02,3,0.08703200022379558,0.13994251191616058
48,201,30460822,test_iid,0,0.05,3,0.11258174230655034,0.12277209262053172
48,202,30460823,test_iid,0,0.02,3,0.11973664909601212,0.16877333323160806
48,203,30460824,test_iid,0,0.05,3,0.08546642462412517,0.09521476676066716
48,204,30460825,test_iid,0,0.02,3,0.0791942725578944,0.0948101207613945
48,205,30460826,test_iid,0,0.05,3,0.10243784139553706,0.13036232441663742
48,206,30460827,test_iid,1,0.02,3,0.13437063495318094,0.20844040314356485
48,207,30460828,test_iid,1,0.05,3,0.1706125090519587,0.3747839132944743
48,208,30460829,test_iid,1,0.02,3,0.21853005389372507,0.2966318925221761
48,209,30460830,test_iid,1,0.05,3,0.1473005215326945,0.1929036925236384
48,210,30460831,test_iid,1,0.02,3,0.12957906226317087,0.21710527936617532
48,211,30460832,test_iid,1,0.05,3,0.17750589549541473,0.2961406608422597
48,212,30460833,test_iid,0,0.02,3,0.13310558100541434,0.17176729440689087
48,213,30460834,test_iid,0,0.05,3,0.11236719290415446,0.10370861490567525
48,214,30460835,test_iid,0,0.02,3,0.1317210147778193,0.1488367666800817
48,215,30460836,test_iid,0,0.05,3,0.11320170760154724,0.17124849061171213
48,216,30460837,test_iid,0,0.02,3,0.08537917087475459,0.10499085982640584
48,217,30460838,test_iid,0,0.05,3,0.09622839341561,0.10722578316926956
48,218,30460839,test_iid,1,0.02,3,0.14914534986019135,0.18683515985806784
48,219,30460840,test_iid,1,0.05,3,0.2486879974603653,0.37935344378153485
48,220,30460841,test_iid,1,0.02,3,0.3454780677954356,0.5644453565279642
48,221,30460842,test_iid,1,0.05,3,0.18550441165765127,0.41070927182833356
48,222,30460843,test_iid,1,0.02,3,0.21616138021151224,0.36872635285059613
48,223,30460844,test_iid,1,0.05,3,0.21875966091950735,0.36654605468114215
48,224,30460845,test_iid,0,0.02,3,0.08788156757752101,0.1296397919456164
48,225,30460846,test_iid,0,0.05,3,0.10011758158604304,0.06608243038256963
48,226,30460847,test_iid,0,0.02,3,0.06393580883741379,0.09034926195939381
48,227,30460848,test_iid,0,0.05,3,0.07839546849330266,0.08675468961397807
48,228,30460849,test_iid,0,0.02,3,0.0875368316968282,0.07974045972029369
48,229,30460850,test_iid,0,0.05,3,0.10048745572566986,0.13498534262180328
48,230,30460851,test_iid,1,0.02,3,0.1743269513050715,0.3052223126093547
48,231,30460852,test_iid,1,0.05,3,0.18747331202030182,0.24174178143342337
48,232,30560821,test_noise_ood,0,0.08,3,0.08681754519542058,0.08658259610335033
48,233,30560822,test_noise_ood,0,0.12,3,0.1113934392730395,0.12245505303144455
48,234,30560823,test_noise_ood,0,0.08,3,0.12753728032112122,0.15513141949971518
48,235,30560824,test_noise_ood,0,0.12,3,0.1251655494173368,0.1134175459543864
48,236,30560825,test_noise_ood,0,0.08,3,0.10451573630174,0.134754811724027
48,237,30560826,test_noise_ood,0,0.12,3,0.1227081020673116,0.10483389347791672
48,238,30560827,test_noise_ood,1,0.08,3,0.28588560223579407,0.2913999358812968
48,239,30560828,test_noise_ood,1,0.12,3,0.21361137429873148,0.2681608150402705
48,240,30560829,test_noise_ood,1,0.08,3,0.15009968479474387,0.20604843894640604
48,241,30560830,test_noise_ood,1,0.12,3,0.16789219280083975,0.29016884167989093
48,242,30560831,test_noise_ood,1,0.08,3,0.3222397764523824,0.37981241941452026
48,243,30560832,test_noise_ood,1,0.12,3,0.19461255272229513,0.21343031525611877
48,244,30560833,test_noise_ood,0,0.08,3,0.09781218568483989,0.1310124173760414
48,245,30560834,test_noise_ood,0,0.12,3,0.10728345563014348,0.09263650576273601
48,246,30560835,test_noise_ood,0,0.08,3,0.1124619444211324,0.18207956353823343
48,247,30560836,test_noise_ood,0,0.12,3,0.1215774193406105,0.17331147690614065
48,248,30560837,test_noise_ood,0,0.08,3,0.1015914926926295,0.1439444919427236
48,249,30560838,test_noise_ood,0,0.12,3,0.1401410847902298,0.19605629642804465
48,250,30560839,test_noise_ood,1,0.08,3,0.20170937975247702,0.30937787890434265
48,251,30560840,test_noise_ood,1,0.12,3,0.3423018952210744,0.5426888863245646
48,252,30560841,test_noise_ood,1,0.08,3,0.2616282304128011,0.3513773779074351
48,253,30560842,test_noise_ood,1,0.12,3,0.22644647459189096,0.3737506965796153
48,254,30560843,test_noise_ood,1,0.08,3,0.14467992881933847,0.2009681115547816
48,255,30560844,test_noise_ood,1,0.12,3,0.20592323939005533,0.2944464186827342
48,256,30560845,test_noise_ood,0,0.08,3,0.09781091411908467,0.12088995675245921
48,257,30560846,test_noise_ood,0,0.12,3,0.14371672769387564,0.20919038355350494
48,258,30560847,test_noise_ood,0,0.08,3,0.09629843632380168,0.0844932347536087
48,259,30560848,test_noise_ood,0,0.12,3,0.12302670379479726,0.11343205471833546
48,260,30560849,test_noise_ood,0,0.08,3,0.1057001327474912,0.13119300454854965
48,261,30560850,test_noise_ood,0,0.12,3,0.12648877998193106,0.17429877320925394
48,262,30560851,test_noise_ood,1,0.08,3,0.1930325080951055,0.2611131817102432
48,263,30560852,test_noise_ood,1,0.12,3,0.23532503843307495,0.3790870209534963
48,264,30660821,test_family_ood,2,0.02,3,0.5629650950431824,0.5724175969759623
48,265,30660822,test_family_ood,2,0.05,3,0.5134684642155966,0.5503996213277181
48,266,30660823,test_family_ood,2,0.02,3,0.4279687503973643,0.5107969840367635
48,267,30660824,test_family_ood,2,0.05,3,0.5925348798433939,0.5915202498435974
48,268,30660825,test_family_ood,2,0.02,3,0.42889989415804547,0.5261221925417582
48,269,30660826,test_family_ood,2,0.05,3,0.5700720548629761,0.5915937423706055
48,270,30660827,test_family_ood,2,0.02,3,0.4987481435139974,0.5558665990829468
48,271,30660828,test_family_ood,2,0.05,3,0.55384627978007,0.5357511440912882
48,272,30660829,test_family_ood,2,0.02,3,0.45424413681030273,0.42655618985493976
48,273,30660830,test_family_ood,2,0.05,3,0.5530159076054891,0.6600078741709391
48,274,30660831,test_family_ood,2,0.02,3,0.543185273806254,0.5016184945901235
48,275,30660832,test_family_ood,2,0.05,3,0.413303017616272,0.46235787868499756
48,276,30660833,test_family_ood,2,0.02,3,0.49283809463183087,0.6114652355511984
48,277,30660834,test_family_ood,2,0.05,3,0.560871958732605,0.5657234986623129
48,278,30660835,test_family_ood,2,0.02,3,0.5722367564837137,0.709282378355662
48,279,30660836,test_family_ood,2,0.05,3,0.46660661697387695,0.5034989714622498
48,280,30660837,test_family_ood,2,0.02,3,0.582378109296163,0.6869006951649984
48,281,30660838,test_family_ood,2,0.05,3,0.5380588173866272,0.5969545443852743
48,282,30660839,test_family_ood,2,0.02,3,0.47309179107348126,0.5426143805185953
48,283,30660840,test_family_ood,2,0.05,3,0.4382571876049042,0.3973740339279175
