cumulative_epochs,source_index,sample_seed,source_split,family_id,noise_level,model_seed_count,field_rel_l2,audit_reprojection_rel_l2
24,200,30460821,test_iid,0,0.02,3,0.10122447460889816,0.14602151016394296
24,201,30460822,test_iid,0,0.05,3,0.13262508312861124,0.11769140760103862
24,202,30460823,test_iid,0,0.02,3,0.1412964165210724,0.15784325699011484
24,203,30460824,test_iid,0,0.05,3,0.12350109467903773,0.10173281282186508
24,204,30460825,test_iid,0,0.02,3,0.09490774323542912,0.12118649731079738
24,205,30460826,test_iid,0,0.05,3,0.1194003199537595,0.11980224400758743
24,206,30460827,test_iid,1,0.02,3,0.1794019192457199,0.32989056905110675
24,207,30460828,test_iid,1,0.05,3,0.19185457130273184,0.40934468309084576
24,208,30460829,test_iid,1,0.02,3,0.2669657866160075,0.408499797185262
24,209,30460830,test_iid,1,0.05,3,0.1892589827378591,0.2583569933970769
24,210,30460831,test_iid,1,0.02,3,0.1571835478146871,0.24432660142580667
24,211,30460832,test_iid,1,0.05,3,0.22948760290940604,0.4423084259033203
24,212,30460833,test_iid,0,0.02,3,0.16429505248864493,0.20164062082767487
24,213,30460834,test_iid,0,0.05,3,0.1329802324374517,0.13465173045794168
24,214,30460835,test_iid,0,0.02,3,0.168734277288119,0.17978920539220175
24,215,30460836,test_iid,0,0.05,3,0.147548978527387,0.17548169692357382
24,216,30460837,test_iid,0,0.02,3,0.10439138114452362,0.11911640067895253
24,217,30460838,test_iid,0,0.05,3,0.1366320103406906,0.10052368541558583
24,218,30460839,test_iid,1,0.02,3,0.21361859142780304,0.3470333218574524
24,219,30460840,test_iid,1,0.05,3,0.3022700250148773,0.49279887477556866
24,220,30460841,test_iid,1,0.02,3,0.3724137345949809,0.6295748154322306
24,221,30460842,test_iid,1,0.05,3,0.22270530462265015,0.48837300141652423
24,222,30460843,test_iid,1,0.02,3,0.24156655867894491,0.4229118824005127
24,223,30460844,test_iid,1,0.05,3,0.2663739820321401,0.4594700336456299
24,224,30460845,test_iid,0,0.02,3,0.0975453183054924,0.11926112323999405
24,225,30460846,test_iid,0,0.05,3,0.1304027090469996,0.09517916788657506
24,226,30460847,test_iid,0,0.02,3,0.07401675979296367,0.10372736304998398
24,227,30460848,test_iid,0,0.05,3,0.0966664229830106,0.07591438541809718
24,228,30460849,test_iid,0,0.02,3,0.11854154616594315,0.1015279417236646
24,229,30460850,test_iid,0,0.05,3,0.12786095589399338,0.14489532262086868
24,230,30460851,test_iid,1,0.02,3,0.21976452072461447,0.3824101686477661
24,231,30460852,test_iid,1,0.05,3,0.2225332409143448,0.3298565944035848
24,232,30560821,test_noise_ood,0,0.08,3,0.10008760293324788,0.07904815922180812
24,233,30560822,test_noise_ood,0,0.12,3,0.15556525190671286,0.1411670446395874
24,234,30560823,test_noise_ood,0,0.08,3,0.1345266948143641,0.144344761967659
24,235,30560824,test_noise_ood,0,0.12,3,0.13317895929018655,0.1132427304983139
24,236,30560825,test_noise_ood,0,0.08,3,0.11384741216897964,0.14390709002812704
24,237,30560826,test_noise_ood,0,0.12,3,0.13282634814580283,0.09613060454527537
24,238,30560827,test_noise_ood,1,0.08,3,0.3277440667152405,0.3925139605998993
