family,phantom_seed,noise_fraction,rig_name,network_repeat_count,network_repeat_ids,admitted_network_repeat_count,all_network_repeats_admitted,maximum_normalized_total_l2_change,maximum_normalized_total_h1_change,maximum_normalized_total_huber_change,minimum_normalized_development_improvement,minimum_gate_holdout_improvement,maximum_residual_roughness_log1p,maximum_worst_renderer_relative_change,maximum_field_delta_candidate_minus_base,maximum_h1_delta_candidate_minus_base,median_field_delta_candidate_minus_base,median_h1_delta_candidate_minus_base,median_dense_automatic_delta_candidate_minus_base,median_test_automatic_delta_candidate_minus_base,train_view_count,neural_sample_count,beneficial_truth_label,truth_outcome_class
smooth_plume,3301,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.049021363258361816,0.01605379581451416,0.0,0.0,2.3439786708825237,0.0,0.0,0.0,-0.004098415321883479,-0.0022221506312532155,-0.01164713966746084,-0.008311760696096276,6,20,False,neutral
smooth_plume,3301,0.02,nominal_six_view,2,base101_residual307|base211_residual419,2,True,-0.022700011730194092,0.17179358005523682,0.05605921149253845,0.29014093943042674,-0.14828484532238173,4.154669472365666,-0.06100346199345641,-0.007152814568635625,-0.0033537615292451167,-0.008122352173579563,-0.003547914712180602,-0.02822738670734135,-0.003262394712986321,6,32,True,beneficial
smooth_plume,3301,0.02,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.01627802848815918,0.013287067413330078,0.008321970701217651,0.09795336382740305,0.12077016922893458,2.4982615884960446,-0.014049574337084314,0.0007051356703233064,2.2239109304988958e-05,0.0005029919728513355,-0.00022812132019535414,-0.015026513270052614,-0.008890591876752355,4,32,False,harmful
smooth_plume,3301,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
smooth_plume,3301,0.08,nominal_six_view,2,base101_residual307|base211_residual419,2,True,0.006794929504394531,0.059060096740722656,0.023246288299560547,0.06316168346630013,-0.033339876276653024,3.9180422370737635,-0.0016242143617073435,0.006305087614630951,0.001331523212097549,0.0034968768617946212,0.0005780967317948749,-0.018011890544119388,-0.004243234006245274,6,32,False,harmful
smooth_plume,3301,0.08,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.025890827178955078,-0.03511744737625122,-0.01191142201423645,0.06386520125795903,0.08049409982651123,3.593937125157146,-0.0019748173687625936,-0.001986663275479944,-0.0021468202636359818,-0.0023507415425311554,-0.0023247391746067173,-0.02616057062278211,-0.020583164804345577,4,32,True,beneficial
smooth_plume,3302,0.02,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
smooth_plume,3302,0.02,nominal_six_view,2,base101_residual307|base211_residual419,1,False,0.0,0.1434173583984375,0.04849722981452942,0.0,-0.5754497066741109,2.642735933814524,0.0,0.0,0.0,-0.0019006969781276278,-0.0004871580841751197,-0.01734909639001348,0.021602782569540263,6,32,False,neutral
smooth_plume,3302,0.02,sparse_four_view,2,base101_residual307|base211_residual419,2,True,-0.008677840232849121,0.08200335502624512,0.02544933557510376,0.06458027527922883,-0.017662860345541098,3.234652774395744,-0.01106839831604256,0.0046342355875341745,0.0012417908194704008,0.0029876551188601982,0.0010111465124150107,-0.016137097270296524,-0.0018706694708118324,4,32,False,harmful
smooth_plume,3302,0.08,coarse_ray_six_view,2,base101_residual307|base211_residual419,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,False,neutral
