family,phantom_seed,noise_fraction,rig_name,base_model_seed,residual_seed,step,train_mean_whitened_mse,train_objective,normalized_total_l2,normalized_total_h1,normalized_total_huber,normalized_residual_l2,normalized_residual_h1,centered_regularization,development_normalized_mean,development_worst_ratio,all_renderers_consent,development_automatic_whitened_mse,development_central_0_whitened_mse,development_central_1_whitened_mse,development_central_2_whitened_mse
smooth_plume,3301,0.02,nominal_six_view,101,307,20.0,3.171191692352295,3.171191692352295,0.936821460723877,0.9286223649978638,0.4486418068408966,0.001270401175133884,0.00397171825170517,0.0,0.8626946476519146,1.0141296805113218,0.0,8.585165977478027,2.322648525238037,6.122315406799316,7.911923408508301
smooth_plume,3301,0.02,nominal_six_view,101,307,40.0,2.7934763431549072,2.7934763431549072,0.9372534155845642,0.9435232281684875,0.45334088802337646,0.0012337157968431711,0.0033243673387914896,0.0,0.863989704717828,0.9904754885457897,1.0,8.735809326171875,2.2684736251831055,6.155613422393799,8.013806343078613
smooth_plume,3301,0.02,nominal_six_view,101,307,60.0,2.555114269256592,2.555114269256592,0.9422417879104614,0.9587483406066895,0.4589318037033081,0.001075115753337741,0.003383864648640156,0.0,0.8393306250869472,0.9810332159711652,1.0,8.354700088500977,2.2468481063842773,5.982171058654785,7.7165656089782715
smooth_plume,3301,0.02,nominal_six_view,101,307,80.0,2.3247628211975098,2.3247628211975098,0.9461084604263306,0.9701460003852844,0.46351903676986694,0.0009497659630142152,0.004037791863083839,0.0,0.8167696294470012,0.9639948816186943,1.0,8.013541221618652,2.2078254222869873,5.853960990905762,7.479291915893555
smooth_plume,3301,0.02,nominal_six_view,101,307,100.0,2.1500420570373535,2.1500420570373535,0.9485960602760315,0.9899106621742249,0.47056740522384644,0.0008719776524230838,0.004239486064761877,0.0,0.7966157682823604,0.9599938039770722,1.0,7.731146812438965,2.1986618041992188,5.668107032775879,7.232867240905762
smooth_plume,3301,0.02,nominal_six_view,101,307,120.0,2.0196609497070312,2.0196609497070312,0.951269805431366,1.0136082172393799,0.4787607789039612,0.0007754727266728878,0.004318922758102417,0.0,0.7788615787367027,0.9531850493464508,1.0,7.4775710105896,2.183067798614502,5.518988609313965,7.032747745513916
smooth_plume,3301,0.02,nominal_six_view,101,307,140.0,1.8911360502243042,1.8911360502243042,0.95404052734375,1.0326875448226929,0.485429584980011,0.0006856954423710704,0.004537273198366165,0.0,0.7651781972711384,0.9400807523337624,1.0,7.330580234527588,2.153055191040039,5.402933120727539,6.913312911987305
smooth_plume,3301,0.02,nominal_six_view,101,307,160.0,1.8206733465194702,1.8206733465194702,0.9577631950378418,1.0462608337402344,0.490348219871521,0.0005859396769665182,0.004637588746845722,0.0,0.7503375188844319,0.9262368259040396,1.0,7.156569957733154,2.1213486194610596,5.289034843444824,6.777251720428467
smooth_plume,3301,0.02,nominal_six_view,101,307,180.0,1.7279331684112549,1.7279331684112549,0.9614585041999817,1.0542972087860107,0.4934947192668915,0.0005021201795898378,0.004710869863629341,0.0,0.7410724069610908,0.9146591531560679,1.0,7.129330158233643,2.094832420349121,5.17877197265625,6.700062274932861
smooth_plume,3301,0.02,nominal_six_view,101,307,200.0,1.7722887992858887,1.7722887992858887,0.9647283554077148,1.056430697441101,0.49481895565986633,0.0004349473165348172,0.0049981288611888885,0.0,0.736755645320204,0.9058223252949513,1.0,7.160002708435059,2.0745935440063477,5.107651710510254,6.685207366943359
smooth_plume,3301,0.02,nominal_six_view,101,307,220.0,1.6605138778686523,1.6605138778686523,0.9671058058738708,1.0520271062850952,0.4940289556980133,0.00038589953328482807,0.0046105156652629375,0.0,0.728822788140991,0.900943685938255,1.0,7.125649452209473,2.063420057296753,4.99949836730957,6.598159313201904
smooth_plume,3301,0.02,nominal_six_view,101,307,240.0,1.6364690065383911,1.6364690065383911,0.9697656631469727,1.065541386604309,0.49859562516212463,0.00033911969512701035,0.004843445494771004,0.0,0.7098590605695733,0.9002973299846494,1.0,6.827081680297852,2.0619397163391113,4.8661417961120605,6.309456825256348
smooth_plume,3301,0.02,nominal_six_view,211,419,20.0,3.7251853942871094,3.7251853942871094,0.9512842297554016,0.9353300929069519,0.45128363370895386,0.0008133093942888081,0.0034260062966495752,0.0,0.7837785074159671,1.0243800495870925,0.0,8.705434799194336,2.403939723968506,6.405305862426758,7.839267730712891
