family,phantom_seed,noise_fraction,rig_name,network_repeat_id,base_training_seconds,residual_training_seconds
smooth_plume,3305,0.08,coarse_ray_six_view,base101_residual307,0.7730607079574838,6.05532495805528
smooth_plume,3305,0.08,coarse_ray_six_view,base211_residual419,0.7684901669854298,6.02186070906464
smooth_plume,3306,0.02,nominal_six_view,base101_residual307,1.1039213750045747,6.4055362090002745
smooth_plume,3306,0.02,nominal_six_view,base211_residual419,1.0961969579802826,6.390720666036941
smooth_plume,3306,0.08,nominal_six_view,base101_residual307,1.0899256250122562,6.451810625032522
smooth_plume,3306,0.08,nominal_six_view,base211_residual419,1.0879420419223607,6.4395451250020415
smooth_plume,3306,0.02,sparse_four_view,base101_residual307,0.7935677911154926,6.105797040974721
smooth_plume,3306,0.02,sparse_four_view,base211_residual419,0.7953540419694036,6.171281457995065
smooth_plume,3306,0.08,sparse_four_view,base101_residual307,0.7751081250607967,6.127484500058927
smooth_plume,3306,0.08,sparse_four_view,base211_residual419,0.7731617079116404,6.098127749981359
smooth_plume,3306,0.02,coarse_ray_six_view,base101_residual307,0.7706965829711407,6.008516915957443
smooth_plume,3306,0.02,coarse_ray_six_view,base211_residual419,0.7718477919697762,5.961982832988724
smooth_plume,3306,0.08,coarse_ray_six_view,base101_residual307,0.7823759589809924,6.028840457904153
smooth_plume,3306,0.08,coarse_ray_six_view,base211_residual419,0.7657845410285518,5.960919959004968
wrinkled_density_interface,3401,0.02,nominal_six_view,base101_residual307,1.0968761250842363,6.469602708006278
wrinkled_density_interface,3401,0.02,nominal_six_view,base211_residual419,1.092380875023082,6.456188749987632
wrinkled_density_interface,3401,0.08,nominal_six_view,base101_residual307,1.0907157079782337,6.447259124950506
wrinkled_density_interface,3401,0.08,nominal_six_view,base211_residual419,1.094028125051409,6.382562292041257
wrinkled_density_interface,3401,0.02,sparse_four_view,base101_residual307,0.7890614579664543,6.128256208030507
wrinkled_density_interface,3401,0.02,sparse_four_view,base211_residual419,0.7882571659283713,6.075023999903351
wrinkled_density_interface,3401,0.08,sparse_four_view,base101_residual307,0.7793195419944823,6.146772458101623
wrinkled_density_interface,3401,0.08,sparse_four_view,base211_residual419,0.7964412920409814,6.129160291980952
wrinkled_density_interface,3401,0.02,coarse_ray_six_view,base101_residual307,0.7723469159100205,6.030460666981526
wrinkled_density_interface,3401,0.02,coarse_ray_six_view,base211_residual419,0.7969040410825983,6.06456283305306
