relative_anchor,refinement_iterations,estimated_forward_adjoint_pairs,train_cluster_mean_whitened_rmse,train_positive_cell_fraction_vs_zero
0.0,0,3,2.0758147468054053,1.0
0.0,1,4,2.0241824224678355,1.0
0.0,2,5,2.023712949900223,1.0
0.0,4,7,1.993403069086841,1.0
0.0,8,11,1.9674139985476713,1.0
0.0,16,19,1.9496916095042807,1.0
0.0,32,35,1.941670224797763,1.0
0.0001,0,3,2.0758147468054053,1.0
0.0001,1,4,2.0241799720010167,1.0
0.0001,2,5,2.023705172542583,1.0
0.0001,4,7,1.9933949281048453,1.0
0.0001,8,11,1.967407690185686,1.0
0.0001,16,19,1.9496818083290544,1.0
0.0001,32,35,1.9416541359883954,1.0
0.001,0,3,2.0758147468054053,1.0
0.001,1,4,2.024157914362246,1.0
0.001,2,5,2.023635199415737,1.0
0.001,4,7,1.9933218081551602,1.0
0.001,8,11,1.9673503670493313,1.0
0.001,16,19,1.9495947696245761,1.0
0.001,32,35,1.941512298386967,1.0
0.01,0,3,2.0758147468054053,1.0
0.01,1,4,2.02393891363542,1.0
0.01,2,5,2.022941734876033,1.0
0.01,4,7,1.9926015360768177,1.0
0.01,8,11,1.9667267790907483,1.0
0.01,16,19,1.9487994780825666,1.0
0.01,32,35,1.940206495585349,1.0
0.1,0,3,2.0758147468054053,1.0
0.1,1,4,2.021889868421693,1.0
0.1,2,5,2.0163986291437297,1.0
0.1,4,7,1.9859448821628132,1.0
0.1,8,11,1.9623901634372722,1.0
0.1,16,19,1.9452882050584206,1.0
0.1,32,35,1.9371301298371342,1.0
1.0,0,3,2.0758147468054053,1.0
1.0,1,4,2.01125045776919,1.0
1.0,2,5,1.9840927929950056,1.0
1.0,4,7,1.9637481498989229,1.0
1.0,8,11,1.9585384990877737,1.0
1.0,16,19,1.9579779740642715,1.0
1.0,32,35,1.957968059892894,1.0
10.0,0,3,2.0758147468054053,1.0
10.0,1,4,2.0329418967978965,1.0
10.0,2,5,2.0258444607501533,1.0
10.0,4,7,2.0253903092882277,1.0
10.0,8,11,2.0253903915782034,1.0
10.0,16,19,2.0253903908408164,1.0
10.0,32,35,2.0253903908408164,1.0
