refinement_iterations,estimated_forward_adjoint_pairs,relative_anchor,sfio_papbb_cluster_mean_whitened_rmse,pure_pbb_cluster_mean_whitened_rmse,sfio_papbb_gain_vs_budget_matched_pbb
0,3,0.1,5.790428948826001,5.442286902906498,-0.06396980756997106
1,4,0.1,5.4154438978274175,5.346956827302418,-0.012808607351249446
2,5,0.1,5.192438662070688,5.294661083658178,0.019306697817353502
4,7,0.1,5.046126014618366,5.216716762776503,0.032700787854800684
8,11,0.1,4.9429748077850295,5.1157769799067765,0.03377828486278067
16,19,0.1,4.859825461597302,4.982126977371288,0.024548052735202552
32,35,0.1,4.802241820509424,4.821754148342844,0.00404672806474915
